ptf, pti
0.150000, 10.502269
0.160000, 10.456438
0.170000, 10.410699
0.180000, 10.365051
0.190000, 10.319497
0.200000, 10.274036
0.210000, 10.228671
0.220000, 10.183402
0.230000, 10.138231
0.240000, 10.093157
0.250000, 10.048184
0.260000, 10.003310
0.270000, 9.958539
0.280000, 9.913870
0.290000, 9.869306
0.300000, 9.824846
0.310000, 9.780493
0.320000, 9.736247
0.330000, 9.692110
0.340000, 9.648083
0.350000, 9.604168
0.360000, 9.560364
0.370000, 9.516674
0.380000, 9.473100
0.390000, 9.429641
0.400000, 9.386300
0.410000, 9.343078
0.420000, 9.299975
0.430000, 9.256995
0.440000, 9.214137
0.450000, 9.171403
0.460000, 9.128796
0.470000, 9.086315
0.480000, 9.043962
0.490000, 9.001739
0.500000, 8.959648
0.510000, 8.917690
0.520000, 8.875865
0.530000, 8.834177
0.540000, 8.792626
0.550000, 8.751213
0.560000, 8.709941
0.570000, 8.668811
0.580000, 8.627824
0.590000, 8.586982
0.600000, 8.546287
0.610000, 8.505741
0.620000, 8.465344
0.630000, 8.425099
0.640000, 8.385007
0.650000, 8.345070
0.660000, 8.305290
0.670000, 8.265668
0.680000, 8.226207
0.690000, 8.186907
0.700000, 8.147771
0.710000, 8.108801
0.720000, 8.069998
0.730000, 8.031364
0.740000, 7.992902
0.750000, 7.954612
0.760000, 7.916497
0.770000, 7.878559
0.780000, 7.840800
0.790000, 7.803221
0.800000, 7.765825
0.810000, 7.728614
0.820000, 7.691589
0.830000, 7.654753
0.840000, 7.618107
0.850000, 7.581655
0.860000, 7.545397
0.870000, 7.509336
0.880000, 7.473475
0.890000, 7.437815
0.900000, 7.402358
0.910000, 7.367107
0.920000, 7.332064
0.930000, 7.297231
0.940000, 7.262611
0.950000, 7.228206
0.960000, 7.194017
0.970000, 7.160048
0.980000, 7.126301
0.990000, 7.092778
1.000000, 7.059481
1.010000, 7.026414
1.020000, 6.993578
1.030000, 6.960976
1.040000, 6.928610
1.050000, 6.896484
1.060000, 6.864599
1.070000, 6.832958
1.080000, 6.801564
1.090000, 6.770419
1.100000, 6.739527
1.110000, 6.708889
1.120000, 6.678509
1.130000, 6.648389
1.140000, 6.618532
1.150000, 6.588941
1.160000, 6.559619
1.170000, 6.530569
1.180000, 6.501793
1.190000, 6.473294
1.200000, 6.445076
1.210000, 6.417142
1.220000, 6.389494
1.230000, 6.362135
1.240000, 6.335070
1.250000, 6.308300
1.260000, 6.281829
1.270000, 6.255661
1.280000, 6.229798
1.290000, 6.204244
1.300000, 6.179002
1.310000, 6.154076
1.320000, 6.129469
1.330000, 6.105185
1.340000, 6.081226
1.350000, 6.057598
1.360000, 6.034302
1.370000, 6.011344
1.380000, 5.988726
1.390000, 5.966453
1.400000, 5.944529
1.410000, 5.922956
1.420000, 5.901740
1.430000, 5.880885
1.440000, 5.860393
1.450000, 5.840270
1.460000, 5.820520
1.470000, 5.801147
1.480000, 5.782156
1.490000, 5.763550
1.500000, 5.745335
1.510000, 5.727515
1.520000, 5.710095
1.530000, 5.693079
1.540000, 5.676473
1.550000, 5.660281
1.560000, 5.644509
1.570000, 5.629161
1.580000, 5.614244
1.590000, 5.599763
1.600000, 5.585722
1.610000, 5.572129
1.620000, 5.558988
1.630000, 5.546306
1.640000, 5.534089
1.650000, 5.522343
1.660000, 5.511075
1.670000, 5.500292
1.680000, 5.490000
1.690000, 5.480207
1.700000, 5.470919
1.710000, 5.462146
1.720000, 5.453893
1.730000, 5.446170
1.740000, 5.438986
1.750000, 5.432348
1.760000, 5.426266
1.770000, 5.420749
1.780000, 5.415808
1.790000, 5.411453
1.800000, 5.407695
1.810000, 5.404545
1.820000, 5.402016
1.830000, 5.400121
1.840000, 5.398872
1.850000, 5.398285
1.860000, 5.398375
1.870000, 5.399158
1.880000, 5.400653
1.890000, 5.402880
1.900000, 5.405859
1.910000, 5.409613
1.920000, 5.414170
1.930000, 5.419559
1.940000, 5.425813
1.950000, 5.432972
1.960000, 5.441081
1.970000, 5.450197
1.980000, 5.460385
1.990000, 5.471718
2.000000, 5.484256
2.010000, 5.499136
2.020000, 5.515204
2.030000, 5.532385
2.040000, 5.550594
2.050000, 5.569756
2.060000, 5.589808
2.070000, 5.610694
2.080000, 5.632368
2.090000, 5.654791
2.100000, 5.677926
2.110000, 5.701742
2.120000, 5.726210
2.130000, 5.751304
2.140000, 5.777000
2.150000, 5.803275
2.160000, 5.830110
2.170000, 5.857484
2.180000, 5.885381
2.190000, 5.913782
2.200000, 5.942672
2.210000, 5.972037
2.220000, 6.001861
2.230000, 6.032132
2.240000, 6.062837
2.250000, 6.093963
2.260000, 6.125499
2.270000, 6.157434
2.280000, 6.189757
2.290000, 6.222458
2.300000, 6.255527
2.310000, 6.288956
