ptf, phif, pti
0.150000, -3.141593, 0.378248
0.150000, -3.078761, 0.378199
0.150000, -3.015929, 0.378054
0.150000, -2.953097, 0.377813
0.150000, -2.890265, 0.377476
0.150000, -2.827433, 0.377044
0.150000, -2.764602, 0.376520
0.150000, -2.701770, 0.375904
0.150000, -2.638938, 0.375199
0.150000, -2.576106, 0.374407
0.150000, -2.513274, 0.373530
0.150000, -2.450442, 0.372572
0.150000, -2.387610, 0.371535
0.150000, -2.324779, 0.370423
0.150000, -2.261947, 0.369240
0.150000, -2.199115, 0.367989
0.150000, -2.136283, 0.366676
0.150000, -2.073451, 0.365304
0.150000, -2.010619, 0.363879
0.150000, -1.947787, 0.362405
0.150000, -1.884956, 0.360887
0.150000, -1.822124, 0.359331
0.150000, -1.759292, 0.357744
0.150000, -1.696460, 0.356130
0.150000, -1.633628, 0.354495
0.150000, -1.570796, 0.352847
0.150000, -1.507964, 0.351190
0.150000, -1.445133, 0.349533
0.150000, -1.382301, 0.347881
0.150000, -1.319469, 0.346240
0.150000, -1.256637, 0.344619
0.150000, -1.193805, 0.343022
0.150000, -1.130973, 0.341458
0.150000, -1.068142, 0.339933
0.150000, -1.005310, 0.338452
0.150000, -0.942478, 0.337024
0.150000, -0.879646, 0.335654
0.150000, -0.816814, 0.334347
0.150000, -0.753982, 0.333112
0.150000, -0.691150, 0.331951
0.150000, -0.628319, 0.330873
0.150000, -0.565487, 0.329880
0.150000, -0.502655, 0.328979
0.150000, -0.439823, 0.328173
0.150000, -0.376991, 0.327466
0.150000, -0.314159, 0.326862
0.150000, -0.251327, 0.326364
0.150000, -0.188496, 0.325974
0.150000, -0.125664, 0.325694
0.150000, -0.062832, 0.325525
0.150000, 0.000000, 0.325469
0.150000, 0.062832, 0.325525
0.150000, 0.125664, 0.325694
0.150000, 0.188496, 0.325974
0.150000, 0.251327, 0.326364
0.150000, 0.314159, 0.326862
0.150000, 0.376991, 0.327466
0.150000, 0.439823, 0.328173
0.150000, 0.502655, 0.328979
0.150000, 0.565487, 0.329880
0.150000, 0.628319, 0.330873
0.150000, 0.691150, 0.331951
0.150000, 0.753982, 0.333112
0.150000, 0.816814, 0.334347
0.150000, 0.879646, 0.335654
0.150000, 0.942478, 0.337024
0.150000, 1.005310, 0.338452
0.150000, 1.068142, 0.339933
0.150000, 1.130973, 0.341458
0.150000, 1.193805, 0.343022
0.150000, 1.256637, 0.344619
0.150000, 1.319469, 0.346240
0.150000, 1.382301, 0.347881
0.150000, 1.445133, 0.349533
0.150000, 1.507964, 0.351190
0.150000, 1.570796, 0.352847
0.150000, 1.633628, 0.354495
0.150000, 1.696460, 0.356130
0.150000, 1.759292, 0.357744
0.150000, 1.822124, 0.359331
0.150000, 1.884956, 0.360887
0.150000, 1.947787, 0.362405
0.150000, 2.010619, 0.363879
0.150000, 2.073451, 0.365304
0.150000, 2.136283, 0.366676
0.150000, 2.199115, 0.367989
0.150000, 2.261947, 0.369240
0.150000, 2.324779, 0.370423
0.150000, 2.387610, 0.371535
0.150000, 2.450442, 0.372572
0.150000, 2.513274, 0.373530
0.150000, 2.576106, 0.374407
0.150000, 2.638938, 0.375199
0.150000, 2.701770, 0.375904
0.150000, 2.764602, 0.376520
0.150000, 2.827433, 0.377044
0.150000, 2.890265, 0.377476
0.150000, 2.953097, 0.377813
0.150000, 3.015929, 0.378054
0.150000, 3.078761, 0.378199
0.160000, -3.141593, 0.380007
0.160000, -3.078761, 0.379956
0.160000, -3.015929, 0.379801
0.160000, -2.953097, 0.379545
0.160000, -2.890265, 0.379187
0.160000, -2.827433, 0.378729
0.160000, -2.764602, 0.378172
0.160000, -2.701770, 0.377518
0.160000, -2.638938, 0.376769
0.160000, -2.576106, 0.375928
0.160000, -2.513274, 0.374996
0.160000, -2.450442, 0.373978
0.160000, -2.387610, 0.372876
0.160000, -2.324779, 0.371694
0.160000, -2.261947, 0.370436
0.160000, -2.199115, 0.369107
0.160000, -2.136283, 0.367710
0.160000, -2.073451, 0.366251
0.160000, -2.010619, 0.364734
0.160000, -1.947787, 0.363165
0.160000, -1.884956, 0.361549
0.160000, -1.822124, 0.359893
0.160000, -1.759292, 0.358202
0.160000, -1.696460, 0.356482
0.160000, -1.633628, 0.354740
0.160000, -1.570796, 0.352983
0.160000, -1.507964, 0.351216
0.160000, -1.445133, 0.349448
0.160000, -1.382301, 0.347685
0.160000, -1.319469, 0.345934
0.160000, -1.256637, 0.344203
0.160000, -1.193805, 0.342498
0.160000, -1.130973, 0.340826
0.160000, -1.068142, 0.339196
0.160000, -1.005310, 0.337613
0.160000, -0.942478, 0.336085
0.160000, -0.879646, 0.334619
0.160000, -0.816814, 0.333222
0.160000, -0.753982, 0.331899
0.160000, -0.691150, 0.330657
0.160000, -0.628319, 0.329501
0.160000, -0.565487, 0.328438
0.160000, -0.502655, 0.327472
0.160000, -0.439823, 0.326609
0.160000, -0.376991, 0.325851
0.160000, -0.314159, 0.325204
0.160000, -0.251327, 0.324670
0.160000, -0.188496, 0.324251
0.160000, -0.125664, 0.323951
0.160000, -0.062832, 0.323770
0.160000, 0.000000, 0.323710
0.160000, 0.062832, 0.323770
0.160000, 0.125664, 0.323951
0.160000, 0.188496, 0.324251
0.160000, 0.251327, 0.324670
0.160000, 0.314159, 0.325204
0.160000, 0.376991, 0.325851
0.160000, 0.439823, 0.326609
0.160000, 0.502655, 0.327472
0.160000, 0.565487, 0.328438
0.160000, 0.628319, 0.329501
0.160000, 0.691150, 0.330657
0.160000, 0.753982, 0.331899
0.160000, 0.816814, 0.333222
0.160000, 0.879646, 0.334619
0.160000, 0.942478, 0.336085
0.160000, 1.005310, 0.337613
0.160000, 1.068142, 0.339196
0.160000, 1.130973, 0.340826
0.160000, 1.193805, 0.342498
0.160000, 1.256637, 0.344203
0.160000, 1.319469, 0.345934
0.160000, 1.382301, 0.347685
0.160000, 1.445133, 0.349448
0.160000, 1.507964, 0.351216
0.160000, 1.570796, 0.352983
0.160000, 1.633628, 0.354740
0.160000, 1.696460, 0.356482
0.160000, 1.759292, 0.358202
0.160000, 1.822124, 0.359893
0.160000, 1.884956, 0.361549
0.160000, 1.947787, 0.363165
0.160000, 2.010619, 0.364734
0.160000, 2.073451, 0.366251
0.160000, 2.136283, 0.367710
0.160000, 2.199115, 0.369107
0.160000, 2.261947, 0.370436
0.160000, 2.324779, 0.371694
0.160000, 2.387610, 0.372876
0.160000, 2.450442, 0.373978
0.160000, 2.513274, 0.374996
0.160000, 2.576106, 0.375928
0.160000, 2.638938, 0.376769
0.160000, 2.701770, 0.377518
0.160000, 2.764602, 0.378172
0.160000, 2.827433, 0.378729
0.160000, 2.890265, 0.379187
0.160000, 2.953097, 0.379545
0.160000, 3.015929, 0.379801
0.160000, 3.078761, 0.379956
0.170000, -3.141593, 0.381766
0.170000, -3.078761, 0.381712
0.170000, -3.015929, 0.381549
0.170000, -2.953097, 0.381278
0.170000, -2.890265, 0.380899
0.170000, -2.827433, 0.380415
0.170000, -2.764602, 0.379826
0.170000, -2.701770, 0.379134
0.170000, -2.638938, 0.378341
0.170000, -2.576106, 0.377451
0.170000, -2.513274, 0.376465
0.170000, -2.450442, 0.375387
0.170000, -2.387610, 0.374221
0.170000, -2.324779, 0.372970
0.170000, -2.261947, 0.371638
0.170000, -2.199115, 0.370229
0.170000, -2.136283, 0.368750
0.170000, -2.073451, 0.367203
0.170000, -2.010619, 0.365595
0.170000, -1.947787, 0.363932
0.170000, -1.884956, 0.362219
0.170000, -1.822124, 0.360462
0.170000, -1.759292, 0.358668
0.170000, -1.696460, 0.356843
0.170000, -1.633628, 0.354993
0.170000, -1.570796, 0.353127
0.170000, -1.507964, 0.351251
0.170000, -1.445133, 0.349372
0.170000, -1.382301, 0.347498
0.170000, -1.319469, 0.345637
0.170000, -1.256637, 0.343795
0.170000, -1.193805, 0.341981
0.170000, -1.130973, 0.340202
0.170000, -1.068142, 0.338466
0.170000, -1.005310, 0.336781
0.170000, -0.942478, 0.335153
0.170000, -0.879646, 0.333591
0.170000, -0.816814, 0.332101
0.170000, -0.753982, 0.330691
0.170000, -0.691150, 0.329366
0.170000, -0.628319, 0.328134
0.170000, -0.565487, 0.326999
0.170000, -0.502655, 0.325968
0.170000, -0.439823, 0.325046
0.170000, -0.376991, 0.324238
0.170000, -0.314159, 0.323546
0.170000, -0.251327, 0.322976
0.170000, -0.188496, 0.322529
0.170000, -0.125664, 0.322208
0.170000, -0.062832, 0.322015
0.170000, 0.000000, 0.321950
0.170000, 0.062832, 0.322015
0.170000, 0.125664, 0.322208
0.170000, 0.188496, 0.322529
0.170000, 0.251327, 0.322976
0.170000, 0.314159, 0.323546
0.170000, 0.376991, 0.324238
0.170000, 0.439823, 0.325046
0.170000, 0.502655, 0.325968
0.170000, 0.565487, 0.326999
0.170000, 0.628319, 0.328134
0.170000, 0.691150, 0.329366
0.170000, 0.753982, 0.330691
0.170000, 0.816814, 0.332101
0.170000, 0.879646, 0.333591
0.170000, 0.942478, 0.335153
0.170000, 1.005310, 0.336781
0.170000, 1.068142, 0.338466
0.170000, 1.130973, 0.340202
0.170000, 1.193805, 0.341981
0.170000, 1.256637, 0.343795
0.170000, 1.319469, 0.345637
0.170000, 1.382301, 0.347498
0.170000, 1.445133, 0.349372
0.170000, 1.507964, 0.351251
0.170000, 1.570796, 0.353127
0.170000, 1.633628, 0.354993
0.170000, 1.696460, 0.356843
0.170000, 1.759292, 0.358668
0.170000, 1.822124, 0.360462
0.170000, 1.884956, 0.362219
0.170000, 1.947787, 0.363932
0.170000, 2.010619, 0.365595
0.170000, 2.073451, 0.367203
0.170000, 2.136283, 0.368750
0.170000, 2.199115, 0.370229
0.170000, 2.261947, 0.371638
0.170000, 2.324779, 0.372970
0.170000, 2.387610, 0.374221
0.170000, 2.450442, 0.375387
0.170000, 2.513274, 0.376465
0.170000, 2.576106, 0.377451
0.170000, 2.638938, 0.378341
0.170000, 2.701770, 0.379134
0.170000, 2.764602, 0.379826
0.170000, 2.827433, 0.380415
0.170000, 2.890265, 0.380899
0.170000, 2.953097, 0.381278
0.170000, 3.015929, 0.381549
0.170000, 3.078761, 0.381712
0.180000, -3.141593, 0.383526
0.180000, -3.078761, 0.383468
0.180000, -3.015929, 0.383296
0.180000, -2.953097, 0.383011
0.180000, -2.890265, 0.382612
0.180000, -2.827433, 0.382101
0.180000, -2.764602, 0.381480
0.180000, -2.701770, 0.380751
0.180000, -2.638938, 0.379915
0.180000, -2.576106, 0.378976
0.180000, -2.513274, 0.377936
0.180000, -2.450442, 0.376799
0.180000, -2.387610, 0.375569
0.180000, -2.324779, 0.374249
0.180000, -2.261947, 0.372843
0.180000, -2.199115, 0.371357
0.180000, -2.136283, 0.369794
0.180000, -2.073451, 0.368162
0.180000, -2.010619, 0.366464
0.180000, -1.947787, 0.364706
0.180000, -1.884956, 0.362896
0.180000, -1.822124, 0.361039
0.180000, -1.759292, 0.359142
0.180000, -1.696460, 0.357212
0.180000, -1.633628, 0.355255
0.180000, -1.570796, 0.353281
0.180000, -1.507964, 0.351295
0.180000, -1.445133, 0.349305
0.180000, -1.382301, 0.347320
0.180000, -1.319469, 0.345348
0.180000, -1.256637, 0.343396
0.180000, -1.193805, 0.341473
0.180000, -1.130973, 0.339586
0.180000, -1.068142, 0.337745
0.180000, -1.005310, 0.335956
0.180000, -0.942478, 0.334228
0.180000, -0.879646, 0.332569
0.180000, -0.816814, 0.330987
0.180000, -0.753982, 0.329488
0.180000, -0.691150, 0.328080
0.180000, -0.628319, 0.326770
0.180000, -0.565487, 0.325563
0.180000, -0.502655, 0.324467
0.180000, -0.439823, 0.323486
0.180000, -0.376991, 0.322626
0.180000, -0.314159, 0.321890
0.180000, -0.251327, 0.321283
0.180000, -0.188496, 0.320807
0.180000, -0.125664, 0.320465
0.180000, -0.062832, 0.320260
0.180000, 0.000000, 0.320191
0.180000, 0.062832, 0.320260
0.180000, 0.125664, 0.320465
0.180000, 0.188496, 0.320807
0.180000, 0.251327, 0.321283
0.180000, 0.314159, 0.321890
0.180000, 0.376991, 0.322626
0.180000, 0.439823, 0.323486
0.180000, 0.502655, 0.324467
0.180000, 0.565487, 0.325563
0.180000, 0.628319, 0.326770
0.180000, 0.691150, 0.328080
0.180000, 0.753982, 0.329488
0.180000, 0.816814, 0.330987
0.180000, 0.879646, 0.332569
0.180000, 0.942478, 0.334228
