ptf, etaf, rapidity
-1.400000, 0.150000, -1.134572
-1.400000, 0.188500, -1.211534
-1.400000, 0.227000, -1.260693
-1.400000, 0.265500, -1.293490
-1.400000, 0.304000, -1.316243
-1.400000, 0.342500, -1.332576
-1.400000, 0.381000, -1.344647
-1.400000, 0.419500, -1.353796
-1.400000, 0.458000, -1.360881
-1.400000, 0.496500, -1.366473
-1.400000, 0.535000, -1.370959
-1.400000, 0.573500, -1.374609
-1.400000, 0.612000, -1.377618
-1.400000, 0.650500, -1.380125
-1.400000, 0.689000, -1.382237
-1.400000, 0.727500, -1.384031
-1.400000, 0.766000, -1.385568
-1.400000, 0.804500, -1.386894
-1.400000, 0.843000, -1.388047
-1.400000, 0.881500, -1.389054
-1.400000, 0.920000, -1.389940
-1.400000, 0.958500, -1.390723
-1.400000, 0.997000, -1.391418
-1.400000, 1.035500, -1.392038
-1.400000, 1.074000, -1.392593
-1.400000, 1.112500, -1.393093
-1.400000, 1.151000, -1.393543
-1.400000, 1.189500, -1.393952
-1.400000, 1.228000, -1.394322
-1.400000, 1.266500, -1.394660
-1.400000, 1.305000, -1.394968
-1.400000, 1.343500, -1.395251
-1.400000, 1.382000, -1.395510
-1.400000, 1.420500, -1.395749
-1.400000, 1.459000, -1.395969
-1.400000, 1.497500, -1.396173
-1.400000, 1.536000, -1.396362
-1.400000, 1.574500, -1.396537
-1.400000, 1.613000, -1.396699
-1.400000, 1.651500, -1.396851
-1.400000, 1.690000, -1.396992
-1.400000, 1.728500, -1.397124
-1.400000, 1.767000, -1.397248
-1.400000, 1.805500, -1.397363
-1.400000, 1.844000, -1.397472
-1.400000, 1.882500, -1.397574
-1.400000, 1.921000, -1.397670
-1.400000, 1.959500, -1.397760
-1.400000, 1.998000, -1.397846
-1.400000, 2.036500, -1.397926
-1.400000, 2.075000, -1.398002
-1.400000, 2.113500, -1.398074
-1.400000, 2.152000, -1.398142
-1.400000, 2.190500, -1.398207
-1.400000, 2.229000, -1.398268
-1.400000, 2.267500, -1.398326
-1.400000, 2.306000, -1.398382
-1.400000, 2.344500, -1.398434
-1.400000, 2.383000, -1.398484
-1.400000, 2.421500, -1.398532
-1.400000, 2.460000, -1.398578
-1.400000, 2.498500, -1.398621
-1.400000, 2.537000, -1.398662
-1.400000, 2.575500, -1.398702
-1.400000, 2.614000, -1.398740
-1.400000, 2.652500, -1.398776
-1.400000, 2.691000, -1.398811
-1.400000, 2.729500, -1.398844
-1.400000, 2.768000, -1.398876
-1.400000, 2.806500, -1.398907
-1.400000, 2.845000, -1.398936
-1.400000, 2.883500, -1.398964
-1.400000, 2.922000, -1.398991
-1.400000, 2.960500, -1.399017
-1.400000, 2.999000, -1.399042
-1.400000, 3.037500, -1.399066
-1.400000, 3.076000, -1.399090
-1.400000, 3.114500, -1.399112
-1.400000, 3.153000, -1.399134
-1.400000, 3.191500, -1.399154
-1.400000, 3.230000, -1.399174
-1.400000, 3.268500, -1.399194
-1.400000, 3.307000, -1.399212
-1.400000, 3.345500, -1.399230
-1.400000, 3.384000, -1.399248
-1.400000, 3.422500, -1.399264
-1.400000, 3.461000, -1.399281
-1.400000, 3.499500, -1.399296
-1.400000, 3.538000, -1.399312
-1.400000, 3.576500, -1.399326
-1.400000, 3.615000, -1.399341
-1.400000, 3.653500, -1.399354
-1.400000, 3.692000, -1.399368
