phi,dN/dphi
-1,0.000654479
-0.995,0.000661234
-0.99,0.000668053
-0.985,0.000674937
-0.98,0.000681886
-0.975,0.0006889
-0.97,0.000695979
-0.965,0.000703124
-0.96,0.000710336
-0.955,0.000717614
-0.95,0.000724958
-0.945,0.00073237
-0.94,0.000739849
-0.935,0.000747395
-0.93,0.000755009
-0.925,0.000762692
-0.92,0.000770442
-0.915,0.000778261
-0.91,0.000786149
-0.905,0.000794106
-0.9,0.000802131
-0.895,0.000810227
-0.89,0.000818391
-0.885,0.000826625
-0.88,0.000834929
-0.875,0.000843303
-0.87,0.000851746
-0.865,0.00086026
-0.86,0.000868844
-0.855,0.000877498
-0.85,0.000886223
-0.845,0.000895018
-0.84,0.000903883
-0.835,0.000912819
-0.83,0.000921825
-0.825,0.000930901
-0.82,0.000940048
-0.815,0.000949265
-0.81,0.000958552
-0.805,0.00096791
-0.8,0.000977337
-0.795,0.000986834
-0.79,0.000996401
-0.785,0.00100604
-0.78,0.00101574
-0.775,0.00102552
-0.77,0.00103536
-0.765,0.00104527
-0.76,0.00105525
-0.755,0.0010653
-0.75,0.00107542
-0.745,0.0010856
-0.74,0.00109585
-0.735,0.00110617
-0.73,0.00111655
-0.725,0.001127
-0.72,0.00113752
-0.715,0.0011481
-0.71,0.00115874
-0.705,0.00116944
-0.7,0.00118021
-0.695,0.00119104
-0.69,0.00120194
-0.685,0.00121289
-0.68,0.00122391
-0.675,0.00123498
-0.67,0.00124611
-0.665,0.0012573
-0.66,0.00126855
-0.655,0.00127986
-0.65,0.00129121
-0.645,0.00130263
-0.64,0.00131409
-0.635,0.00132561
-0.63,0.00133718
-0.625,0.0013488
-0.62,0.00136047
-0.615,0.00137219
-0.61,0.00138396
-0.605,0.00139577
-0.6,0.00140762
-0.595,0.00141952
-0.59,0.00143146
-0.585,0.00144344
-0.58,0.00145546
-0.575,0.00146751
-0.57,0.0014796
-0.565,0.00149173
-0.56,0.00150389
-0.555,0.00151608
-0.55,0.0015283
-0.545,0.00154054
-0.54,0.00155282
-0.535,0.00156511
-0.53,0.00157743
-0.525,0.00158978
-0.52,0.00160214
-0.515,0.00161451
-0.51,0.0016269
-0.505,0.00163931
-0.5,0.00165173
-0.495,0.00166415
-0.49,0.00167658
-0.485,0.00168902
-0.48,0.00170146
-0.475,0.00171389
-0.47,0.00172633
-0.465,0.00173876
-0.46,0.00175119
-0.455,0.0017636
-0.45,0.00177601
-0.445,0.0017884
-0.44,0.00180077
-0.435,0.00181313
-0.43,0.00182546
-0.425,0.00183777
-0.42,0.00185005
-0.415,0.0018623
-0.41,0.00187452
-0.405,0.00188671
-0.4,0.00189886
-0.395,0.00191096
-0.39,0.00192303
-0.385,0.00193504
-0.38,0.00194701
-0.375,0.00195893
-0.37,0.00197079
-0.365,0.00198259
-0.36,0.00199434
-0.355,0.00200602
-0.35,0.00201763
-0.345,0.00202917
-0.34,0.00204064
-0.335,0.00205203
-0.33,0.00206335
-0.325,0.00207458
-0.32,0.00208573
-0.315,0.00209679
-0.31,0.00210776
-0.305,0.00211863
-0.3,0.00212941
-0.295,0.00214008
-0.29,0.00215065
-0.285,0.00216112
-0.28,0.00217147
-0.275,0.00218171
-0.27,0.00219183
-0.265,0.00220184
-0.26,0.00221172
-0.255,0.00222148
