ptf,d^2N/detadpT
0.1,8.4165e-06,0
0.11,1.02111e-05,0
0.12,1.21877e-05,0
0.13,1.43494e-05,0
0.14,1.66997e-05,0
0.15,1.92422e-05,0
0.16,2.1981e-05,0
0.17,2.49201e-05,0
0.18,2.80643e-05,0
0.19,3.14184e-05,0
0.2,3.49873e-05,0
0.21,3.87766e-05,0
0.22,4.2792e-05,0
0.23,4.70394e-05,0
0.24,5.15252e-05,0
0.25,5.62558e-05,0
0.26,6.12381e-05,0
0.27,6.64793e-05,0
0.28,7.19869e-05,0
0.29,7.77685e-05,0
0.3,8.38322e-05,0
0.31,9.01863e-05,0
0.32,9.68394e-05,0
0.33,0.0001038,0
0.34,0.000111079,0
0.35,0.000118683,0
0.36,0.000126625,0
0.37,0.000134912,0
0.38,0.000143557,0
0.39,0.000152569,0
0.4,0.00016196,0
0.41,0.00017174,0
0.42,0.000181922,0
0.43,0.000192518,0
0.44,0.000203539,0
0.45,0.000214997,0
0.46,0.000226907,0
0.47,0.00023928,0
0.48,0.00025213,0
0.49,0.000265471,0
0.5,0.000279317,0
0.51,0.000293682,0
0.52,0.000308581,0
0.53,0.000324029,0
0.54,0.00034004,0
0.55,0.000356631,0
0.56,0.000373818,0
0.57,0.000391616,0
0.58,0.000410042,0
0.59,0.000429113,0
0.6,0.000448847,0
0.61,0.00046926,0
0.62,0.000490371,0
0.63,0.000512198,0
0.64,0.000534761,0
0.65,0.000558077,0
0.66,0.000582166,0
0.67,0.000607049,0
0.68,0.000632745,0
0.69,0.000659275,0
0.7,0.000686661,0
0.71,0.000714924,0
0.72,0.000744086,0
0.73,0.000774169,0
0.74,0.000805198,0
0.75,0.000837195,0
0.76,0.000870184,0
0.77,0.000904191,0
0.78,0.00093924,0
0.79,0.000975357,0
0.8,0.00101257,0
0.81,0.0010509,0
0.82,0.00109039,0
0.83,0.00113105,0
0.84,0.00117293,0
0.85,0.00121603,0
0.86,0.00126041,0
0.87,0.00130609,0
0.88,0.00135311,0
0.89,0.00140148,0
0.9,0.00145127,0
0.91,0.00150248,0
0.92,0.00155517,0
0.93,0.00160937,0
0.94,0.00166512,0
0.95,0.00172246,0
0.96,0.00178143,0
0.97,0.00184207,0
0.98,0.00190443,0
0.99,0.00196854,0
1,0.00203446,0
1.01,0.00210224,0
1.02,0.00217191,0
1.03,0.00224355,0
1.04,0.00231718,0
1.05,0.00239288,0
1.06,0.00247069,0
1.07,0.00255067,0
1.08,0.00263289,0
1.09,0.0027174,0
1.1,0.00280426,0
1.11,0.00289355,0
1.12,0.00298533,0
1.13,0.00307966,0
1.14,0.00317663,0
1.15,0.0032763,0
1.16,0.00337875,0
1.17,0.00348407,0
1.18,0.00359232,0
1.19,0.00370361,0
1.2,0.00381801,0
1.21,0.00393562,0
1.22,0.00405652,0
1.23,0.00418082,0
1.24,0.00430861,0
1.25,0.00444,0
1.26,0.00457509,0
1.27,0.00471399,0
1.28,0.0048568,0
1.29,0.00500366,0
1.3,0.00515466,0
1.31,0.00530994,0
1.32,0.00546962,0
1.33,0.00563382,0
1.34,0.00580268,0
1.35,0.00597632,0
1.36,0.00615488,0
1.37,0.0063385,0
1.38,0.00652731,0
1.39,0.00672146,0
1.4,0.00692108,0
1.41,0.00712631,0
1.42,0.00733729,0
1.43,0.00755415,0
1.44,0.00777703,0
1.45,0.00800605,0
1.46,0.00824133,0
1.47,0.00848299,0
1.48,0.00873111,0
1.49,0.00898578,0
1.5,0.00924707,0
1.51,0.00951501,0
1.52,0.00978962,0
1.53,0.0100709,0
1.54,0.0103587,0
1.55,0.010653,0
1.56,0.0109536,0
1.57,0.0112603,0
1.58,0.0115728,0
1.59,0.0118905,0
1.6,0.0122132,0
1.61,0.01254,0
1.62,0.0128703,0
1.63,0.0132031,0
1.64,0.0135373,0
1.65,0.0138717,0
1.66,0.0142047,0
1.67,0.0145346,0
1.68,0.0148595,0
1.69,0.0151773,0
1.7,0.0154856,0
1.71,0.0157818,0
1.72,0.0160632,0
1.73,0.0163268,0
1.74,0.0165699,0
1.75,0.0167895,0
1.76,0.0169829,0
1.77,0.0171476,0
1.78,0.0172815,0
1.79,0.0173828,0
1.8,0.0174504,0
1.81,0.0174837,0
1.82,0.0174828,0
1.83,0.0174482,0
1.84,0.0173811,0
1.85,0.0172834,0
1.86,0.0171569,0
1.87,0.0170043,0
1.88,0.0168279,0
1.89,0.0166306,0
1.9,0.016415,0
1.91,0.0161838,0
1.92,0.0159393,0
1.93,0.0156842,0
1.94,0.0154204,0
1.95,0.01515,0
1.96,0.0148748,0
1.97,0.0145963,0
1.98,0.0143159,0
1.99,0.0140349,0
