#: table_doi: 10.17182/hepdata.56006.v1/t3
#: name: Table 3
#: description: Measured differential yield of charged hadrons as a function oftransverse momentum for pseudorapidities 1.7, 1.9, 2.1 and 2.3 for centre-of-mass energy 7000 GeV.Errors are statistical and systematic added in quadrature.

#: data_file: Table3.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 7000.0
#: ETARAP(P=3),,,1.6-1.8
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,10.38,0.53,-0.53
0.25,0.2,0.3,10.64,0.53,-0.53
0.35,0.3,0.4,8.17,0.42,-0.42
0.45,0.4,0.5,6.39,0.33,-0.33
0.55,0.5,0.6,4.79,0.26,-0.26
0.6499999999999999,0.6,0.7,3.75,0.2,-0.2
0.75,0.7,0.8,2.86,0.16,-0.16
0.8500000000000001,0.8,0.9,2.26,0.13,-0.13
0.95,0.9,1.0,1.75,0.1,-0.1
1.1,1.0,1.2,1.24,0.07,-0.07
1.2999999999999998,1.2,1.4,0.82,0.05,-0.05
1.5,1.4,1.6,0.5,0.03,-0.03
1.7000000000000002,1.6,1.8,0.35,0.02,-0.02
1.9,1.8,2.0,0.24,0.02,-0.02

#: ETARAP(P=3),,,1.8-2.0
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,10.53,0.54,-0.54
0.25,0.2,0.3,10.38,0.52,-0.52
0.35,0.3,0.4,8.08,0.41,-0.41
0.45,0.4,0.5,6.44,0.33,-0.33
0.55,0.5,0.6,4.91,0.26,-0.26
0.6499999999999999,0.6,0.7,3.8,0.21,-0.21
0.75,0.7,0.8,2.86,0.16,-0.16
0.8500000000000001,0.8,0.9,2.22,0.13,-0.13
0.95,0.9,1.0,1.76,0.11,-0.11
1.1,1.0,1.2,1.22,0.07,-0.07
1.2999999999999998,1.2,1.4,0.77,0.05,-0.05
1.5,1.4,1.6,0.52,0.03,-0.03
1.7000000000000002,1.6,1.8,0.34,0.02,-0.02
1.9,1.8,2.0,0.23,0.02,-0.02

#: ETARAP(P=3),,,2.0-2.2
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,10.8,0.55,-0.55
0.25,0.2,0.3,10.36,0.52,-0.52
0.35,0.3,0.4,8.24,0.42,-0.42
0.45,0.4,0.5,6.43,0.33,-0.33
0.55,0.5,0.6,4.8,0.26,-0.26
0.6499999999999999,0.6,0.7,3.67,0.2,-0.2
0.75,0.7,0.8,2.82,0.16,-0.16
0.8500000000000001,0.8,0.9,2.13,0.13,-0.13
0.95,0.9,1.0,1.7,0.1,-0.1
1.1,1.0,1.2,1.18,0.07,-0.07
1.2999999999999998,1.2,1.4,0.78,0.05,-0.05
1.5,1.4,1.6,0.5,0.03,-0.03
1.7000000000000002,1.6,1.8,0.34,0.02,-0.02
1.9,1.8,2.0,0.21,0.02,-0.02

#: ETARAP(P=3),,,2.2-2.4
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,10.74,0.56,-0.56
0.25,0.2,0.3,9.98,0.51,-0.51
0.35,0.3,0.4,8.14,0.42,-0.42
0.45,0.4,0.5,6.19,0.32,-0.32
0.55,0.5,0.6,4.71,0.25,-0.25
0.6499999999999999,0.6,0.7,3.54,0.2,-0.2
0.75,0.7,0.8,2.73,0.16,-0.16
0.8500000000000001,0.8,0.9,2.16,0.13,-0.13
0.95,0.9,1.0,1.66,0.1,-0.1
1.1,1.0,1.2,1.11,0.06,-0.06
1.2999999999999998,1.2,1.4,0.72,0.04,-0.04
1.5,1.4,1.6,0.45,0.03,-0.03
1.7000000000000002,1.6,1.8,0.29,0.02,-0.02
1.9,1.8,2.0,0.21,0.02,-0.02

