#: table_doi: 10.17182/hepdata.56006.v1/t4
#: name: Table 4
#: description: Measured differential yield of charged hadrons as a function oftransverse momentum for the pseudorapidity range -2.4 to +2.4 for centre-of-mass energy 7000 GeV. Errors are statistical and systematic added in quadrature.

#: data_file: Table4.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 7000.0
#: ETARAP(P=3),,,-2.4-2.4
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(2*PI*PT))*D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-2],error +,error -
0.15000000000000002,0.1,0.2,9.95,0.45,-0.45
0.25,0.2,0.3,6.43,0.29,-0.29
0.35,0.3,0.4,3.7,0.17,-0.17
0.45,0.4,0.5,2.24,0.1,-0.1
0.55,0.5,0.6,1.41,0.064,-0.064
0.6499999999999999,0.6,0.7,0.92,0.042,-0.042
0.75,0.7,0.8,0.617,0.028,-0.028
0.8500000000000001,0.8,0.9,0.427,0.02,-0.02
0.95,0.9,1.0,0.299,0.014,-0.014
1.1,1.0,1.2,0.183,0.0085,-0.0085
1.2999999999999998,1.2,1.4,0.0996,0.0047,-0.0047
1.5,1.4,1.6,0.0566,0.0027,-0.0027
1.7000000000000002,1.6,1.8,0.0338,0.0017,-0.0017
1.9,1.8,2.0,0.0208,0.001,-0.001
2.1,2.0,2.2,0.0132,0.00068,-0.00068
2.3,2.2,2.4,0.00852,0.00045,-0.00045
2.5,2.4,2.6,0.00556,0.00031,-0.00031
2.7,2.6,2.8,0.00369,0.00021,-0.00021
2.9,2.8,3.0,0.00275,0.00016,-0.00016
3.1,3.0,3.2,0.00178,0.00011,-0.00011
3.3,3.2,3.4,0.00125,8.1e-05,-8.1e-05
3.5,3.4,3.6,0.000932,6.3e-05,-6.3e-05
3.7,3.6,3.8,0.000728,5.1e-05,-5.1e-05
3.9,3.8,4.0,0.000484,3.6e-05,-3.6e-05
4.1,4.0,4.2,0.000397,3.1e-05,-3.1e-05
4.300000000000001,4.2,4.4,0.000282,2.4e-05,-2.4e-05
4.5,4.4,4.6,0.00019,1.8e-05,-1.8e-05
4.699999999999999,4.6,4.8,0.00014,1.4e-05,-1.4e-05
4.9,4.8,5.0,0.000115,1.2e-05,-1.2e-05
5.1,5.0,5.2,8.94e-05,1e-05,-1e-05
5.300000000000001,5.2,5.4,6.56e-05,8.8e-06,-8.8e-06
5.5,5.4,5.6,5.48e-05,8.1e-06,-8.1e-06
5.699999999999999,5.6,5.8,4.5e-05,7.5e-06,-7.5e-06
5.9,5.8,6.0,3.61e-05,5.6e-06,-5.6e-06

