#: table_doi: 10.17182/hepdata.56006.v1/t5
#: name: Table 5
#: description: Reconstructed differential charged hadron yields as a function of pseudorapidity averaged over the three methods methodsat a centre-of-mass energy of 7000 GeV.Errors shown are systematic (4 pct).Systematic errors are less than 0.5 pct of the values.

#: data_file: Table5.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering
#: keyword cmenergies: 7000.0
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
ETARAP(P=3),ETARAP(P=3) LOW,ETARAP(P=3) HIGH,D(N)/DETARAP(P=3),error +,error -
-2.25,-2.5,-2.0,6.18,0.25,-0.25
-1.75,-2.0,-1.5,6.26,0.25,-0.25
-1.25,-1.5,-1.0,6.14,0.24,-0.24
-0.75,-1.0,-0.5,6.01,0.24,-0.24
-0.25,-0.5,0.0,5.78,0.23,-0.23
0.25,0.0,0.5,5.78,0.23,-0.23
0.75,0.5,1.0,6.01,0.24,-0.24
1.25,1.0,1.5,6.14,0.24,-0.24
1.75,1.5,2.0,6.26,0.25,-0.25
2.25,2.0,2.5,6.18,0.25,-0.25

