phi,Alice,CMS
-1.28,0.00313382,0.00309603
-1.2544,0.00328162,0.00323668
-1.2288,0.0034375,0.00338484
-1.2032,0.00360189,0.0035409
-1.1776,0.00377523,0.00370526
-1.152,0.00395797,0.00387833
-1.1264,0.00415057,0.00406052
-1.1008,0.00435352,0.00425229
-1.0752,0.00456732,0.00445407
-1.0496,0.00479245,0.00466633
-1.024,0.00502945,0.00488952
-0.9984,0.00527881,0.00512411
-0.9728,0.00554106,0.00537057
-0.9472,0.00581671,0.00562936
-0.9216,0.00610628,0.00590094
-0.896,0.00641025,0.00618577
-0.8704,0.00672911,0.00648426
-0.8448,0.00706331,0.00679682
-0.8192,0.00741327,0.00712382
-0.7936,0.00777935,0.00746561
-0.768,0.00816188,0.00782245
-0.7424,0.0085611,0.00819457
-0.7168,0.00897719,0.00858211
-0.6912,0.00941021,0.00898513
-0.6656,0.00986014,0.00940358
-0.64,0.0103268,0.0098373
-0.6144,0.0108099,0.010286
-0.5888,0.0113088,0.0107492
-0.5632,0.011823,0.0112262
-0.5376,0.0123515,0.0117162
-0.512,0.0128932,0.0122182
-0.4864,0.0134466,0.0127308
-0.4608,0.01401,0.0132525
-0.4352,0.0145813,0.0137812
-0.4096,0.0151582,0.014315
-0.384,0.0157378,0.0148511
-0.3584,0.0163171,0.0153866
-0.3328,0.0168923,0.0159183
-0.3072,0.0174594,0.0164425
-0.2816,0.018014,0.016955
-0.256,0.0185512,0.0174512
-0.2304,0.0190655,0.0179263
-0.2048,0.0195512,0.0183749
-0.1792,0.0200021,0.0187914
-0.1536,0.0204119,0.0191699
-0.128,0.0207739,0.0195042
-0.1024,0.0210817,0.0197885
-0.0768,0.0213289,0.0200168
-0.0512,0.0215101,0.0201842
-0.0256,0.0216208,0.0202864
-6.245e-17,0.021658,0.0203208
0.0256,0.0216208,0.0202864
0.0512,0.0215101,0.0201842
0.0768,0.0213289,0.0200168
0.1024,0.0210817,0.0197885
0.128,0.0207739,0.0195042
0.1536,0.0204119,0.0191699
0.1792,0.0200021,0.0187914
0.2048,0.0195512,0.0183749
0.2304,0.0190655,0.0179263
0.256,0.0185512,0.0174512
0.2816,0.018014,0.016955
0.3072,0.0174594,0.0164425
0.3328,0.0168923,0.0159183
0.3584,0.0163171,0.0153866
0.384,0.0157378,0.0148511
0.4096,0.0151582,0.014315
0.4352,0.0145813,0.0137812
0.4608,0.01401,0.0132525
0.4864,0.0134466,0.0127308
0.512,0.0128932,0.0122182
0.5376,0.0123515,0.0117162
0.5632,0.011823,0.0112262
0.5888,0.0113088,0.0107492
0.6144,0.0108099,0.010286
0.64,0.0103268,0.0098373
0.6656,0.00986014,0.00940358
0.6912,0.00941021,0.00898513
0.7168,0.00897719,0.00858211
0.7424,0.0085611,0.00819457
0.768,0.00816188,0.00782245
0.7936,0.00777935,0.00746561
0.8192,0.00741327,0.00712382
0.8448,0.00706331,0.00679682
0.8704,0.00672911,0.00648426
0.896,0.00641025,0.00618577
0.9216,0.00610628,0.00590094
0.9472,0.00581671,0.00562936
0.9728,0.00554106,0.00537057
0.9984,0.00527881,0.00512411
1.024,0.00502945,0.00488952
1.0496,0.00479245,0.00466633
1.0752,0.00456732,0.00445407
1.1008,0.00435352,0.00425229
1.1264,0.00415057,0.00406052
1.152,0.00395797,0.00387833
1.1776,0.00377523,0.00370526
1.2032,0.00360189,0.0035409
1.2288,0.0034375,0.00338484
1.2544,0.00328162,0.00323668
1.28,0.00313382,0.00309603
