phi,ALICE,CMS
-1.28,0.00201526,0.00195727
-1.2544,0.00210978,0.00204703
-1.2288,0.002209,0.00214119
-1.2032,0.0023131,0.00223989
-1.1776,0.00242226,0.00234332
-1.152,0.00253666,0.00245162
-1.1264,0.00265647,0.00256496
-1.1008,0.00278187,0.00268349
-1.0752,0.00291301,0.00280736
-1.0496,0.00305004,0.00293671
-1.024,0.00319312,0.00307165
-0.9984,0.00334235,0.00321229
-0.9728,0.00349784,0.00335874
-0.9472,0.00365968,0.00351106
-0.9216,0.00382793,0.00366931
-0.896,0.00400263,0.0038335
-0.8704,0.00418376,0.00400364
-0.8448,0.00437129,0.00417967
-0.8192,0.00456515,0.00436153
-0.7936,0.0047652,0.00454909
-0.768,0.00497128,0.00474219
-0.7424,0.00518316,0.0049406
-0.7168,0.00540054,0.00514405
-0.6912,0.00562307,0.00535222
-0.6656,0.00585034,0.0055647
-0.64,0.00608185,0.00578103
-0.6144,0.00631703,0.00600068
-0.5888,0.00655523,0.00622306
-0.5632,0.00679572,0.00644747
-0.5376,0.00703771,0.00667317
-0.512,0.00728029,0.00689934
-0.4864,0.0075225,0.00712507
-0.4608,0.00776329,0.00734939
-0.4352,0.00800154,0.00757128
-0.4096,0.00823608,0.00778962
-0.384,0.00846566,0.00800328
-0.3584,0.00868898,0.00821106
-0.3328,0.00890473,0.00841173
-0.3072,0.00911156,0.00860406
-0.2816,0.00930812,0.00878679
-0.256,0.00949306,0.00895868
-0.2304,0.00966506,0.00911851
-0.2048,0.00982287,0.00926512
-0.1792,0.00996527,0.00939741
-0.1536,0.0100911,0.00951432
-0.128,0.0101995,0.00961495
-0.1024,0.0102894,0.00969845
-0.0768,0.0103602,0.00976415
-0.0512,0.0104111,0.00981148
-0.0256,0.0104419,0.00984004
-6.245e-17,0.0104522,0.00984958
0.0256,0.0104419,0.00984004
0.0512,0.0104111,0.00981148
0.0768,0.0103602,0.00976415
0.1024,0.0102894,0.00969845
0.128,0.0101995,0.00961495
0.1536,0.0100911,0.00951432
0.1792,0.00996527,0.00939741
0.2048,0.00982287,0.00926512
0.2304,0.00966506,0.00911851
0.256,0.00949306,0.00895868
0.2816,0.00930812,0.00878679
0.3072,0.00911156,0.00860406
0.3328,0.00890473,0.00841173
0.3584,0.00868898,0.00821106
0.384,0.00846566,0.00800328
0.4096,0.00823608,0.00778962
0.4352,0.00800154,0.00757128
0.4608,0.00776329,0.00734939
0.4864,0.0075225,0.00712507
0.512,0.00728029,0.00689934
0.5376,0.00703771,0.00667317
0.5632,0.00679572,0.00644747
0.5888,0.00655523,0.00622306
0.6144,0.00631703,0.00600068
0.64,0.00608185,0.00578103
0.6656,0.00585034,0.0055647
0.6912,0.00562307,0.00535222
0.7168,0.00540054,0.00514405
0.7424,0.00518316,0.0049406
0.768,0.00497128,0.00474219
0.7936,0.0047652,0.00454909
0.8192,0.00456515,0.00436153
0.8448,0.00437129,0.00417967
0.8704,0.00418376,0.00400364
0.896,0.00400263,0.0038335
0.9216,0.00382793,0.00366931
0.9472,0.00365968,0.00351106
0.9728,0.00349784,0.00335874
0.9984,0.00334235,0.00321229
1.024,0.00319312,0.00307165
1.0496,0.00305004,0.00293671
1.0752,0.00291301,0.00280736
1.1008,0.00278187,0.00268349
1.1264,0.00265647,0.00256496
1.152,0.00253666,0.00245162
1.1776,0.00242226,0.00234332
1.2032,0.0023131,0.00223989
1.2288,0.002209,0.00214119
1.2544,0.00210978,0.00204703
1.28,0.00201526,0.00195727
