etaf, phif, dF
-5.000000, -1.000000, 0.002426
-5.000000, -0.980000, 0.002702
-5.000000, -0.960000, 0.002911
-5.000000, -0.940000, 0.003136
-5.000000, -0.920000, 0.003382
-5.000000, -0.900000, 0.003650
-5.000000, -0.880000, 0.003944
-5.000000, -0.860000, 0.004265
-5.000000, -0.840000, 0.004617
-5.000000, -0.820000, 0.005003
-5.000000, -0.800000, 0.005427
-5.000000, -0.780000, 0.005893
-5.000000, -0.760000, 0.006404
-5.000000, -0.740000, 0.006968
-5.000000, -0.720000, 0.007589
-5.000000, -0.700000, 0.008273
-5.000000, -0.680000, 0.009028
-5.000000, -0.660000, 0.009863
-5.000000, -0.640000, 0.010786
-5.000000, -0.620000, 0.011807
-5.000000, -0.600000, 0.012938
-5.000000, -0.580000, 0.014193
-5.000000, -0.560000, 0.015586
-5.000000, -0.540000, 0.017133
-5.000000, -0.520000, 0.018854
-5.000000, -0.500000, 0.020770
-5.000000, -0.480000, 0.022906
-5.000000, -0.460000, 0.025288
-5.000000, -0.440000, 0.027949
-5.000000, -0.420000, 0.030925
-5.000000, -0.400000, 0.034256
-5.000000, -0.380000, 0.037990
-5.000000, -0.360000, 0.042181
-5.000000, -0.340000, 0.046892
-5.000000, -0.320000, 0.052197
-5.000000, -0.300000, 0.058181
-5.000000, -0.280000, 0.064946
-5.000000, -0.260000, 0.072611
-5.000000, -0.240000, 0.081322
-5.000000, -0.220000, 0.091257
-5.000000, -0.200000, 0.102637
-5.000000, -0.180000, 0.115742
-5.000000, -0.160000, 0.130943
-5.000000, -0.140000, 0.148737
-5.000000, -0.120000, 0.169832
-5.000000, -0.100000, 0.195287
-5.000000, -0.080000, 0.226825
-5.000000, -0.060000, 0.267593
-5.000000, -0.040000, 0.324533
-5.000000, -0.020000, 0.419850
-5.000000, 0.000000, 1.331624
-5.000000, 0.020000, 0.458623
-5.000000, 0.040000, 0.331887
-5.000000, 0.060000, 0.271637
-5.000000, 0.080000, 0.229765
-5.000000, 0.100000, 0.197594
-5.000000, 0.120000, 0.171713
-5.000000, 0.140000, 0.150307
-5.000000, 0.160000, 0.132274
-5.000000, 0.180000, 0.116883
-5.000000, 0.200000, 0.103623
-5.000000, 0.220000, 0.092116
-5.000000, 0.240000, 0.082073
-5.000000, 0.260000, 0.073270
