etaf, phif, dF
-5.000000, -1.000000, 0.006355
-5.000000, -0.980000, 0.006960
-5.000000, -0.960000, 0.007368
-5.000000, -0.940000, 0.007795
-5.000000, -0.920000, 0.008249
-5.000000, -0.900000, 0.008735
-5.000000, -0.880000, 0.009254
-5.000000, -0.860000, 0.009808
-5.000000, -0.840000, 0.010400
-5.000000, -0.820000, 0.011034
-5.000000, -0.800000, 0.011710
-5.000000, -0.780000, 0.012434
-5.000000, -0.760000, 0.013208
-5.000000, -0.740000, 0.014035
-5.000000, -0.720000, 0.014919
-5.000000, -0.700000, 0.015865
-5.000000, -0.680000, 0.016876
-5.000000, -0.660000, 0.017957
-5.000000, -0.640000, 0.019112
-5.000000, -0.620000, 0.020346
-5.000000, -0.600000, 0.021664
-5.000000, -0.580000, 0.023071
-5.000000, -0.560000, 0.024572
-5.000000, -0.540000, 0.026173
-5.000000, -0.520000, 0.027879
-5.000000, -0.500000, 0.029695
-5.000000, -0.480000, 0.031626
-5.000000, -0.460000, 0.033678
-5.000000, -0.440000, 0.035854
-5.000000, -0.420000, 0.038159
-5.000000, -0.400000, 0.040596
-5.000000, -0.380000, 0.043167
-5.000000, -0.360000, 0.045873
-5.000000, -0.340000, 0.048713
-5.000000, -0.320000, 0.051686
-5.000000, -0.300000, 0.054786
-5.000000, -0.280000, 0.058006
-5.000000, -0.260000, 0.061334
-5.000000, -0.240000, 0.064755
-5.000000, -0.220000, 0.068249
-5.000000, -0.200000, 0.071791
-5.000000, -0.180000, 0.075348
-5.000000, -0.160000, 0.078881
-5.000000, -0.140000, 0.082341
-5.000000, -0.120000, 0.085668
-5.000000, -0.100000, 0.088789
-5.000000, -0.080000, 0.091615
-5.000000, -0.060000, 0.094040
-5.000000, -0.040000, 0.095937
-5.000000, -0.020000, 0.097169
-5.000000, 0.000000, 0.097618
-5.000000, 0.020000, 0.097233
-5.000000, 0.040000, 0.096059
-5.000000, 0.060000, 0.094211
-5.000000, 0.080000, 0.091824
-5.000000, 0.100000, 0.089026
-5.000000, 0.120000, 0.085925
-5.000000, 0.140000, 0.082612
-5.000000, 0.160000, 0.079161
-5.000000, 0.180000, 0.075632
-5.000000, 0.200000, 0.072075
-5.000000, 0.220000, 0.068531
-5.000000, 0.240000, 0.065032
-5.000000, 0.260000, 0.061604
-5.000000, 0.280000, 0.058268
-5.000000, 0.300000, 0.055040
-5.000000, 0.320000, 0.051930
-5.000000, 0.340000, 0.048947
-5.000000, 0.360000, 0.046095
-5.000000, 0.380000, 0.043378
-5.000000, 0.400000, 0.040796
-5.000000, 0.420000, 0.038349
-5.000000, 0.440000, 0.036034
-5.000000, 0.460000, 0.033847
-5.000000, 0.480000, 0.031786
-5.000000, 0.500000, 0.029845
-5.000000, 0.520000, 0.028020
-5.000000, 0.540000, 0.026306
-5.000000, 0.560000, 0.024697
-5.000000, 0.580000, 0.023187
-5.000000, 0.600000, 0.021773
-5.000000, 0.620000, 0.020448
-5.000000, 0.640000, 0.019208
-5.000000, 0.660000, 0.018046
-5.000000, 0.680000, 0.016960
-5.000000, 0.700000, 0.015943
-5.000000, 0.720000, 0.014993
-5.000000, 0.740000, 0.014103
-5.000000, 0.760000, 0.013272
-5.000000, 0.780000, 0.012494
-5.000000, 0.800000, 0.011767
-5.000000, 0.820000, 0.011086
-5.000000, 0.840000, 0.010450
-5.000000, 0.860000, 0.009854
-5.000000, 0.880000, 0.009297
-5.000000, 0.900000, 0.008775
-5.000000, 0.920000, 0.008287
-5.000000, 0.940000, 0.007830
-5.000000, 0.960000, 0.007402
-5.000000, 0.980000, 0.007001
-5.000000, 1.000000, 0.006625
-4.900000, -1.000000, 0.006729
-4.900000, -0.980000, 0.007101
-4.900000, -0.960000, 0.007509
-4.900000, -0.940000, 0.007944
-4.900000, -0.920000, 0.008409
-4.900000, -0.900000, 0.008905
-4.900000, -0.880000, 0.009435
-4.900000, -0.860000, 0.010002
-4.900000, -0.840000, 0.010607
-4.900000, -0.820000, 0.011254
-4.900000, -0.800000, 0.011946
-4.900000, -0.780000, 0.012686
-4.900000, -0.760000, 0.013477
-4.900000, -0.740000, 0.014323
-4.900000, -0.720000, 0.015228
-4.900000, -0.700000, 0.016195
-4.900000, -0.680000, 0.017229
-4.900000, -0.660000, 0.018334
-4.900000, -0.640000, 0.019516
-4.900000, -0.620000, 0.020778
-4.900000, -0.600000, 0.022127
-4.900000, -0.580000, 0.023566
-4.900000, -0.560000, 0.025102
-4.900000, -0.540000, 0.026740
-4.900000, -0.520000, 0.028486
-4.900000, -0.500000, 0.030344
-4.900000, -0.480000, 0.032320
-4.900000, -0.460000, 0.034419
-4.900000, -0.440000, 0.036646
-4.900000, -0.420000, 0.039005
-4.900000, -0.400000, 0.041498
-4.900000, -0.380000, 0.044129
-4.900000, -0.360000, 0.046898
-4.900000, -0.340000, 0.049804
-4.900000, -0.320000, 0.052846
-4.900000, -0.300000, 0.056018
-4.900000, -0.280000, 0.059311
-4.900000, -0.260000, 0.062715
-4.900000, -0.240000, 0.066215
-4.900000, -0.220000, 0.069788
-4.900000, -0.200000, 0.073411
-4.900000, -0.180000, 0.077048
-4.900000, -0.160000, 0.080661
-4.900000, -0.140000, 0.084198
-4.900000, -0.120000, 0.087598
-4.900000, -0.100000, 0.090788
-4.900000, -0.080000, 0.093676
-4.900000, -0.060000, 0.096153
-4.900000, -0.040000, 0.098091
-4.900000, -0.020000, 0.099350
-4.900000, 0.000000, 0.099808
-4.900000, 0.020000, 0.099416
-4.900000, 0.040000, 0.098217
-4.900000, 0.060000, 0.096328
-4.900000, 0.080000, 0.093889
-4.900000, 0.100000, 0.091030
-4.900000, 0.120000, 0.087861
-4.900000, 0.140000, 0.084475
-4.900000, 0.160000, 0.080947
-4.900000, 0.180000, 0.077338
-4.900000, 0.200000, 0.073701
-4.900000, 0.220000, 0.070077
-4.900000, 0.240000, 0.066498
-4.900000, 0.260000, 0.062992
-4.900000, 0.280000, 0.059580
-4.900000, 0.300000, 0.056277
-4.900000, 0.320000, 0.053095
-4.900000, 0.340000, 0.050043
-4.900000, 0.360000, 0.047126
-4.900000, 0.380000, 0.044346
-4.900000, 0.400000, 0.041704
-4.900000, 0.420000, 0.039199
-4.900000, 0.440000, 0.036830
-4.900000, 0.460000, 0.034593
-4.900000, 0.480000, 0.032484
-4.900000, 0.500000, 0.030498
-4.900000, 0.520000, 0.028630
-4.900000, 0.540000, 0.026876
-4.900000, 0.560000, 0.025230
-4.900000, 0.580000, 0.023686
-4.900000, 0.600000, 0.022239
-4.900000, 0.620000, 0.020883
-4.900000, 0.640000, 0.019614
-4.900000, 0.660000, 0.018426
-4.900000, 0.680000, 0.017315
-4.900000, 0.700000, 0.016275
-4.900000, 0.720000, 0.015303
-4.900000, 0.740000, 0.014393
-4.900000, 0.760000, 0.013543
-4.900000, 0.780000, 0.012748
-4.900000, 0.800000, 0.012004
-4.900000, 0.820000, 0.011308
-4.900000, 0.840000, 0.010657
-4.900000, 0.860000, 0.010049
-4.900000, 0.880000, 0.009479
-4.900000, 0.900000, 0.008946
-4.900000, 0.920000, 0.008447
-4.900000, 0.940000, 0.007980
-4.900000, 0.960000, 0.007543
-4.900000, 0.980000, 0.007133
-4.900000, 1.000000, 0.006749
-4.800000, -1.000000, 0.006839
-4.800000, -0.980000, 0.007218
-4.800000, -0.960000, 0.007632
-4.800000, -0.940000, 0.008076
-4.800000, -0.920000, 0.008549
-4.800000, -0.900000, 0.009055
-4.800000, -0.880000, 0.009595
-4.800000, -0.860000, 0.010173
-4.800000, -0.840000, 0.010790
-4.800000, -0.820000, 0.011449
-4.800000, -0.800000, 0.012155
-4.800000, -0.780000, 0.012909
-4.800000, -0.760000, 0.013715
-4.800000, -0.740000, 0.014578
-4.800000, -0.720000, 0.015500
-4.800000, -0.700000, 0.016486
-4.800000, -0.680000, 0.017540
-4.800000, -0.660000, 0.018668
-4.800000, -0.640000, 0.019873
-4.800000, -0.620000, 0.021160
-4.800000, -0.600000, 0.022535
