etaf, phif, dF
-5.000000, -1.000000, 0.004512
-5.000000, -0.980000, 0.004987
-5.000000, -0.960000, 0.005419
-5.000000, -0.940000, 0.005891
-5.000000, -0.920000, 0.006410
-5.000000, -0.900000, 0.006981
-5.000000, -0.880000, 0.007610
-5.000000, -0.860000, 0.008302
-5.000000, -0.840000, 0.009066
-5.000000, -0.820000, 0.009909
-5.000000, -0.800000, 0.010840
-5.000000, -0.780000, 0.011869
-5.000000, -0.760000, 0.013009
-5.000000, -0.740000, 0.014271
-5.000000, -0.720000, 0.015670
-5.000000, -0.700000, 0.017223
-5.000000, -0.680000, 0.018949
-5.000000, -0.660000, 0.020867
-5.000000, -0.640000, 0.023003
-5.000000, -0.620000, 0.025382
-5.000000, -0.600000, 0.028035
-5.000000, -0.580000, 0.030996
-5.000000, -0.560000, 0.034305
-5.000000, -0.540000, 0.038006
-5.000000, -0.520000, 0.042150
-5.000000, -0.500000, 0.046794
-5.000000, -0.480000, 0.052004
-5.000000, -0.460000, 0.057856
-5.000000, -0.440000, 0.064435
-5.000000, -0.420000, 0.071839
-5.000000, -0.400000, 0.080182
-5.000000, -0.380000, 0.089593
-5.000000, -0.360000, 0.100222
-5.000000, -0.340000, 0.112242
-5.000000, -0.320000, 0.125855
-5.000000, -0.300000, 0.141297
-5.000000, -0.280000, 0.158843
-5.000000, -0.260000, 0.178823
-5.000000, -0.240000, 0.201631
-5.000000, -0.220000, 0.227746
-5.000000, -0.200000, 0.257760
-5.000000, -0.180000, 0.292426
-5.000000, -0.160000, 0.332719
-5.000000, -0.140000, 0.379954
-5.000000, -0.120000, 0.435988
-5.000000, -0.100000, 0.503601
-5.000000, -0.080000, 0.587308
-5.000000, -0.060000, 0.695368
-5.000000, -0.040000, 0.846069
-5.000000, -0.020000, 1.097693
-5.000000, 0.000000, 3.161981
-5.000000, 0.020000, 1.144011
-5.000000, 0.040000, 0.855042
-5.000000, 0.060000, 0.700723
-5.000000, 0.080000, 0.591250
-5.000000, 0.100000, 0.506707
-5.000000, 0.120000, 0.438524
-5.000000, 0.140000, 0.382070
-5.000000, 0.160000, 0.334511
-5.000000, 0.180000, 0.293961
-5.000000, 0.200000, 0.259085
-5.000000, 0.220000, 0.228895
-5.000000, 0.240000, 0.202632
-5.000000, 0.260000, 0.179699
-5.000000, 0.280000, 0.159611
-5.000000, 0.300000, 0.141972
-5.000000, 0.320000, 0.126450
-5.000000, 0.340000, 0.112767
-5.000000, 0.360000, 0.100685
-5.000000, 0.380000, 0.090003
-5.000000, 0.400000, 0.080545
-5.000000, 0.420000, 0.072161
-5.000000, 0.440000, 0.064721
-5.000000, 0.460000, 0.058110
-5.000000, 0.480000, 0.052231
-5.000000, 0.500000, 0.046996
-5.000000, 0.520000, 0.042330
-5.000000, 0.540000, 0.038167
-5.000000, 0.560000, 0.034448
-5.000000, 0.580000, 0.031124
-5.000000, 0.600000, 0.028149
-5.000000, 0.620000, 0.025485
-5.000000, 0.640000, 0.023095
-5.000000, 0.660000, 0.020950
-5.000000, 0.680000, 0.019023
-5.000000, 0.700000, 0.017291
-5.000000, 0.720000, 0.015731
-5.000000, 0.740000, 0.014325
-5.000000, 0.760000, 0.013058
-5.000000, 0.780000, 0.011914
-5.000000, 0.800000, 0.010880
-5.000000, 0.820000, 0.009945
-5.000000, 0.840000, 0.009099
-5.000000, 0.860000, 0.008332
-5.000000, 0.880000, 0.007637
-5.000000, 0.900000, 0.007006
-5.000000, 0.920000, 0.006433
-5.000000, 0.940000, 0.005912
-5.000000, 0.960000, 0.005438
-5.000000, 0.980000, 0.005006
-5.000000, 1.000000, 0.004612
-4.900000, -1.000000, 0.004688
-4.900000, -0.980000, 0.005080
-4.900000, -0.960000, 0.005515
-4.900000, -0.940000, 0.005993
-4.900000, -0.920000, 0.006519
-4.900000, -0.900000, 0.007096
-4.900000, -0.880000, 0.007732
-4.900000, -0.860000, 0.008432
-4.900000, -0.840000, 0.009204
-4.900000, -0.820000, 0.010056
-4.900000, -0.800000, 0.010997
-4.900000, -0.780000, 0.012037
-4.900000, -0.760000, 0.013187
-4.900000, -0.740000, 0.014461
-4.900000, -0.720000, 0.015873
-4.900000, -0.700000, 0.017440
-4.900000, -0.680000, 0.019180
-4.900000, -0.660000, 0.021114
-4.900000, -0.640000, 0.023267
-4.900000, -0.620000, 0.025664
-4.900000, -0.600000, 0.028336
-4.900000, -0.580000, 0.031318
-4.900000, -0.560000, 0.034649
-4.900000, -0.540000, 0.038374
-4.900000, -0.520000, 0.042543
-4.900000, -0.500000, 0.047214
-4.900000, -0.480000, 0.052453
-4.900000, -0.460000, 0.058335
-4.900000, -0.440000, 0.064947
-4.900000, -0.420000, 0.072386
-4.900000, -0.400000, 0.080765
-4.900000, -0.380000, 0.090215
-4.900000, -0.360000, 0.100885
-4.900000, -0.340000, 0.112949
-4.900000, -0.320000, 0.126607
-4.900000, -0.300000, 0.142096
-4.900000, -0.280000, 0.159692
-4.900000, -0.260000, 0.179724
-4.900000, -0.240000, 0.202584
-4.900000, -0.220000, 0.228753
-4.900000, -0.200000, 0.258823
-4.900000, -0.180000, 0.293544
-4.900000, -0.160000, 0.333891
-4.900000, -0.140000, 0.381180
-4.900000, -0.120000, 0.437266
-4.900000, -0.100000, 0.504927
-4.900000, -0.080000, 0.588675
-4.900000, -0.060000, 0.696769
-4.900000, -0.040000, 0.847488
-4.900000, -0.020000, 1.099067
-4.900000, 0.000000, 2.986513
-4.900000, 0.020000, 1.141848
-4.900000, 0.040000, 0.856389
-4.900000, 0.060000, 0.702124
-4.900000, 0.080000, 0.592619
-4.900000, 0.100000, 0.508034
-4.900000, 0.120000, 0.439803
-4.900000, 0.140000, 0.383298
-4.900000, 0.160000, 0.335686
-4.900000, 0.180000, 0.295081
-4.900000, 0.200000, 0.260150
-4.900000, 0.220000, 0.229904
-4.900000, 0.240000, 0.203588
-4.900000, 0.260000, 0.180601
-4.900000, 0.280000, 0.160462
-4.900000, 0.300000, 0.142773
-4.900000, 0.320000, 0.127204
-4.900000, 0.340000, 0.113475
-4.900000, 0.360000, 0.101350
-4.900000, 0.380000, 0.090627
-4.900000, 0.400000, 0.081130
-4.900000, 0.420000, 0.072709
-4.900000, 0.440000, 0.065234
-4.900000, 0.460000, 0.058591
-4.900000, 0.480000, 0.052680
-4.900000, 0.500000, 0.047417
-4.900000, 0.520000, 0.042723
-4.900000, 0.540000, 0.038535
-4.900000, 0.560000, 0.034793
-4.900000, 0.580000, 0.031447
-4.900000, 0.600000, 0.028451
-4.900000, 0.620000, 0.025767
-4.900000, 0.640000, 0.023360
-4.900000, 0.660000, 0.021198
-4.900000, 0.680000, 0.019255
-4.900000, 0.700000, 0.017508
-4.900000, 0.720000, 0.015934
-4.900000, 0.740000, 0.014516
-4.900000, 0.760000, 0.013237
-4.900000, 0.780000, 0.012082
-4.900000, 0.800000, 0.011037
