etaf, phif, dF
-5.000000, -1.000000, 0.000385
-5.000000, -0.980000, 0.000404
-5.000000, -0.960000, 0.000420
-5.000000, -0.940000, 0.000437
-5.000000, -0.920000, 0.000454
-5.000000, -0.900000, 0.000472
-5.000000, -0.880000, 0.000491
-5.000000, -0.860000, 0.000510
-5.000000, -0.840000, 0.000530
-5.000000, -0.820000, 0.000551
-5.000000, -0.800000, 0.000573
-5.000000, -0.780000, 0.000595
-5.000000, -0.760000, 0.000618
-5.000000, -0.740000, 0.000642
-5.000000, -0.720000, 0.000667
-5.000000, -0.700000, 0.000693
-5.000000, -0.680000, 0.000719
-5.000000, -0.660000, 0.000746
-5.000000, -0.640000, 0.000774
-5.000000, -0.620000, 0.000802
-5.000000, -0.600000, 0.000832
-5.000000, -0.580000, 0.000861
-5.000000, -0.560000, 0.000892
-5.000000, -0.540000, 0.000923
-5.000000, -0.520000, 0.000955
-5.000000, -0.500000, 0.000987
-5.000000, -0.480000, 0.001019
-5.000000, -0.460000, 0.001052
-5.000000, -0.440000, 0.001085
-5.000000, -0.420000, 0.001118
-5.000000, -0.400000, 0.001151
-5.000000, -0.380000, 0.001183
-5.000000, -0.360000, 0.001216
-5.000000, -0.340000, 0.001248
-5.000000, -0.320000, 0.001279
-5.000000, -0.300000, 0.001310
-5.000000, -0.280000, 0.001340
-5.000000, -0.260000, 0.001369
-5.000000, -0.240000, 0.001396
-5.000000, -0.220000, 0.001422
-5.000000, -0.200000, 0.001447
-5.000000, -0.180000, 0.001470
-5.000000, -0.160000, 0.001491
-5.000000, -0.140000, 0.001509
-5.000000, -0.120000, 0.001526
-5.000000, -0.100000, 0.001540
-5.000000, -0.080000, 0.001552
-5.000000, -0.060000, 0.001561
-5.000000, -0.040000, 0.001568
-5.000000, -0.020000, 0.001572
-5.000000, 0.000000, 0.001574
-5.000000, 0.020000, 0.001572
-5.000000, 0.040000, 0.001568
-5.000000, 0.060000, 0.001562
-5.000000, 0.080000, 0.001552
-5.000000, 0.100000, 0.001541
-5.000000, 0.120000, 0.001526
-5.000000, 0.140000, 0.001510
-5.000000, 0.160000, 0.001491
-5.000000, 0.180000, 0.001470
-5.000000, 0.200000, 0.001447
-5.000000, 0.220000, 0.001423
-5.000000, 0.240000, 0.001397
-5.000000, 0.260000, 0.001369
-5.000000, 0.280000, 0.001340
-5.000000, 0.300000, 0.001311
-5.000000, 0.320000, 0.001280
-5.000000, 0.340000, 0.001248
-5.000000, 0.360000, 0.001216
-5.000000, 0.380000, 0.001184
-5.000000, 0.400000, 0.001151
-5.000000, 0.420000, 0.001118
-5.000000, 0.440000, 0.001085
-5.000000, 0.460000, 0.001052
-5.000000, 0.480000, 0.001020
-5.000000, 0.500000, 0.000987
-5.000000, 0.520000, 0.000955
-5.000000, 0.540000, 0.000924
-5.000000, 0.560000, 0.000893
-5.000000, 0.580000, 0.000862
-5.000000, 0.600000, 0.000832
-5.000000, 0.620000, 0.000803
-5.000000, 0.640000, 0.000774
-5.000000, 0.660000, 0.000746
-5.000000, 0.680000, 0.000719
-5.000000, 0.700000, 0.000693
-5.000000, 0.720000, 0.000667
-5.000000, 0.740000, 0.000643
-5.000000, 0.760000, 0.000619
-5.000000, 0.780000, 0.000595
-5.000000, 0.800000, 0.000573
-5.000000, 0.820000, 0.000551
-5.000000, 0.840000, 0.000530
-5.000000, 0.860000, 0.000510
-5.000000, 0.880000, 0.000491
-5.000000, 0.900000, 0.000472
-5.000000, 0.920000, 0.000454
-5.000000, 0.940000, 0.000437
-5.000000, 0.960000, 0.000420
-5.000000, 0.980000, 0.000404
-5.000000, 1.000000, 0.000389
-4.900000, -1.000000, 0.000395
-4.900000, -0.980000, 0.000410
-4.900000, -0.960000, 0.000426
-4.900000, -0.940000, 0.000443
-4.900000, -0.920000, 0.000460
-4.900000, -0.900000, 0.000479
-4.900000, -0.880000, 0.000498
-4.900000, -0.860000, 0.000517
-4.900000, -0.840000, 0.000537
-4.900000, -0.820000, 0.000559
-4.900000, -0.800000, 0.000580
-4.900000, -0.780000, 0.000603
-4.900000, -0.760000, 0.000626
-4.900000, -0.740000, 0.000651
-4.900000, -0.720000, 0.000676
-4.900000, -0.700000, 0.000701
-4.900000, -0.680000, 0.000728
-4.900000, -0.660000, 0.000755
-4.900000, -0.640000, 0.000783
-4.900000, -0.620000, 0.000812
-4.900000, -0.600000, 0.000842
-4.900000, -0.580000, 0.000872
-4.900000, -0.560000, 0.000902
-4.900000, -0.540000, 0.000934
-4.900000, -0.520000, 0.000966
-4.900000, -0.500000, 0.000998
-4.900000, -0.480000, 0.001030
-4.900000, -0.460000, 0.001063
-4.900000, -0.440000, 0.001097
-4.900000, -0.420000, 0.001130
-4.900000, -0.400000, 0.001163
-4.900000, -0.380000, 0.001196
-4.900000, -0.360000, 0.001229
-4.900000, -0.340000, 0.001261
-4.900000, -0.320000, 0.001292
-4.900000, -0.300000, 0.001323
-4.900000, -0.280000, 0.001353
-4.900000, -0.260000, 0.001382
-4.900000, -0.240000, 0.001410
-4.900000, -0.220000, 0.001436
-4.900000, -0.200000, 0.001461
-4.900000, -0.180000, 0.001484
-4.900000, -0.160000, 0.001505
-4.900000, -0.140000, 0.001524
-4.900000, -0.120000, 0.001541
-4.900000, -0.100000, 0.001555
-4.900000, -0.080000, 0.001567
-4.900000, -0.060000, 0.001576
-4.900000, -0.040000, 0.001583
-4.900000, -0.020000, 0.001587
-4.900000, 0.000000, 0.001589
-4.900000, 0.020000, 0.001587
-4.900000, 0.040000, 0.001583
-4.900000, 0.060000, 0.001576
-4.900000, 0.080000, 0.001567
-4.900000, 0.100000, 0.001555
-4.900000, 0.120000, 0.001541
-4.900000, 0.140000, 0.001524
-4.900000, 0.160000, 0.001505
-4.900000, 0.180000, 0.001484
-4.900000, 0.200000, 0.001461
-4.900000, 0.220000, 0.001437
-4.900000, 0.240000, 0.001411
-4.900000, 0.260000, 0.001383
-4.900000, 0.280000, 0.001354
-4.900000, 0.300000, 0.001324
-4.900000, 0.320000, 0.001293
-4.900000, 0.340000, 0.001261
-4.900000, 0.360000, 0.001229
-4.900000, 0.380000, 0.001196
-4.900000, 0.400000, 0.001163
-4.900000, 0.420000, 0.001130
-4.900000, 0.440000, 0.001097
-4.900000, 0.460000, 0.001064
-4.900000, 0.480000, 0.001031
-4.900000, 0.500000, 0.000998
-4.900000, 0.520000, 0.000966
-4.900000, 0.540000, 0.000934
-4.900000, 0.560000, 0.000903
-4.900000, 0.580000, 0.000872
-4.900000, 0.600000, 0.000842
-4.900000, 0.620000, 0.000813
-4.900000, 0.640000, 0.000784
-4.900000, 0.660000, 0.000756
-4.900000, 0.680000, 0.000728
-4.900000, 0.700000, 0.000702
-4.900000, 0.720000, 0.000676
-4.900000, 0.740000, 0.000651
-4.900000, 0.760000, 0.000627
-4.900000, 0.780000, 0.000603
-4.900000, 0.800000, 0.000581
-4.900000, 0.820000, 0.000559
-4.900000, 0.840000, 0.000538
-4.900000, 0.860000, 0.000517
-4.900000, 0.880000, 0.000498
-4.900000, 0.900000, 0.000479
-4.900000, 0.920000, 0.000461
-4.900000, 0.940000, 0.000443
-4.900000, 0.960000, 0.000427
-4.900000, 0.980000, 0.000410
-4.900000, 1.000000, 0.000395
-4.800000, -1.000000, 0.000400
-4.800000, -0.980000, 0.000416
-4.800000, -0.960000, 0.000432
-4.800000, -0.940000, 0.000449
-4.800000, -0.920000, 0.000466
-4.800000, -0.900000, 0.000485
-4.800000, -0.880000, 0.000504
-4.800000, -0.860000, 0.000524
-4.800000, -0.840000, 0.000544
-4.800000, -0.820000, 0.000565
-4.800000, -0.800000, 0.000587
-4.800000, -0.780000, 0.000610
-4.800000, -0.760000, 0.000634
-4.800000, -0.740000, 0.000658
-4.800000, -0.720000, 0.000683
-4.800000, -0.700000, 0.000709
-4.800000, -0.680000, 0.000736
-4.800000, -0.660000, 0.000763
-4.800000, -0.640000, 0.000792
-4.800000, -0.620000, 0.000821
-4.800000, -0.600000, 0.000850
-4.800000, -0.580000, 0.000881
-4.800000, -0.560000, 0.000912
-4.800000, -0.540000, 0.000943
-4.800000, -0.520000, 0.000975
-4.800000, -0.500000, 0.001008
-4.800000, -0.480000, 0.001041
-4.800000, -0.460000, 0.001074
-4.800000, -0.440000, 0.001107
-4.800000, -0.420000, 0.001141
-4.800000, -0.400000, 0.001174
-4.800000, -0.380000, 0.001207
-4.800000, -0.360000, 0.001240
-4.800000, -0.340000, 0.001272
-4.800000, -0.320000, 0.001304
-4.800000, -0.300000, 0.001335
-4.800000, -0.280000, 0.001366
-4.800000, -0.260000, 0.001395
-4.800000, -0.240000, 0.001422
-4.800000, -0.220000, 0.001449
-4.800000, -0.200000, 0.001474
-4.800000, -0.180000, 0.001497
-4.800000, -0.160000, 0.001518
-4.800000, -0.140000, 0.001537
-4.800000, -0.120000, 0.001554
-4.800000, -0.100000, 0.001568
-4.800000, -0.080000, 0.001580
-4.800000, -0.060000, 0.001590
-4.800000, -0.040000, 0.001596
-4.800000, -0.020000, 0.001601
-4.800000, 0.000000, 0.001602
-4.800000, 0.020000, 0.001601
-4.800000, 0.040000, 0.001596
-4.800000, 0.060000, 0.001590
-4.800000, 0.080000, 0.001580
-4.800000, 0.100000, 0.001568
-4.800000, 0.120000, 0.001554
-4.800000, 0.140000, 0.001537
-4.800000, 0.160000, 0.001518
-4.800000, 0.180000, 0.001497
-4.800000, 0.200000, 0.001474
-4.800000, 0.220000, 0.001449
