pt, Njetdis
0.150000, 1.037269
0.160000, 1.026160
0.170000, 1.014872
0.180000, 1.003443
0.190000, 0.991907
0.200000, 0.980293
0.210000, 0.968629
0.220000, 0.956936
0.230000, 0.945235
0.240000, 0.933542
0.250000, 0.921874
0.260000, 0.910243
0.270000, 0.898661
0.280000, 0.887138
0.290000, 0.875683
0.300000, 0.864304
0.310000, 0.853006
0.320000, 0.841796
0.330000, 0.830678
0.340000, 0.819658
0.350000, 0.808737
0.360000, 0.797920
0.370000, 0.787209
0.380000, 0.776607
0.390000, 0.766114
0.400000, 0.755733
0.410000, 0.745464
0.420000, 0.735309
0.430000, 0.725268
0.440000, 0.715342
0.450000, 0.705531
0.460000, 0.695835
0.470000, 0.686253
0.480000, 0.676787
0.490000, 0.667436
0.500000, 0.658198
0.510000, 0.649075
0.520000, 0.640064
0.530000, 0.631167
0.540000, 0.622381
0.550000, 0.613707
0.560000, 0.605143
0.570000, 0.596688
0.580000, 0.588343
0.590000, 0.580106
0.600000, 0.571975
0.610000, 0.563951
0.620000, 0.556031
0.630000, 0.548216
0.640000, 0.540504
0.650000, 0.532894
0.660000, 0.525385
0.670000, 0.517976
0.680000, 0.510666
0.690000, 0.503454
0.700000, 0.496339
0.710000, 0.489320
0.720000, 0.482395
0.730000, 0.475564
0.740000, 0.468826
0.750000, 0.462179
0.760000, 0.455623
0.770000, 0.449156
0.780000, 0.442778
0.790000, 0.436487
0.800000, 0.430282
0.810000, 0.424163
0.820000, 0.418128
0.830000, 0.412176
0.840000, 0.406306
0.850000, 0.400517
0.860000, 0.394808
0.870000, 0.389179
0.880000, 0.383628
0.890000, 0.378154
0.900000, 0.372756
0.910000, 0.367433
0.920000, 0.362185
0.930000, 0.357010
0.940000, 0.351907
0.950000, 0.346876
0.960000, 0.341915
0.970000, 0.337023
0.980000, 0.332201
0.990000, 0.327446
1.000000, 0.322758
1.010000, 0.318136
1.020000, 0.313579
1.030000, 0.309086
1.040000, 0.304657
1.050000, 0.300290
1.060000, 0.295985
1.070000, 0.291741
1.080000, 0.287556
1.090000, 0.283431
1.100000, 0.279365
1.110000, 0.275356
1.120000, 0.271404
1.130000, 0.267507
1.140000, 0.263667
1.150000, 0.259881
1.160000, 0.256148
1.170000, 0.252469
1.180000, 0.248842
1.190000, 0.245266
1.200000, 0.241742
1.210000, 0.238268
1.220000, 0.234843
1.230000, 0.231467
1.240000, 0.228139
1.250000, 0.224858
1.260000, 0.221625
1.270000, 0.218437
1.280000, 0.215295
1.290000, 0.212198
1.300000, 0.209146
1.310000, 0.206136
1.320000, 0.203170
1.330000, 0.200246
1.340000, 0.197364
1.350000, 0.194524
1.360000, 0.191724
1.370000, 0.188964
1.380000, 0.186243
1.390000, 0.183562
1.400000, 0.180918
1.410000, 0.178313
1.420000, 0.175745
1.430000, 0.173214
1.440000, 0.170719
1.450000, 0.168260
1.460000, 0.165836
1.470000, 0.163447
1.480000, 0.161092
1.490000, 0.158771
1.500000, 0.156484
1.510000, 0.154229
1.520000, 0.152006
1.530000, 0.149816
1.540000, 0.147656
1.550000, 0.145528
1.560000, 0.143431
1.570000, 0.141363
1.580000, 0.139325
1.590000, 0.137317
1.600000, 0.135337
1.610000, 0.133386
1.620000, 0.131463
1.630000, 0.129567
1.640000, 0.127699
1.650000, 0.125858
1.660000, 0.124043
1.670000, 0.122254
1.680000, 0.120491
1.690000, 0.118753
1.700000, 0.117040
1.710000, 0.115352
1.720000, 0.113688
1.730000, 0.112048
1.740000, 0.110432
1.750000, 0.108839
1.760000, 0.107269
1.770000, 0.105721
1.780000, 0.104196
1.790000, 0.102693
1.800000, 0.101211
1.810000, 0.099751
1.820000, 0.098311
1.830000, 0.096893
1.840000, 0.095495
1.850000, 0.094116
1.860000, 0.092758
1.870000, 0.091420
1.880000, 0.090100
1.890000, 0.088800
1.900000, 0.087518
1.910000, 0.086255
1.920000, 0.085010
1.930000, 0.083783
1.940000, 0.082574
1.950000, 0.081382
1.960000, 0.080207
1.970000, 0.079049
1.980000, 0.077908
1.990000, 0.076783
2.000000, 0.075675
2.010000, 0.074583
2.020000, 0.073506
2.030000, 0.072445
2.040000, 0.071399
2.050000, 0.070368
2.060000, 0.069352
2.070000, 0.068350
2.080000, 0.067363
2.090000, 0.066391
2.100000, 0.065432
2.110000, 0.064487
2.120000, 0.063556
2.130000, 0.062638
2.140000, 0.061734
2.150000, 0.060842
2.160000, 0.059964
2.170000, 0.059098
2.180000, 0.058244
2.190000, 0.057403
2.200000, 0.056574
2.210000, 0.055757
2.220000, 0.054951
2.230000, 0.054158
2.240000, 0.053376
2.250000, 0.052605
2.260000, 0.051845
2.270000, 0.051096
2.280000, 0.050358
2.290000, 0.049630
2.300000, 0.048914
2.310000, 0.048207
2.320000, 0.047511
2.330000, 0.046824
2.340000, 0.046148
2.350000, 0.045481
2.360000, 0.044824
2.370000, 0.044177
2.380000, 0.043538
2.390000, 0.042909
2.400000, 0.042289
2.410000, 0.041678
2.420000, 0.041076
2.430000, 0.040483
2.440000, 0.039898
2.450000, 0.039322
2.460000, 0.038753
2.470000, 0.038193
2.480000, 0.037642
2.490000, 0.037098
2.500000, 0.036562
2.510000, 0.036033
2.520000, 0.035513
2.530000, 0.035000
2.540000, 0.034494
2.550000, 0.033995
2.560000, 0.033504
2.570000, 0.033020
2.580000, 0.032543
2.590000, 0.032073
2.600000, 0.031609
2.610000, 0.031152
2.620000, 0.030702
2.630000, 0.030259
2.640000, 0.029821
2.650000, 0.029390
2.660000, 0.028966
2.670000, 0.028547
2.680000, 0.028134
2.690000, 0.027728
2.700000, 0.027327
2.710000, 0.026932
2.720000, 0.026543
2.730000, 0.026159
2.740000, 0.025781
2.750000, 0.025409
2.760000, 0.025041
2.770000, 0.024679
2.780000, 0.024323
2.790000, 0.023971
2.800000, 0.023625
2.810000, 0.023283
2.820000, 0.022947
2.830000, 0.022615
2.840000, 0.022288
2.850000, 0.021966
2.860000, 0.021648
2.870000, 0.021336
2.880000, 0.021027
2.890000, 0.020723
2.900000, 0.020424
2.910000, 0.020128
2.920000, 0.019837
2.930000, 0.019551
2.940000, 0.019268
2.950000, 0.018990
2.960000, 0.018715
2.970000, 0.018445
2.980000, 0.018178
2.990000, 0.017915
3.000000, 0.017656
3.010000, 0.017401
3.020000, 0.017149
3.030000, 0.016901
3.040000, 0.016657
3.050000, 0.016416
3.060000, 0.016179
3.070000, 0.015945
3.080000, 0.015715
3.090000, 0.015487
3.100000, 0.015263
3.110000, 0.015043
3.120000, 0.014825
3.130000, 0.014611
3.140000, 0.014400
3.150000, 0.014192
3.160000, 0.013986
3.170000, 0.013784
3.180000, 0.013585
3.190000, 0.013389
3.200000, 0.013195
3.210000, 0.013004
3.220000, 0.012816
3.230000, 0.012631
3.240000, 0.012448
3.250000, 0.012268
3.260000, 0.012091
3.270000, 0.011916
3.280000, 0.011744
3.290000, 0.011574
3.300000, 0.011407
3.310000, 0.011242
3.320000, 0.011079
3.330000, 0.010919
3.340000, 0.010761
3.350000, 0.010606
3.360000, 0.010452
3.370000, 0.010301
3.380000, 0.010152
3.390000, 0.010005
3.400000, 0.009861
3.410000, 0.009718
3.420000, 0.009578
3.430000, 0.009439
3.440000, 0.009303
3.450000, 0.009168
3.460000, 0.009035
3.470000, 0.008905
3.480000, 0.008776
3.490000, 0.008649
3.500000, 0.008524
3.510000, 0.008401
3.520000, 0.008279
3.530000, 0.008160
