pt, RidgeDis
0.150000, 0.000775
0.160000, 0.000842
0.170000, 0.000912
0.180000, 0.000984
0.190000, 0.001059
0.200000, 0.001136
0.210000, 0.001216
0.220000, 0.001298
0.230000, 0.001382
0.240000, 0.001470
0.250000, 0.001560
0.260000, 0.001653
0.270000, 0.001749
0.280000, 0.001848
0.290000, 0.001949
0.300000, 0.002054
0.310000, 0.002162
0.320000, 0.002273
0.330000, 0.002388
0.340000, 0.002506
0.350000, 0.002627
0.360000, 0.002752
0.370000, 0.002880
0.380000, 0.003012
0.390000, 0.003147
0.400000, 0.003287
0.410000, 0.003430
0.420000, 0.003577
0.430000, 0.003728
0.440000, 0.003883
0.450000, 0.004043
0.460000, 0.004207
0.470000, 0.004375
0.480000, 0.004547
0.490000, 0.004724
0.500000, 0.004905
0.510000, 0.005091
0.520000, 0.005282
0.530000, 0.005478
0.540000, 0.005679
0.550000, 0.005884
0.560000, 0.006095
0.570000, 0.006311
0.580000, 0.006532
0.590000, 0.006759
0.600000, 0.006991
0.610000, 0.007229
0.620000, 0.007472
0.630000, 0.007722
0.640000, 0.007977
0.650000, 0.008238
0.660000, 0.008505
0.670000, 0.008778
0.680000, 0.009058
0.690000, 0.009344
0.700000, 0.009637
0.710000, 0.009936
0.720000, 0.010242
0.730000, 0.010555
0.740000, 0.010874
0.750000, 0.011201
0.760000, 0.011535
0.770000, 0.011877
0.780000, 0.012225
0.790000, 0.012582
0.800000, 0.012946
0.810000, 0.013318
0.820000, 0.013697
0.830000, 0.014085
0.840000, 0.014481
0.850000, 0.014885
0.860000, 0.015298
0.870000, 0.015719
0.880000, 0.016149
0.890000, 0.016588
0.900000, 0.017036
0.910000, 0.017493
0.920000, 0.017959
0.930000, 0.018435
0.940000, 0.018920
0.950000, 0.019415
0.960000, 0.019920
0.970000, 0.020435
0.980000, 0.020959
0.990000, 0.021495
1.000000, 0.022040
1.010000, 0.022596
1.020000, 0.023163
1.030000, 0.023741
1.040000, 0.024329
1.050000, 0.024929
1.060000, 0.025541
1.070000, 0.026163
1.080000, 0.026798
1.090000, 0.027444
1.100000, 0.028102
1.110000, 0.028772
1.120000, 0.029455
1.130000, 0.030150
1.140000, 0.030857
1.150000, 0.031577
1.160000, 0.032310
1.170000, 0.033057
1.180000, 0.033816
1.190000, 0.034588
1.200000, 0.035374
1.210000, 0.036174
1.220000, 0.036987
1.230000, 0.037815
1.240000, 0.038656
1.250000, 0.039512
1.260000, 0.040381
1.270000, 0.041265
1.280000, 0.042164
1.290000, 0.043077
1.300000, 0.044006
1.310000, 0.044949
1.320000, 0.045906
1.330000, 0.046879
1.340000, 0.047868
1.350000, 0.048871
1.360000, 0.049889
1.370000, 0.050923
1.380000, 0.051973
1.390000, 0.053038
1.400000, 0.054118
1.410000, 0.055214
1.420000, 0.056325
1.430000, 0.057452
1.440000, 0.058594
1.450000, 0.059752
1.460000, 0.060925
1.470000, 0.062114
1.480000, 0.063317
1.490000, 0.064536
1.500000, 0.065770
1.510000, 0.067018
1.520000, 0.068282
1.530000, 0.069559
1.540000, 0.070851
1.550000, 0.072157
1.560000, 0.073477
1.570000, 0.074810
1.580000, 0.076156
1.590000, 0.077514
1.600000, 0.078885
1.610000, 0.080267
1.620000, 0.081660
1.630000, 0.083064
1.640000, 0.084478
1.650000, 0.085901
