pt, RidgeDis
0.150000, 0.039541
0.160000, 0.040548
0.170000, 0.041545
0.180000, 0.042536
0.190000, 0.043525
0.200000, 0.044515
0.210000, 0.045508
0.220000, 0.046506
0.230000, 0.047510
0.240000, 0.048523
0.250000, 0.049547
0.260000, 0.050581
0.270000, 0.051628
0.280000, 0.052689
0.290000, 0.053764
0.300000, 0.054854
0.310000, 0.055961
0.320000, 0.057085
0.330000, 0.058227
0.340000, 0.059387
0.350000, 0.060567
0.360000, 0.061767
0.370000, 0.062988
0.380000, 0.064230
0.390000, 0.065494
0.400000, 0.066780
0.410000, 0.068090
0.420000, 0.069424
0.430000, 0.070782
0.440000, 0.072166
0.450000, 0.073575
0.460000, 0.075011
0.470000, 0.076473
0.480000, 0.077964
0.490000, 0.079482
0.500000, 0.081030
0.510000, 0.082607
0.520000, 0.084214
0.530000, 0.085852
0.540000, 0.087521
0.550000, 0.089223
0.560000, 0.090958
0.570000, 0.092727
0.580000, 0.094529
0.590000, 0.096367
0.600000, 0.098241
0.610000, 0.100151
0.620000, 0.102098
0.630000, 0.104084
0.640000, 0.106108
0.650000, 0.108172
0.660000, 0.110276
0.670000, 0.112422
0.680000, 0.114609
0.690000, 0.116840
0.700000, 0.119115
0.710000, 0.121434
0.720000, 0.123798
0.730000, 0.126210
0.740000, 0.128668
0.750000, 0.131175
0.760000, 0.133731
0.770000, 0.136338
0.780000, 0.138995
0.790000, 0.141705
0.800000, 0.144469
0.810000, 0.147286
0.820000, 0.150159
0.830000, 0.153089
0.840000, 0.156075
0.850000, 0.159121
0.860000, 0.162226
0.870000, 0.165392
0.880000, 0.168620
0.890000, 0.171911
0.900000, 0.175267
0.910000, 0.178688
0.920000, 0.182176
0.930000, 0.185732
0.940000, 0.189357
0.950000, 0.193053
0.960000, 0.196820
0.970000, 0.200661
0.980000, 0.204576
0.990000, 0.208567
1.000000, 0.212635
1.010000, 0.216782
1.020000, 0.221008
1.030000, 0.225316
1.040000, 0.229706
1.050000, 0.234181
1.060000, 0.238741
1.070000, 0.243387
1.080000, 0.248123
1.090000, 0.252948
1.100000, 0.257864
1.110000, 0.262874
1.120000, 0.267977
1.130000, 0.273177
1.140000, 0.278474
1.150000, 0.283869
1.160000, 0.289365
1.170000, 0.294963
1.180000, 0.300665
1.190000, 0.306471
1.200000, 0.312384
1.210000, 0.318404
1.220000, 0.324534
1.230000, 0.330775
1.240000, 0.337129
1.250000, 0.343596
1.260000, 0.350179
1.270000, 0.356879
1.280000, 0.363697
1.290000, 0.370634
1.300000, 0.377693
1.310000, 0.384875
1.320000, 0.392180
1.330000, 0.399610
1.340000, 0.407166
1.350000, 0.414850
1.360000, 0.422663
1.370000, 0.430606
1.380000, 0.438680
1.390000, 0.446886
1.400000, 0.455224
1.410000, 0.463697
1.420000, 0.472304
1.430000, 0.481047
1.440000, 0.489926
1.450000, 0.498941
1.460000, 0.508094
1.470000, 0.517384
1.480000, 0.526811
1.490000, 0.536377
1.500000, 0.546080
1.510000, 0.555921
1.520000, 0.565899
1.530000, 0.576014
1.540000, 0.586265
1.550000, 0.596651
1.560000, 0.607172
1.570000, 0.617825
1.580000, 0.628610
1.590000, 0.639524
1.600000, 0.650566
1.610000, 0.661733
1.620000, 0.673021
1.630000, 0.684429
1.640000, 0.695952
1.650000, 0.707587
1.660000, 0.719328
1.670000, 0.731171
1.680000, 0.743110
1.690000, 0.755138
1.700000, 0.767249
1.710000, 0.779434
1.720000, 0.791685
1.730000, 0.803992
1.740000, 0.816343
1.750000, 0.828725
1.760000, 0.841126
1.770000, 0.853529
1.780000, 0.865917
1.790000, 0.878270
1.800000, 0.890567
1.810000, 0.902782
1.820000, 0.914887
1.830000, 0.926852
1.840000, 0.938642
1.850000, 0.950216
1.860000, 0.961532
1.870000, 0.972540
1.880000, 0.983185
1.890000, 0.993408
1.900000, 1.003142
1.910000, 1.012315
1.920000, 1.020852
1.930000, 1.028672
1.940000, 1.035691
1.950000, 1.041828
1.960000, 1.047002
1.970000, 1.051141
1.980000, 1.054181
1.990000, 1.056072
2.000000, 1.056770
2.010000, 1.056083
2.020000, 1.054202
2.030000, 1.051172
2.040000, 1.047044
2.050000, 1.041881
2.060000, 1.035754
2.070000, 1.028745
2.080000, 1.020935
2.090000, 1.012408
2.100000, 1.003244
2.110000, 0.993519
2.120000, 0.983305
2.130000, 0.972669
2.140000, 0.961670
2.150000, 0.950362
2.160000, 0.938796
2.170000, 0.927014
2.180000, 0.915057
2.190000, 0.902959
2.200000, 0.890751
2.210000, 0.878461
2.220000, 0.866115
2.230000, 0.853733
2.240000, 0.841336
2.250000, 0.828942
2.260000, 0.816565
2.270000, 0.804220
2.280000, 0.791919
2.290000, 0.779673
2.300000, 0.767493
2.310000, 0.755387
2.320000, 0.743363
2.330000, 0.731429
2.340000, 0.719591
2.350000, 0.707854
2.360000, 0.696223
2.370000, 0.684704
2.380000, 0.673300
2.390000, 0.662015
2.400000, 0.650852
2.410000, 0.639814
2.420000, 0.628903
2.430000, 0.618122
2.440000, 0.607471
2.450000, 0.596954
2.460000, 0.586570
2.470000, 0.576322
2.480000, 0.566209
2.490000, 0.556234
2.500000, 0.546395
2.510000, 0.536694
2.520000, 0.527131
2.530000, 0.517706
2.540000, 0.508418
2.550000, 0.499267
2.560000, 0.490254
2.570000, 0.481377
2.580000, 0.472636
2.590000, 0.464030
2.600000, 0.455559
2.610000, 0.447222
2.620000, 0.439018
2.630000, 0.430946
2.640000, 0.423004
2.650000, 0.415193
2.660000, 0.407510
2.670000, 0.399955
2.680000, 0.392526
2.690000, 0.385222
2.700000, 0.378042
2.710000, 0.370985
2.720000, 0.364048
2.730000, 0.357231
2.740000, 0.350533
2.750000, 0.343951
2.760000, 0.337485
2.770000, 0.331132
2.780000, 0.324892
2.790000, 0.318763
2.800000, 0.312744
2.810000, 0.306832
2.820000, 0.301027
2.830000, 0.295327
2.840000, 0.289730
2.850000, 0.284235
2.860000, 0.278840
2.870000, 0.273544
2.880000, 0.268346
2.890000, 0.263244
2.900000, 0.258235
2.910000, 0.253320
2.920000, 0.248496
2.930000, 0.243762
2.940000, 0.239117
2.950000, 0.234558
2.960000, 0.230085
2.970000, 0.225696
2.980000, 0.221390
2.990000, 0.217165
3.000000, 0.213020
3.010000, 0.208953
3.020000, 0.204964
3.030000, 0.201050
3.040000, 0.197211
3.050000, 0.193446
3.060000, 0.189752
3.070000, 0.186128
3.080000, 0.182574
3.090000, 0.179089
3.100000, 0.175670
3.110000, 0.172316
3.120000, 0.169027
3.130000, 0.165802
3.140000, 0.162638
3.150000, 0.159536
3.160000, 0.156493
3.170000, 0.153509
3.180000, 0.150583
3.190000, 0.147713
3.200000, 0.144898
3.210000, 0.142138
3.220000, 0.139432
3.230000, 0.136778
3.240000, 0.134175
3.250000, 0.131623
3.260000, 0.129120
3.270000, 0.126666
3.280000, 0.124259
3.290000, 0.121899
3.300000, 0.119585
3.310000, 0.117315
3.320000, 0.115090
3.330000, 0.112908
3.340000, 0.110768
3.350000, 0.108670
3.360000, 0.106612
3.370000, 0.104595
3.380000, 0.102616
3.390000, 0.100676
3.400000, 0.098774
3.410000, 0.096908
3.420000, 0.095079
3.430000, 0.093285
3.440000, 0.091526
3.450000, 0.089801
3.460000, 0.088110
3.470000, 0.086451
3.480000, 0.084824
3.490000, 0.083229
3.500000, 0.081665
3.510000, 0.080131
3.520000, 0.078627
3.530000, 0.077152
3.540000, 0.075705
3.550000, 0.074286
3.560000, 0.072895
