pt, RidgeDis
0.150000, 0.000572
0.160000, 0.000622
0.170000, 0.000674
0.180000, 0.000728
0.190000, 0.000784
0.200000, 0.000841
0.210000, 0.000901
0.220000, 0.000962
0.230000, 0.001026
0.240000, 0.001092
0.250000, 0.001160
0.260000, 0.001231
0.270000, 0.001303
0.280000, 0.001379
0.290000, 0.001456
0.300000, 0.001537
0.310000, 0.001620
0.320000, 0.001705
0.330000, 0.001793
0.340000, 0.001885
0.350000, 0.001979
0.360000, 0.002076
0.370000, 0.002176
0.380000, 0.002280
0.390000, 0.002387
0.400000, 0.002497
0.410000, 0.002611
0.420000, 0.002728
0.430000, 0.002849
0.440000, 0.002974
0.450000, 0.003102
0.460000, 0.003235
0.470000, 0.003371
0.480000, 0.003512
0.490000, 0.003658
0.500000, 0.003807
0.510000, 0.003962
0.520000, 0.004121
0.530000, 0.004285
0.540000, 0.004453
0.550000, 0.004627
0.560000, 0.004807
0.570000, 0.004991
0.580000, 0.005182
0.590000, 0.005378
0.600000, 0.005579
0.610000, 0.005787
0.620000, 0.006001
0.630000, 0.006222
0.640000, 0.006449
0.650000, 0.006683
0.660000, 0.006924
0.670000, 0.007172
0.680000, 0.007427
0.690000, 0.007690
0.700000, 0.007960
0.710000, 0.008239
0.720000, 0.008525
0.730000, 0.008821
0.740000, 0.009124
0.750000, 0.009437
0.760000, 0.009759
0.770000, 0.010091
0.780000, 0.010432
0.790000, 0.010783
0.800000, 0.011144
0.810000, 0.011516
0.820000, 0.011899
0.830000, 0.012292
0.840000, 0.012698
0.850000, 0.013115
0.860000, 0.013544
0.870000, 0.013986
0.880000, 0.014441
0.890000, 0.014909
0.900000, 0.015390
0.910000, 0.015886
0.920000, 0.016396
0.930000, 0.016920
0.940000, 0.017460
0.950000, 0.018016
0.960000, 0.018588
0.970000, 0.019177
0.980000, 0.019782
0.990000, 0.020406
1.000000, 0.021047
1.010000, 0.021707
1.020000, 0.022386
1.030000, 0.023086
1.040000, 0.023805
1.050000, 0.024546
1.060000, 0.025308
1.070000, 0.026092
1.080000, 0.026900
1.090000, 0.027731
1.100000, 0.028586
1.110000, 0.029466
1.120000, 0.030373
1.130000, 0.031305
1.140000, 0.032266
1.150000, 0.033254
1.160000, 0.034272
1.170000, 0.035320
1.180000, 0.036399
1.190000, 0.037509
1.200000, 0.038653
1.210000, 0.039830
1.220000, 0.041043
1.230000, 0.042291
1.240000, 0.043577
1.250000, 0.044902
1.260000, 0.046265
1.270000, 0.047670
1.280000, 0.049117
1.290000, 0.050608
1.300000, 0.052143
1.310000, 0.053725
1.320000, 0.055355
1.330000, 0.057034
1.340000, 0.058765
1.350000, 0.060548
1.360000, 0.062386
1.370000, 0.064280
1.380000, 0.066233
1.390000, 0.068245
1.400000, 0.070320
1.410000, 0.072460
1.420000, 0.074666
1.430000, 0.076940
1.440000, 0.079286
1.450000, 0.081706
1.460000, 0.084203
1.470000, 0.086778
1.480000, 0.089435
1.490000, 0.092177
1.500000, 0.095007
1.510000, 0.097927
