pt, N_Rdige_dis
0.150000, 0.005401
0.160000, 0.005868
0.170000, 0.006351
0.180000, 0.006850
0.190000, 0.007365
0.200000, 0.007897
0.210000, 0.008447
0.220000, 0.009015
0.230000, 0.009600
0.240000, 0.010205
0.250000, 0.010829
0.260000, 0.011474
0.270000, 0.012138
0.280000, 0.012824
0.290000, 0.013531
0.300000, 0.014260
0.310000, 0.015013
0.320000, 0.015788
0.330000, 0.016588
0.340000, 0.017412
0.350000, 0.018262
0.360000, 0.019138
0.370000, 0.020041
0.380000, 0.020971
0.390000, 0.021929
0.400000, 0.022916
0.410000, 0.023934
0.420000, 0.024981
0.430000, 0.026060
0.440000, 0.027172
0.450000, 0.028316
0.460000, 0.029494
0.470000, 0.030707
0.480000, 0.031956
0.490000, 0.033242
0.500000, 0.034565
0.510000, 0.035927
0.520000, 0.037329
0.530000, 0.038772
0.540000, 0.040256
0.550000, 0.041784
0.560000, 0.043355
0.570000, 0.044972
0.580000, 0.046635
0.590000, 0.048346
0.600000, 0.050105
0.610000, 0.051915
0.620000, 0.053776
0.630000, 0.055690
0.640000, 0.057658
0.650000, 0.059681
0.660000, 0.061762
0.670000, 0.063901
0.680000, 0.066100
0.690000, 0.068360
0.700000, 0.070684
0.710000, 0.073072
0.720000, 0.075526
0.730000, 0.078048
0.740000, 0.080640
0.750000, 0.083304
0.760000, 0.086041
0.770000, 0.088853
0.780000, 0.091742
0.790000, 0.094710
0.800000, 0.097759
0.810000, 0.100891
0.820000, 0.104108
0.830000, 0.107412
0.840000, 0.110806
0.850000, 0.114291
0.860000, 0.117870
0.870000, 0.121545
0.880000, 0.125318
0.890000, 0.129192
0.900000, 0.133170
0.910000, 0.137253
0.920000, 0.141445
0.930000, 0.145747
0.940000, 0.150164
0.950000, 0.154697
0.960000, 0.159349
0.970000, 0.164122
0.980000, 0.169021
0.990000, 0.174048
1.000000, 0.179205
1.010000, 0.184497
1.020000, 0.189925
1.030000, 0.195494
1.040000, 0.201205
1.050000, 0.207064
1.060000, 0.213073
1.070000, 0.219235
1.080000, 0.225553
1.090000, 0.232033
1.100000, 0.238676
1.110000, 0.245487
1.120000, 0.252469
1.130000, 0.259626
1.140000, 0.266961
1.150000, 0.274480
1.160000, 0.282185
1.170000, 0.290080
1.180000, 0.298170
1.190000, 0.306459
1.200000, 0.314950
1.210000, 0.323648
1.220000, 0.332556
1.230000, 0.341680
1.240000, 0.351024
1.250000, 0.360591
1.260000, 0.370386
1.270000, 0.380414
1.280000, 0.390679
1.290000, 0.401185
1.300000, 0.411936
1.310000, 0.422938
1.320000, 0.434194
1.330000, 0.445710
1.340000, 0.457489
1.350000, 0.469536
1.360000, 0.481855
1.370000, 0.494452
1.380000, 0.507329
1.390000, 0.520493
1.400000, 0.533946
1.410000, 0.547694
1.420000, 0.561740
1.430000, 0.576089
1.440000, 0.590745
1.450000, 0.605712
1.460000, 0.620993
1.470000, 0.636592
1.480000, 0.652514
1.490000, 0.668761
1.500000, 0.685337
1.510000, 0.702245
1.520000, 0.719488
1.530000, 0.737068
1.540000, 0.754989
1.550000, 0.773251
1.560000, 0.791858
1.570000, 0.810810
1.580000, 0.830109
1.590000, 0.849755
1.600000, 0.869749
1.610000, 0.890091
1.620000, 0.910779
1.630000, 0.931813
1.640000, 0.953190
1.650000, 0.974907
1.660000, 0.996962
1.670000, 1.019348
1.680000, 1.042062
1.690000, 1.065095
1.700000, 1.088440
1.710000, 1.112088
1.720000, 1.136027
1.730000, 1.160245
1.740000, 1.184727
1.750000, 1.209455
1.760000, 1.234410
1.770000, 1.259569
1.780000, 1.284906
1.790000, 1.310392
1.800000, 1.335992
1.810000, 1.361668
1.820000, 1.387375
1.830000, 1.413063
1.840000, 1.438676
1.850000, 1.464147
1.860000, 1.489405
1.870000, 1.514365
1.880000, 1.538935
1.890000, 1.563011
1.900000, 1.586479
1.910000, 1.609213
1.920000, 1.631077
1.930000, 1.651927
1.940000, 1.671610
1.950000, 1.689974
1.960000, 1.706868
