phi,Alice,CMS
-1.28,0.00220484,0.00218062
-1.2544,0.00230728,0.00227831
-1.2288,0.00241522,0.0023811
-1.2032,0.00252891,0.00248927
-1.1776,0.00264866,0.00260306
-1.152,0.00277476,0.00272274
-1.1264,0.0029075,0.00284858
-1.1008,0.00304719,0.00298088
-1.0752,0.00319415,0.0031199
-1.0496,0.0033487,0.00326595
-1.024,0.00351116,0.00341931
-0.9984,0.00368185,0.00358028
-0.9728,0.00386109,0.00374913
-0.9472,0.00404919,0.00392617
-0.9216,0.00424647,0.00411165
-0.896,0.00445321,0.00430586
-0.8704,0.0046697,0.00450903
-0.8448,0.00489619,0.00472141
-0.8192,0.00513291,0.00494318
-0.7936,0.00538005,0.00517453
-0.768,0.00563778,0.00541559
-0.7424,0.0059062,0.00566645
-0.7168,0.00618534,0.00592715
-0.6912,0.0064752,0.00619765
-0.6656,0.00677567,0.00647786
-0.64,0.00708656,0.00676759
-0.6144,0.00740757,0.00706657
-0.5888,0.00773829,0.00737442
-0.5632,0.00807819,0.00769061
-0.5376,0.00842657,0.00801453
-0.512,0.00878259,0.00834538
-0.4864,0.00914522,0.00868221
-0.4608,0.00951325,0.00902391
-0.4352,0.00988526,0.00936917
-0.4096,0.0102596,0.00971647
-0.384,0.0106344,0.0100641
-0.3584,0.0110076,0.0104101
-0.3328,0.0113768,0.0107523
-0.3072,0.0117394,0.0110882
-0.2816,0.0120925,0.0114154
-0.256,0.012433,0.0117308
-0.2304,0.0127575,0.0120313
-0.2048,0.0130626,0.0123138
-0.1792,0.0133445,0.0125748
-0.1536,0.0135994,0.0128109
-0.128,0.0138235,0.0130183
-0.1024,0.0140131,0.0131939
-0.0768,0.0141647,0.0133343
-0.0512,0.0142755,0.0134368
-0.0256,0.0143429,0.0134993
-6.245e-17,0.0143656,0.0135202
0.0256,0.0143429,0.0134993
0.0512,0.0142755,0.0134368
0.0768,0.0141647,0.0133343
0.1024,0.0140131,0.0131939
0.128,0.0138235,0.0130183
0.1536,0.0135994,0.0128109
0.1792,0.0133445,0.0125748
0.2048,0.0130626,0.0123138
0.2304,0.0127575,0.0120313
0.256,0.012433,0.0117308
0.2816,0.0120925,0.0114154
0.3072,0.0117394,0.0110882
0.3328,0.0113768,0.0107523
0.3584,0.0110076,0.0104101
0.384,0.0106344,0.0100641
0.4096,0.0102596,0.00971647
0.4352,0.00988526,0.00936917
0.4608,0.00951325,0.00902391
0.4864,0.00914522,0.00868221
0.512,0.00878259,0.00834538
0.5376,0.00842657,0.00801453
0.5632,0.00807819,0.00769061
0.5888,0.00773829,0.00737442
0.6144,0.00740757,0.00706657
0.64,0.00708656,0.00676759
0.6656,0.00677567,0.00647786
0.6912,0.0064752,0.00619765
0.7168,0.00618534,0.00592715
0.7424,0.0059062,0.00566645
0.768,0.00563778,0.00541559
0.7936,0.00538005,0.00517453
0.8192,0.00513291,0.00494318
0.8448,0.00489619,0.00472141
0.8704,0.0046697,0.00450903
0.896,0.00445321,0.00430586
0.9216,0.00424647,0.00411165
0.9472,0.00404919,0.00392617
0.9728,0.00386109,0.00374913
0.9984,0.00368185,0.00358028
1.024,0.00351116,0.00341931
1.0496,0.0033487,0.00326595
1.0752,0.00319415,0.0031199
1.1008,0.00304719,0.00298088
1.1264,0.0029075,0.00284858
1.152,0.00277476,0.00272274
1.1776,0.00264866,0.00260306
1.2032,0.00252891,0.00248927
1.2288,0.00241522,0.0023811
1.2544,0.00230728,0.00227831
1.28,0.00220484,0.00218062
