pt,dN/detadpt_Ridge,dN/detadpt_Jet
0.1,0.00275608,0.339966
0.1295,0.0035774,0.329535
0.159,0.00439487,0.318109
0.1885,0.00521119,0.306156
0.218,0.00603105,0.294003
0.2475,0.00685991,0.281868
0.277,0.00770335,0.269899
0.3065,0.0085667,0.258192
0.336,0.00945488,0.246809
0.3655,0.0103723,0.235789
0.395,0.0113229,0.225154
0.4245,0.01231,0.214916
0.454,0.0133363,0.205078
0.4835,0.0144037,0.195639
0.513,0.0155132,0.186593
0.5425,0.016665,0.177931
0.572,0.0178576,0.169644
0.6015,0.0190878,0.161721
0.631,0.0203503,0.154149
0.6605,0.0216364,0.146917
0.69,0.0229331,0.14001
0.7195,0.024222,0.133418
0.749,0.0254764,0.127127
0.7785,0.0266606,0.121125
0.808,0.0277279,0.115399
0.8375,0.0286254,0.109939
0.867,0.029304,0.104732
0.8965,0.0297348,0.0997674
0.926,0.0299202,0.0950347
0.9555,0.029889,0.0905233
0.985,0.0296818,0.0862234
1.0145,0.0293387,0.0821254
1.044,0.0288934,0.0782201
1.0735,0.0283723,0.0744987
1.103,0.0277954,0.0709528
1.1325,0.0271782,0.0675742
1.162,0.0265325,0.0643554
1.1915,0.0258672,0.0612887
1.221,0.0251896,0.0583673
1.2505,0.0245055,0.0555842
1.28,0.0238194,0.0529331
1.3095,0.023135,0.0504078
1.339,0.0224554,0.0480023
1.3685,0.0217831,0.0457111
1.398,0.02112,0.0435289
1.4275,0.0204678,0.0414503
1.457,0.0198278,0.0394707
1.4865,0.019201,0.0375852
1.516,0.0185883,0.0357895
1.5455,0.0179902,0.0340793
1.575,0.0174073,0.0324506
1.6045,0.0168399,0.0308996
1.634,0.0162881,0.0294224
1.6635,0.015752,0.0280157
1.693,0.0152317,0.0266761
1.7225,0.0147271,0.0254004
1.752,0.014238,0.0241856
1.7815,0.0137642,0.0230287
1.811,0.0133055,0.0219271
1.8405,0.0128617,0.0208781
1.87,0.0124324,0.0198791
1.8995,0.0120173,0.0189279
1.929,0.0116161,0.0180222
1.9585,0.0112285,0.0171597
1.988,0.010854,0.0163384
2.0175,0.0104923,0.0155564
2.047,0.010143,0.0148117
2.0765,0.00980579,0.0141027
2.106,0.00948025,0.0134275
2.1355,0.00916601,0.0127847
2.165,0.00886271,0.0121725
2.1945,0.00856998,0.0115897
2.224,0.00828748,0.0110347
2.2535,0.00801486,0.0105063
2.283,0.00775177,0.0100032
2.3125,0.00749788,0.00952411
2.342,0.00725287,0.00906797
2.3715,0.00701643,0.00863365
2.401,0.00678825,0.00822012
2.4305,0.00656803,0.00782638
2.46,0.00635549,0.00745149
2.4895,0.00615034,0.00709453
2.519,0.00595233,0.00675467
2.5485,0.00576119,0.00643108
2.578,0.00557667,0.00612297
2.6075,0.00539853,0.00582962
2.637,0.00522653,0.00555032
2.6665,0.00506045,0.00528439
2.696,0.00490008,0.00503119
2.7255,0.0047452,0.00479012
2.755,0.00459561,0.00456059
2.7845,0.00445113,0.00434205
2.814,0.00431155,0.00413398
2.8435,0.00417671,0.00393588
2.873,0.00404643,0.00374727
2.9025,0.00392054,0.00356769
2.932,0.00379889,0.00339671
2.9615,0.00368132,0.00323392
2.991,0.00356768,0.00307893
3.0205,0.00345783,0.00293137
3.05,0.00335164,0.00279087
3.0795,0.00324896,0.00265711
3.109,0.00314969,0.00252975
3.1385,0.00305369,0.0024085
3.168,0.00296084,0.00229306
3.1975,0.00287104,0.00218314
3.227,0.00278417,0.0020785
3.2565,0.00270014,0.00197887
3.286,0.00261884,0.00188401
3.3155,0.00254018,0.0017937
3.345,0.00246405,0.00170771
3.3745,0.00239039,0.00162585
3.404,0.00231909,0.00154791
3.4335,0.00225007,0.00147371
3.463,0.00218326,0.00140306
3.4925,0.00211858,0.0013358
3.522,0.00205596,0.00127176
3.5515,0.00199532,0.00121079
3.581,0.0019366,0.00115274
3.6105,0.00187973,0.00109748
3.64,0.00182465,0.00104486
3.6695,0.0017713,0.000994765
3.699,0.00171962,0.000947072
3.7285,0.00166955,0.000901665
3.758,0.00162103,0.000858435
3.7875,0.00157403,0.000817277
3.817,0.00152847,0.000778091
3.8465,0.00148433,0.000740785
3.876,0.00144154,0.000705266
3.9055,0.00140007,0.000671451
3.935,0.00135987,0.000639256
3.9645,0.0013209,0.000608605
3.994,0.00128312,0.000579423
4.0235,0.00124649,0.00055164
4.053,0.00121097,0.000525189
4.0825,0.00117652,0.000500006
4.112,0.00114312,0.000476031
4.1415,0.00111072,0.000453205
4.171,0.0010793,0.000431473
4.2005,0.00104882,0.000410783
4.23,0.00101925,0.000391085
4.2595,0.000990566,0.000372332
4.289,0.000962737,0.000354478
4.3185,0.000935735,0.000337479
4.348,0.000909535,0.000321296
4.3775,0.00088411,0.000305889
4.407,0.000859437,0.00029122
4.4365,0.000835491,0.000277255
4.466,0.00081225,0.000263959
4.4955,0.000789691,0.000251301
4.525,0.000767794,0.00023925
4.5545,0.000746536,0.000227777
4.584,0.0007259,0.000216853
4.6135,0.000705864,0.000206454
4.643,0.000686411,0.000196553
4.6725,0.000667522,0.000187127
4.702,0.00064918,0.000178153
4.7315,0.000631369,0.000169609
4.761,0.000614071,0.000161475
4.7905,0.000597271,0.000153732
4.82,0.000580955,0.000146359
4.8495,0.000565106,0.00013934
4.879,0.000549711,0.000132657
4.9085,0.000534757,0.000126295
4.938,0.000520229,0.000120238
4.9675,0.000506115,0.000114472
4.997,0.000492402,0.000108982
5.0265,0.000479079,0.000103755
5.056,0.000466133,9.8779e-05
5.0855,0.000453553,9.40416e-05
5.115,0.000441329,8.95314e-05
5.1445,0.000429449,8.52374e-05
5.174,0.000417904,8.11494e-05
5.2035,0.000406683,7.72574e-05
