phi,ALICE,CMS
-1.28,0.00478347,0.0046861
-1.2544,0.00499964,0.00489193
-1.2288,0.00522648,0.00510771
-1.2032,0.00546443,0.00533386
-1.1776,0.00571394,0.00557077
-1.152,0.00597545,0.00581885
-1.1264,0.0062494,0.0060785
-1.1008,0.00653625,0.00635013
-1.0752,0.00683641,0.00663412
-1.0496,0.00715032,0.00693086
-1.024,0.00747839,0.00724072
-0.9984,0.007821,0.00756405
-0.9728,0.00817853,0.00790117
-0.9472,0.0085513,0.00825238
-0.9216,0.00893962,0.00861794
-0.896,0.00934374,0.00899808
-0.8704,0.00976384,0.00939296
-0.8448,0.0102001,0.00980269
-0.8192,0.0106525,0.0102273
-0.7936,0.0111212,0.0106668
-0.768,0.0116059,0.0111211
-0.7424,0.0121064,0.0115899
-0.7168,0.0126225,0.012073
-0.6912,0.0131537,0.0125699
-0.6656,0.0136994,0.0130799
-0.64,0.0142588,0.0136026
-0.6144,0.014831,0.0141368
-0.5888,0.0154149,0.0146817
-0.5632,0.0160092,0.0152359
-0.5376,0.0166123,0.0157981
-0.512,0.0172225,0.0163666
-0.4864,0.0178378,0.0169396
-0.4608,0.018456,0.017515
-0.4352,0.0190745,0.0180905
-0.4096,0.0196905,0.0186635
-0.384,0.0203011,0.0192312
-0.3584,0.0209029,0.0197905
-0.3328,0.0214922,0.0203381
-0.3072,0.0220653,0.0208704
-0.2816,0.022618,0.0213837
-0.256,0.023146,0.0218739
-0.2304,0.0236446,0.0223368
-0.2048,0.0241093,0.022768
-0.1792,0.0245351,0.0231631
-0.1536,0.0249173,0.0235177
-0.128,0.025251,0.0238273
-0.1024,0.0255316,0.0240876
-0.0768,0.0257549,0.0242947
-0.0512,0.0259173,0.0244454
-0.0256,0.026016,0.0245369
-6.245e-17,0.026049,0.0245676
0.0256,0.026016,0.0245369
0.0512,0.0259173,0.0244454
0.0768,0.0257549,0.0242947
0.1024,0.0255316,0.0240876
0.128,0.025251,0.0238273
0.1536,0.0249173,0.0235177
0.1792,0.0245351,0.0231631
0.2048,0.0241093,0.022768
0.2304,0.0236446,0.0223368
0.256,0.023146,0.0218739
0.2816,0.022618,0.0213837
0.3072,0.0220653,0.0208704
0.3328,0.0214922,0.0203381
0.3584,0.0209029,0.0197905
0.384,0.0203011,0.0192312
0.4096,0.0196905,0.0186635
0.4352,0.0190745,0.0180905
0.4608,0.018456,0.017515
0.4864,0.0178378,0.0169396
0.512,0.0172225,0.0163666
0.5376,0.0166123,0.0157981
0.5632,0.0160092,0.0152359
0.5888,0.0154149,0.0146817
0.6144,0.014831,0.0141368
0.64,0.0142588,0.0136026
0.6656,0.0136994,0.0130799
0.6912,0.0131537,0.0125699
0.7168,0.0126225,0.012073
0.7424,0.0121064,0.0115899
0.768,0.0116059,0.0111211
0.7936,0.0111212,0.0106668
0.8192,0.0106525,0.0102273
0.8448,0.0102001,0.00980269
0.8704,0.00976384,0.00939296
0.896,0.00934374,0.00899808
0.9216,0.00893962,0.00861794
0.9472,0.0085513,0.00825238
0.9728,0.00817853,0.00790117
0.9984,0.007821,0.00756405
1.024,0.00747839,0.00724072
1.0496,0.00715032,0.00693086
1.0752,0.00683641,0.00663412
1.1008,0.00653625,0.00635013
1.1264,0.0062494,0.0060785
1.152,0.00597545,0.00581885
1.1776,0.00571394,0.00557077
1.2032,0.00546443,0.00533386
1.2288,0.00522648,0.00510771
1.2544,0.00499964,0.00489193
1.28,0.00478347,0.0046861
