pt,dN/detadpt_Ridge,dN/detadpt_Jet
0.1,0.00275608,0.254974
0.1295,0.0035774,0.247151
0.159,0.00439487,0.238582
0.1885,0.00521119,0.229617
0.218,0.00603105,0.220502
0.2475,0.00685991,0.211401
0.277,0.00770335,0.202424
0.3065,0.0085667,0.193644
0.336,0.00945488,0.185107
0.3655,0.0103723,0.176842
0.395,0.0113229,0.168866
0.4245,0.01231,0.161187
0.454,0.0133363,0.153809
0.4835,0.0144037,0.146729
0.513,0.0155132,0.139945
0.5425,0.016665,0.133448
0.572,0.0178576,0.127233
0.6015,0.0190878,0.121291
0.631,0.0203503,0.115612
0.6605,0.0216364,0.110187
0.69,0.0229331,0.105008
0.7195,0.024222,0.100063
0.749,0.0254764,0.0953451
0.7785,0.0266606,0.0908435
0.808,0.0277279,0.0865494
0.8375,0.0286254,0.0824541
0.867,0.029304,0.0785489
0.8965,0.0297348,0.0748255
0.926,0.0299202,0.071276
0.9555,0.029889,0.0678925
0.985,0.0296818,0.0646676
1.0145,0.0293387,0.0615941
1.044,0.0288934,0.0586651
1.0735,0.0283723,0.055874
1.103,0.0277954,0.0532146
1.1325,0.0271782,0.0506807
1.162,0.0265325,0.0482665
1.1915,0.0258672,0.0459665
1.221,0.0251896,0.0437754
1.2505,0.0245055,0.0416882
1.28,0.0238194,0.0396998
1.3095,0.023135,0.0378058
1.339,0.0224554,0.0360017
1.3685,0.0217831,0.0342834
1.398,0.02112,0.0326466
1.4275,0.0204678,0.0310877
1.457,0.0198278,0.029603
1.4865,0.019201,0.0281889
1.516,0.0185883,0.0268421
1.5455,0.0179902,0.0255595
1.575,0.0174073,0.024338
1.6045,0.0168399,0.0231747
1.634,0.0162881,0.0220668
1.6635,0.015752,0.0210118
1.693,0.0152317,0.0200071
1.7225,0.0147271,0.0190503
1.752,0.014238,0.0181392
1.7815,0.0137642,0.0172715
1.811,0.0133055,0.0164453
1.8405,0.0128617,0.0156586
1.87,0.0124324,0.0149094
1.8995,0.0120173,0.014196
1.929,0.0116161,0.0135166
1.9585,0.0112285,0.0128698
1.988,0.010854,0.0122538
2.0175,0.0104923,0.0116673
2.047,0.010143,0.0111088
2.0765,0.00980579,0.010577
2.106,0.00948025,0.0100706
2.1355,0.00916601,0.0095885
2.165,0.00886271,0.00912941
2.1945,0.00856998,0.00869228
2.224,0.00828748,0.00827605
2.2535,0.00801486,0.00787974
2.283,0.00775177,0.00750239
2.3125,0.00749788,0.00714309
2.342,0.00725287,0.00680098
2.3715,0.00701643,0.00647524
2.401,0.00678825,0.00616509
2.4305,0.00656803,0.00586979
2.46,0.00635549,0.00558861
2.4895,0.00615034,0.0053209
2.519,0.00595233,0.005066
2.5485,0.00576119,0.00482331
2.578,0.00557667,0.00459223
2.6075,0.00539853,0.00437222
2.637,0.00522653,0.00416274
2.6665,0.00506045,0.00396329
2.696,0.00490008,0.00377339
2.7255,0.0047452,0.00359259
2.755,0.00459561,0.00342044
2.7845,0.00445113,0.00325654
2.814,0.00431155,0.00310049
2.8435,0.00417671,0.00295191
2.873,0.00404643,0.00281045
2.9025,0.00392054,0.00267576
2.932,0.00379889,0.00254753
2.9615,0.00368132,0.00242544
2.991,0.00356768,0.0023092
3.0205,0.00345783,0.00219853
3.05,0.00335164,0.00209315
3.0795,0.00324896,0.00199283
3.109,0.00314969,0.00189731
3.1385,0.00305369,0.00180637
3.168,0.00296084,0.00171979
3.1975,0.00287104,0.00163736
3.227,0.00278417,0.00155887
