phi,Alice,CMS
-1.28,0.00220594,0.00218411
-1.2544,0.00230793,0.00228134
-1.2288,0.0024154,0.00238366
-1.2032,0.00252862,0.00249133
-1.1776,0.00264787,0.0026046
-1.152,0.00277347,0.00272376
-1.1264,0.0029057,0.00284907
-1.1008,0.00304489,0.00298082
-1.0752,0.00319135,0.00311931
-1.0496,0.00334541,0.00326482
-1.024,0.0035074,0.00341765
-0.9984,0.00367765,0.00357811
-0.9728,0.0038565,0.0037465
-0.9472,0.00404427,0.00392311
-0.9216,0.00424128,0.00410823
-0.896,0.00444784,0.00430214
-0.8704,0.00466426,0.00450511
-0.8448,0.00489081,0.0047174
-0.8192,0.00512774,0.00493922
-0.7936,0.00537528,0.00517077
-0.768,0.00563361,0.00541222
-0.7424,0.00590288,0.00566369
-0.7168,0.00618315,0.00592524
-0.6912,0.00647446,0.00619689
-0.6656,0.00677674,0.00647857
-0.64,0.00708984,0.00677014
-0.6144,0.00741351,0.00707137
-0.5888,0.00774741,0.00738192
-0.5632,0.00809102,0.00770132
-0.5376,0.00844372,0.008029
-0.512,0.00880471,0.00836421
-0.4864,0.00917301,0.00870605
-0.4608,0.00954745,0.00905344
-0.4352,0.00992664,0.0094051
-0.4096,0.010309,0.00975955
-0.384,0.0106926,0.0101151
-0.3584,0.0110754,0.0104697
-0.3328,0.0114551,0.0108213
-0.3072,0.0118288,0.0111674
-0.2816,0.0121937,0.0115053
-0.256,0.0125466,0.011832
-0.2304,0.0128839,0.0121442
-0.2048,0.0132019,0.0124385
-0.1792,0.0134967,0.0127113
-0.1536,0.013764,0.0129587
-0.128,0.0139998,0.0131768
-0.1024,0.0141998,0.0133619
-0.0768,0.0143602,0.0135104
-0.0512,0.0144776,0.013619
-0.0256,0.0145492,0.0136853
-6.245e-17,0.0145733,0.0137075
0.0256,0.0145492,0.0136853
0.0512,0.0144776,0.013619
0.0768,0.0143602,0.0135104
0.1024,0.0141998,0.0133619
0.128,0.0139998,0.0131768
0.1536,0.013764,0.0129587
0.1792,0.0134967,0.0127113
0.2048,0.0132019,0.0124385
0.2304,0.0128839,0.0121442
0.256,0.0125466,0.011832
0.2816,0.0121937,0.0115053
0.3072,0.0118288,0.0111674
0.3328,0.0114551,0.0108213
0.3584,0.0110754,0.0104697
0.384,0.0106926,0.0101151
0.4096,0.010309,0.00975955
0.4352,0.00992664,0.0094051
0.4608,0.00954745,0.00905344
0.4864,0.00917301,0.00870605
0.512,0.00880471,0.00836421
0.5376,0.00844372,0.008029
0.5632,0.00809102,0.00770132
0.5888,0.00774741,0.00738192
0.6144,0.00741351,0.00707137
0.64,0.00708984,0.00677014
0.6656,0.00677674,0.00647857
0.6912,0.00647446,0.00619689
0.7168,0.00618315,0.00592524
0.7424,0.00590288,0.00566369
0.768,0.00563361,0.00541222
0.7936,0.00537528,0.00517077
0.8192,0.00512774,0.00493922
0.8448,0.00489081,0.0047174
0.8704,0.00466426,0.00450511
0.896,0.00444784,0.00430214
0.9216,0.00424128,0.00410823
0.9472,0.00404427,0.00392311
0.9728,0.0038565,0.0037465
0.9984,0.00367765,0.00357811
1.024,0.0035074,0.00341765
1.0496,0.00334541,0.00326482
1.0752,0.00319135,0.00311931
1.1008,0.00304489,0.00298082
1.1264,0.0029057,0.00284907
1.152,0.00277347,0.00272376
1.1776,0.00264787,0.0026046
1.2032,0.00252862,0.00249133
1.2288,0.0024154,0.00238366
1.2544,0.00230793,0.00228134
1.28,0.00220594,0.00218411
