phi,ALICE,CMS
-1.28,0.00160462,0.00156304
-1.2544,0.00167737,0.00163234
-1.2288,0.00175359,0.00170489
-1.2032,0.0018334,0.00178081
-1.1776,0.00191694,0.0018602
-1.152,0.00200431,0.00194318
-1.1264,0.00209563,0.00202984
-1.1008,0.00219101,0.00212029
-1.0752,0.00229056,0.00221462
-1.0496,0.00239436,0.00231292
-1.024,0.0025025,0.00241525
-0.9984,0.00261505,0.00252168
-0.9728,0.00273208,0.00263226
-0.9472,0.00285361,0.00274703
-0.9216,0.00297966,0.00286599
-0.896,0.00311025,0.00298915
-0.8704,0.00324535,0.00311648
-0.8448,0.00338489,0.00324792
-0.8192,0.0035288,0.0033834
-0.7936,0.00367697,0.0035228
-0.768,0.00382924,0.00366597
-0.7424,0.00398542,0.00381274
-0.7168,0.00414528,0.00396289
-0.6912,0.00430853,0.00411615
-0.6656,0.00447486,0.00427221
-0.64,0.00464389,0.00443073
-0.6144,0.00481519,0.0045913
-0.5888,0.00498829,0.00475348
-0.5632,0.00516264,0.00491677
-0.5376,0.00533766,0.00508061
-0.512,0.00551271,0.00524442
-0.4864,0.00568709,0.00540754
-0.4608,0.00586008,0.00556929
-0.4352,0.00603087,0.00572893
-0.4096,0.00619863,0.00588569
-0.384,0.00636252,0.00603878
-0.3584,0.00652162,0.00618737
-0.3328,0.00667504,0.0063306
-0.3072,0.00682185,0.00646763
-0.2816,0.00696113,0.00659759
-0.256,0.00709197,0.00671966
-0.2304,0.00721348,0.006833
-0.2048,0.0073248,0.00693681
-0.1792,0.00742513,0.00703037
-0.1536,0.00751373,0.00711297
-0.128,0.00758991,0.00718399
-0.1024,0.00765309,0.00724288
-0.0768,0.00770277,0.00728918
-0.0512,0.00773854,0.00732252
-0.0256,0.00776012,0.00734263
-6.245e-17,0.00776734,0.00734935
0.0256,0.00776012,0.00734263
0.0512,0.00773854,0.00732252
0.0768,0.00770277,0.00728918
0.1024,0.00765309,0.00724288
0.128,0.00758991,0.00718399
0.1536,0.00751373,0.00711297
0.1792,0.00742513,0.00703037
0.2048,0.0073248,0.00693681
0.2304,0.00721348,0.006833
0.256,0.00709197,0.00671966
0.2816,0.00696113,0.00659759
0.3072,0.00682185,0.00646763
0.3328,0.00667504,0.0063306
0.3584,0.00652162,0.00618737
0.384,0.00636252,0.00603878
0.4096,0.00619863,0.00588569
0.4352,0.00603087,0.00572893
0.4608,0.00586008,0.00556929
0.4864,0.00568709,0.00540754
0.512,0.00551271,0.00524442
0.5376,0.00533766,0.00508061
0.5632,0.00516264,0.00491677
0.5888,0.00498829,0.00475348
0.6144,0.00481519,0.0045913
0.64,0.00464389,0.00443073
0.6656,0.00447486,0.00427221
0.6912,0.00430853,0.00411615
0.7168,0.00414528,0.00396289
0.7424,0.00398542,0.00381274
0.768,0.00382924,0.00366597
0.7936,0.00367697,0.0035228
0.8192,0.0035288,0.0033834
0.8448,0.00338489,0.00324792
0.8704,0.00324535,0.00311648
0.896,0.00311025,0.00298915
0.9216,0.00297966,0.00286599
0.9472,0.00285361,0.00274703
0.9728,0.00273208,0.00263226
0.9984,0.00261505,0.00252168
1.024,0.0025025,0.00241525
1.0496,0.00239436,0.00231292
1.0752,0.00229056,0.00221462
1.1008,0.00219101,0.00212029
1.1264,0.00209563,0.00202984
1.152,0.00200431,0.00194318
1.1776,0.00191694,0.0018602
1.2032,0.0018334,0.00178081
1.2288,0.00175359,0.00170489
1.2544,0.00167737,0.00163234
1.28,0.00160462,0.00156304
