phi,dN/dphi
-1.18,0.00455637
-1.175,0.00458411
-1.17,0.00461207
-1.165,0.00464026
-1.16,0.00466867
-1.155,0.00469732
-1.15,0.00472619
-1.145,0.0047553
-1.14,0.00478464
-1.135,0.00481421
-1.13,0.00484403
-1.125,0.00487408
-1.12,0.00490438
-1.115,0.00493492
-1.11,0.0049657
-1.105,0.00499674
-1.1,0.00502802
-1.095,0.00505955
-1.09,0.00509133
-1.085,0.00512337
-1.08,0.00515567
-1.075,0.00518823
-1.07,0.00522104
-1.065,0.00525412
-1.06,0.00528747
-1.055,0.00532107
-1.05,0.00535495
-1.045,0.0053891
-1.04,0.00542352
-1.035,0.00545822
-1.03,0.00549319
-1.025,0.00552843
-1.02,0.00556396
-1.015,0.00559977
-1.01,0.00563587
-1.005,0.00567225
-1,0.00570892
-0.995,0.00574588
-0.99,0.00578313
-0.985,0.00582067
-0.98,0.00585852
-0.975,0.00589665
-0.97,0.00593509
-0.965,0.00597383
-0.96,0.00601288
-0.955,0.00605223
-0.95,0.00609188
-0.945,0.00613185
-0.94,0.00617213
-0.935,0.00621272
-0.93,0.00625363
-0.925,0.00629486
-0.92,0.0063364
-0.915,0.00637827
-0.91,0.00642045
-0.905,0.00646297
-0.9,0.00650581
-0.895,0.00654898
-0.89,0.00659248
-0.885,0.00663631
-0.88,0.00668048
-0.875,0.00672498
-0.87,0.00676982
-0.865,0.006815
-0.86,0.00686052
-0.855,0.00690639
-0.85,0.0069526
-0.845,0.00699915
-0.84,0.00704605
-0.835,0.00709331
-0.83,0.00714091
-0.825,0.00718887
-0.82,0.00723718
-0.815,0.00728585
-0.81,0.00733487
-0.805,0.00738425
-0.8,0.00743399
-0.795,0.0074841
-0.79,0.00753456
-0.785,0.00758539
-0.78,0.00763659
-0.775,0.00768815
-0.77,0.00774008
-0.765,0.00779237
-0.76,0.00784504
-0.755,0.00789808
-0.75,0.00795148
-0.745,0.00800526
-0.74,0.00805942
-0.735,0.00811394
-0.73,0.00816884
-0.725,0.00822412
-0.72,0.00827977
-0.715,0.00833579
-0.71,0.0083922
-0.705,0.00844898
-0.7,0.00850613
-0.695,0.00856366
-0.69,0.00862157
-0.685,0.00867986
-0.68,0.00873852
-0.675,0.00879755
-0.67,0.00885697
-0.665,0.00891676
-0.66,0.00897692
-0.655,0.00903746
-0.65,0.00909837
-0.645,0.00915966
-0.64,0.00922131
-0.635,0.00928334
