phi,dN/dphi
-1.18,0.00454153
-1.175,0.00457165
-1.17,0.00460203
-1.165,0.00463267
-1.16,0.00466357
-1.155,0.00469474
-1.15,0.00472617
-1.145,0.00475787
-1.14,0.00478985
-1.135,0.00482209
-1.13,0.00485462
-1.125,0.00488742
-1.12,0.0049205
-1.115,0.00495387
-1.11,0.00498752
-1.105,0.00502146
-1.1,0.00505569
-1.095,0.00509021
-1.09,0.00512503
-1.085,0.00516014
-1.08,0.00519555
-1.075,0.00523127
-1.07,0.00526729
-1.065,0.00530362
-1.06,0.00534026
-1.055,0.00537721
-1.05,0.00541447
-1.045,0.00545205
-1.04,0.00548995
-1.035,0.00552817
-1.03,0.00556672
-1.025,0.00560559
-1.02,0.0056448
-1.015,0.00568433
-1.01,0.0057242
-1.005,0.00576441
-1,0.00580496
-0.995,0.00584585
-0.99,0.00588709
-0.985,0.00592867
-0.98,0.0059706
-0.975,0.00601289
-0.97,0.00605553
-0.965,0.00609853
-0.96,0.00614189
-0.955,0.00618561
-0.95,0.0062297
-0.945,0.00627416
-0.94,0.00631899
-0.935,0.00636419
-0.93,0.00640977
-0.925,0.00645573
-0.92,0.00650207
-0.915,0.00654879
-0.91,0.0065959
-0.905,0.0066434
-0.9,0.00669129
-0.895,0.00673958
-0.89,0.00678826
-0.885,0.00683734
-0.88,0.00688682
-0.875,0.00693671
-0.87,0.006987
-0.865,0.00703771
-0.86,0.00708882
-0.855,0.00714035
-0.85,0.0071923
-0.845,0.00724466
-0.84,0.00729744
-0.835,0.00735065
-0.83,0.00740429
-0.825,0.00745835
-0.82,0.00751284
-0.815,0.00756777
-0.81,0.00762313
-0.805,0.00767893
-0.8,0.00773516
-0.795,0.00779184
-0.79,0.00784896
-0.785,0.00790653
-0.78,0.00796454
-0.775,0.008023
-0.77,0.00808191
-0.765,0.00814127
-0.76,0.00820109
-0.755,0.00826137
-0.75,0.0083221
-0.745,0.00838329
-0.74,0.00844494
-0.735,0.00850705
-0.73,0.00856963
-0.725,0.00863267
-0.72,0.00869617
-0.715,0.00876015
-0.71,0.00882459
-0.705,0.0088895
-0.7,0.00895487
-0.695,0.00902072
-0.69,0.00908704
-0.685,0.00915383
-0.68,0.0092211
-0.675,0.00928883
-0.67,0.00935704
-0.665,0.00942572
-0.66,0.00949488
-0.655,0.00956451
-0.65,0.0096346
-0.645,0.00970518
-0.64,0.00977622
-0.635,0.00984773
-0.63,0.00991972
-0.625,0.00999217
-0.62,0.0100651
-0.615,0.0101385
-0.61,0.0102123
-0.605,0.0102867
-0.6,0.0103614
-0.595,0.0104367
-0.59,0.0105124
-0.585,0.0105885
-0.58,0.0106651
-0.575,0.0107422
-0.57,0.0108197
-0.565,0.0108977
-0.56,0.0109761
-0.555,0.0110549
-0.55,0.0111342
-0.545,0.0112139
-0.54,0.011294
-0.535,0.0113745
-0.53,0.0114555
-0.525,0.0115369
-0.52,0.0116187
-0.515,0.0117009
-0.51,0.0117834
-0.505,0.0118664
-0.5,0.0119498
-0.495,0.0120335
-0.49,0.0121176
-0.485,0.0122021
-0.48,0.0122869
-0.475,0.0123721
-0.47,0.0124576
-0.465,0.0125435
-0.46,0.0126296
-0.455,0.0127161
-0.45,0.0128029
-0.445,0.01289
-0.44,0.0129774
-0.435,0.013065
-0.43,0.0131529
-0.425,0.013241
-0.42,0.0133294
-0.415,0.013418
-0.41,0.0135069
-0.405,0.0135959
-0.4,0.0136851
-0.395,0.0137745
-0.39,0.0138641
-0.385,0.0139537
-0.38,0.0140436
-0.375,0.0141335
-0.37,0.0142235
-0.365,0.0143136
-0.36,0.0144038
-0.355,0.014494
-0.35,0.0145842
-0.345,0.0146745
-0.34,0.0147647
-0.335,0.0148549
-0.33,0.014945
-0.325,0.0150351
-0.32,0.015125
-0.315,0.0152149
-0.31,0.0153046
-0.305,0.0153941
-0.3,0.0154834
-0.295,0.0155725
-0.29,0.0156614
-0.285,0.01575
-0.28,0.0158383
-0.275,0.0159263
-0.27,0.0160139
-0.265,0.0161012
-0.26,0.016188
-0.255,0.0162744
-0.25,0.0163603
-0.245,0.0164457
-0.24,0.0165306
-0.235,0.0166148
-0.23,0.0166985
-0.225,0.0167815
-0.22,0.0168639
-0.215,0.0169455
-0.21,0.0170263
-0.205,0.0171064
-0.2,0.0171856
-0.195,0.017264
-0.19,0.0173414
-0.185,0.0174178
-0.18,0.0174932
-0.175,0.0175676
-0.17,0.0176409
-0.165,0.017713
-0.16,0.0177839
-0.155,0.0178535
-0.15,0.0179218
-0.145,0.0179888
-0.14,0.0180544
-0.135,0.0181185
-0.13,0.018181
-0.125,0.018242
-0.12,0.0183013
-0.115,0.0183589
-0.11,0.0184148
-0.105,0.0184688
-0.1,0.0185209
-0.095,0.0185711
-0.09,0.0186192
-0.085,0.0186653
-0.08,0.0187092
-0.075,0.0187508
-0.07,0.0187902
-0.065,0.0188272
-0.06,0.0188618
-0.055,0.0188939
-0.05,0.0189234
-0.045,0.0189504
-0.04,0.0189746
-0.035,0.0189962
-0.03,0.019015
-0.025,0.019031
-0.02,0.0190441
-0.015,0.0190543
-0.01,0.0190617
-0.005,0.0190661
-2.95423e-15,0.0190675
0.005,0.0190661
0.01,0.0190617
0.015,0.0190543
0.02,0.0190441
0.025,0.019031
0.03,0.019015
0.035,0.0189962
0.04,0.0189746
0.045,0.0189504
0.05,0.0189234
0.055,0.0188939
0.06,0.0188618
0.065,0.0188272
0.07,0.0187902
0.075,0.0187508
0.08,0.0187092
0.085,0.0186653
0.09,0.0186192
0.095,0.0185711
0.1,0.0185209
0.105,0.0184688
0.11,0.0184148
0.115,0.0183589
0.12,0.0183013
0.125,0.018242
0.13,0.018181
0.135,0.0181185
0.14,0.0180544
0.145,0.0179888
0.15,0.0179218
0.155,0.0178535
0.16,0.0177839
0.165,0.017713
0.17,0.0176409
0.175,0.0175676
0.18,0.0174932
0.185,0.0174178
0.19,0.0173414
0.195,0.017264
0.2,0.0171856
0.205,0.0171064
0.21,0.0170263
0.215,0.0169455
0.22,0.0168639
0.225,0.0167815
0.23,0.0166985
0.235,0.0166148
0.24,0.0165306
0.245,0.0164457
0.25,0.0163603
0.255,0.0162744
0.26,0.016188
0.265,0.0161012
0.27,0.0160139
0.275,0.0159263
0.28,0.0158383
0.285,0.01575
0.29,0.0156614
0.295,0.0155725
0.3,0.0154834
0.305,0.0153941
0.31,0.0153046
0.315,0.0152149
0.32,0.015125
0.325,0.0150351
0.33,0.014945
0.335,0.0148549
0.34,0.0147647
0.345,0.0146745
0.35,0.0145842
0.355,0.014494
0.36,0.0144038
0.365,0.0143136
0.37,0.0142235
0.375,0.0141335
0.38,0.0140436
0.385,0.0139537
0.39,0.0138641
0.395,0.0137745
0.4,0.0136851
0.405,0.0135959
0.41,0.0135069
0.415,0.013418
0.42,0.0133294
0.425,0.013241
0.43,0.0131529
0.435,0.013065
0.44,0.0129774
0.445,0.01289
0.45,0.0128029
0.455,0.0127161
0.46,0.0126296
0.465,0.0125435
0.47,0.0124576
0.475,0.0123721
0.48,0.0122869
0.485,0.0122021
0.49,0.0121176
0.495,0.0120335
0.5,0.0119498
0.505,0.0118664
0.51,0.0117834
0.515,0.0117009
0.52,0.0116187
0.525,0.0115369
0.53,0.0114555
0.535,0.0113745
0.54,0.011294
0.545,0.0112139
0.55,0.0111342
0.555,0.0110549
0.56,0.0109761
0.565,0.0108977
0.57,0.0108197
0.575,0.0107422
0.58,0.0106651
0.585,0.0105885
0.59,0.0105124
0.595,0.0104367
0.6,0.0103614
0.605,0.0102867
0.61,0.0102123
