phi,dN/dphi
-1.18,0.00601919
-1.175,0.00605911
-1.17,0.00609937
-1.165,0.00613998
-1.16,0.00618094
-1.155,0.00622225
-1.15,0.00626391
-1.145,0.00630592
-1.14,0.0063483
-1.135,0.00639104
-1.13,0.00643415
-1.125,0.00647762
-1.12,0.00652147
-1.115,0.00656569
-1.11,0.00661029
-1.105,0.00665527
-1.1,0.00670064
-1.095,0.00674639
-1.09,0.00679254
-1.085,0.00683908
-1.08,0.00688601
-1.075,0.00693335
-1.07,0.00698109
-1.065,0.00702923
-1.06,0.00707779
-1.055,0.00712676
-1.05,0.00717615
-1.045,0.00722596
-1.04,0.00727619
-1.035,0.00732685
-1.03,0.00737794
-1.025,0.00742946
-1.02,0.00748142
-1.015,0.00753381
-1.01,0.00758666
-1.005,0.00763995
-1,0.00769369
-0.995,0.00774788
-0.99,0.00780253
-0.985,0.00785765
-0.98,0.00791322
-0.975,0.00796927
-0.97,0.00802578
-0.965,0.00808277
-0.96,0.00814024
-0.955,0.00819819
-0.95,0.00825663
-0.945,0.00831555
-0.94,0.00837496
-0.935,0.00843487
-0.93,0.00849528
-0.925,0.00855619
-0.92,0.00861761
-0.915,0.00867953
-0.91,0.00874197
-0.905,0.00880492
-0.9,0.00886839
-0.895,0.00893239
-0.89,0.00899691
-0.885,0.00906196
-0.88,0.00912754
-0.875,0.00919366
-0.87,0.00926031
-0.865,0.00932751
-0.86,0.00939526
-0.855,0.00946355
-0.85,0.0095324
-0.845,0.0096018
-0.84,0.00967176
-0.835,0.00974228
-0.83,0.00981336
-0.825,0.00988501
-0.82,0.00995724
-0.815,0.01003
-0.81,0.0101034
-0.805,0.0101774
-0.8,0.0102519
-0.795,0.010327
-0.79,0.0104027
-0.785,0.010479
-0.78,0.0105559
-0.775,0.0106334
-0.77,0.0107115
-0.765,0.0107901
-0.76,0.0108694
-0.755,0.0109493
-0.75,0.0110298
-0.745,0.0111109
-0.74,0.0111926
-0.735,0.0112749
-0.73,0.0113578
-0.725,0.0114414
-0.72,0.0115256
-0.715,0.0116104
-0.71,0.0116958
-0.705,0.0117818
-0.7,0.0118684
-0.695,0.0119557
-0.69,0.0120436
-0.685,0.0121321
-0.68,0.0122213
-0.675,0.0123111
-0.67,0.0124015
-0.665,0.0124925
-0.66,0.0125841
-0.655,0.0126764
-0.65,0.0127693
-0.645,0.0128629
-0.64,0.012957
-0.635,0.0130518
-0.63,0.0131472
-0.625,0.0132432
-0.62,0.0133399
-0.615,0.0134371
-0.61,0.013535
-0.605,0.0136335
-0.6,0.0137326
-0.595,0.0138324
-0.59,0.0139327
-0.585,0.0140336
-0.58,0.0141352
-0.575,0.0142373
-0.57,0.01434
-0.565,0.0144433
-0.56,0.0145472
-0.555,0.0146517
-0.55,0.0147568
-0.545,0.0148624
-0.54,0.0149686
-0.535,0.0150754
-0.53,0.0151827
-0.525,0.0152905
-0.52,0.0153989
-0.515,0.0155079
-0.51,0.0156173
-0.505,0.0157273
-0.5,0.0158378
-0.495,0.0159488
-0.49,0.0160602
-0.485,0.0161722
-0.48,0.0162846
-0.475,0.0163975
-0.47,0.0165108
-0.465,0.0166246
-0.46,0.0167388
-0.455,0.0168534
-0.45,0.0169685
-0.445,0.0170839
-0.44,0.0171997
-0.435,0.0173158
-0.43,0.0174323
-0.425,0.0175492
-0.42,0.0176663
-0.415,0.0177838
-0.41,0.0179015
-0.405,0.0180195
-0.4,0.0181377
-0.395,0.0182562
-0.39,0.0183749
-0.385,0.0184938
-0.38,0.0186128
-0.375,0.018732
-0.37,0.0188513
-0.365,0.0189708
-0.36,0.0190903
-0.355,0.0192098
-0.35,0.0193294
-0.345,0.019449
-0.34,0.0195686
-0.335,0.0196881
-0.33,0.0198076
-0.325,0.019927
-0.32,0.0200462
-0.315,0.0201653
-0.31,0.0202842
-0.305,0.0204028
-0.3,0.0205212
-0.295,0.0206393
-0.29,0.0207571
-0.285,0.0208746
-0.28,0.0209916
-0.275,0.0211082
-0.27,0.0212244
-0.265,0.02134
-0.26,0.0214551
-0.255,0.0215696
-0.25,0.0216834
-0.245,0.0217966
-0.24,0.0219091
-0.235,0.0220208
-0.23,0.0221317
-0.225,0.0222418
-0.22,0.0223509
-0.215,0.0224591
-0.21,0.0225663
-0.205,0.0226724
-0.2,0.0227774
-0.195,0.0228812
-0.19,0.0229838
-0.185,0.0230851
-0.18,0.0231851
-0.175,0.0232837
-0.17,0.0233808
-0.165,0.0234764
-0.16,0.0235704
-0.155,0.0236627
-0.15,0.0237532
-0.145,0.023842
-0.14,0.0239289
-0.135,0.0240139
-0.13,0.0240968
-0.125,0.0241776
-0.12,0.0242563
-0.115,0.0243326
-0.11,0.0244067
-0.105,0.0244783
-0.1,0.0245474
-0.095,0.0246139
-0.09,0.0246777
-0.085,0.0247387
-0.08,0.0247969
-0.075,0.0248521
-0.07,0.0249043
-0.065,0.0249533
-0.06,0.0249992
-0.055,0.0250417
-0.05,0.0250809
-0.045,0.0251166
-0.04,0.0251488
-0.035,0.0251774
-0.03,0.0252023
