phi,dN/dphi
-1.18,0.00512664
-1.175,0.00515663
-1.17,0.00518684
-1.165,0.00521727
-1.16,0.00524793
-1.155,0.00527882
-1.15,0.00530993
-1.145,0.00534128
-1.14,0.00537286
-1.135,0.00540467
-1.13,0.00543671
-1.125,0.00546899
-1.12,0.00550151
-1.115,0.00553426
-1.11,0.00556726
-1.105,0.0056005
-1.1,0.00563398
-1.095,0.0056677
-1.09,0.00570167
-1.085,0.00573589
-1.08,0.00577035
-1.075,0.00580507
-1.07,0.00584004
-1.065,0.00587526
-1.06,0.00591073
-1.055,0.00594646
-1.05,0.00598245
-1.045,0.0060187
-1.04,0.0060552
-1.035,0.00609197
-1.03,0.006129
-1.025,0.00616629
-1.02,0.00620385
-1.015,0.00624168
-1.01,0.00627977
-1.005,0.00631813
-1,0.00635677
-0.995,0.00639567
-0.99,0.00643485
-0.985,0.0064743
-0.98,0.00651403
-0.975,0.00655404
-0.97,0.00659432
-0.965,0.00663488
-0.96,0.00667573
-0.955,0.00671685
-0.95,0.00675826
-0.945,0.00679995
-0.94,0.00684192
-0.935,0.00688419
-0.93,0.00692674
-0.925,0.00696957
-0.92,0.0070127
-0.915,0.00705612
-0.91,0.00709983
-0.905,0.00714383
-0.9,0.00718812
-0.895,0.00723271
-0.89,0.00727759
-0.885,0.00732277
-0.88,0.00736824
-0.875,0.00741401
-0.87,0.00746008
-0.865,0.00750644
-0.86,0.00755311
-0.855,0.00760007
-0.85,0.00764734
-0.845,0.0076949
-0.84,0.00774277
-0.835,0.00779094
-0.83,0.00783941
-0.825,0.00788818
-0.82,0.00793726
-0.815,0.00798663
-0.81,0.00803631
-0.805,0.0080863
-0.8,0.00813659
-0.795,0.00818718
-0.79,0.00823807
-0.785,0.00828927
-0.78,0.00834077
-0.775,0.00839257
-0.77,0.00844467
-0.765,0.00849708
-0.76,0.00854979
-0.755,0.0086028
-0.75,0.00865611
-0.745,0.00870972
-0.74,0.00876362
-0.735,0.00881783
-0.73,0.00887234
-0.725,0.00892714
-0.72,0.00898224
-0.715,0.00903763
-0.71,0.00909331
-0.705,0.00914929
-0.7,0.00920556
-0.695,0.00926212
-0.69,0.00931896
-0.685,0.00937609
-0.68,0.00943351
