phi,dN/dphi
-1.3,0.00261508
-1.29,0.00265418
-1.28,0.00269404
-1.27,0.00273468
-1.26,0.00277611
-1.25,0.00281834
-1.24,0.00286139
-1.23,0.00290528
-1.22,0.00295002
-1.21,0.00299564
-1.2,0.00304214
-1.19,0.00308956
-1.18,0.0031379
-1.17,0.00318718
-1.16,0.00323742
-1.15,0.00328865
-1.14,0.00334088
-1.13,0.00339413
-1.12,0.00344842
-1.11,0.00350378
-1.1,0.00356021
-1.09,0.00361775
-1.08,0.00367642
-1.07,0.00373623
-1.06,0.00379721
-1.05,0.00385938
-1.04,0.00392277
-1.03,0.00398739
-1.02,0.00405328
-1.01,0.00412045
-1,0.00418892
-0.99,0.00425873
-0.98,0.00432989
-0.97,0.00440244
-0.96,0.00447639
-0.95,0.00455177
-0.94,0.0046286
-0.93,0.00470692
-0.92,0.00478674
-0.91,0.0048681
-0.9,0.00495102
-0.89,0.00503552
-0.88,0.00512162
-0.87,0.00520937
-0.86,0.00529878
-0.85,0.00538987
-0.84,0.00548268
-0.83,0.00557723
-0.82,0.00567354
-0.81,0.00577165
-0.8,0.00587157
-0.79,0.00597332
-0.78,0.00607695
-0.77,0.00618246
-0.76,0.00628988
-0.75,0.00639924
-0.74,0.00651055
-0.73,0.00662385
-0.72,0.00673914
-0.71,0.00685644
-0.7,0.00697579
-0.69,0.00709719
-0.68,0.00722065
-0.67,0.00734621
-0.66,0.00747386
-0.65,0.00760362
-0.64,0.0077355
-0.63,0.00786951
-0.62,0.00800566
-0.61,0.00814394
-0.6,0.00828436
-0.59,0.00842693
-0.58,0.00857163
-0.57,0.00871845
-0.56,0.0088674
-0.55,0.00901846
-0.54,0.0091716
-0.53,0.00932682
-0.52,0.00948408
-0.51,0.00964336
-0.5,0.00980463
-0.49,0.00996785
-0.48,0.010133
-0.47,0.0102999
-0.46,0.0104687
-0.45,0.0106393
-0.44,0.0108115
-0.43,0.0109853
-0.42,0.0111607
-0.41,0.0113374
-0.4,0.0115156
-0.39,0.011695
-0.38,0.0118755
-0.37,0.0120571
-0.36,0.0122395
-0.35,0.0124227
-0.34,0.0126066
-0.33,0.0127908
-0.32,0.0129754
-0.31,0.01316
-0.3,0.0133446
-0.29,0.0135288
-0.28,0.0137126
-0.27,0.0138956
-0.26,0.0140775
-0.25,0.0142583
-0.24,0.0144375
-0.23,0.0146148
-0.22,0.01479
-0.21,0.0149627
-0.2,0.0151326
-0.19,0.0152993
-0.18,0.0154623
-0.17,0.0156214
-0.16,0.0157759
-0.15,0.0159256
-0.14,0.0160698
-0.13,0.016208
-0.12,0.0163397
-0.11,0.0164643
-0.1,0.0165812
-0.09,0.0166898
-0.08,0.0167894
-0.07,0.0168794
-0.06,0.0169592
-0.05,0.017028
-0.04,0.0170852
-0.03,0.0171305
-0.02,0.0171631
-0.01,0.0171829
9.74915e-16,0.0171895
0.01,0.0171829
0.02,0.0171631
0.03,0.0171305
0.04,0.0170852
0.05,0.017028
0.06,0.0169592
0.07,0.0168794
0.08,0.0167894
0.09,0.0166898
0.1,0.0165812
0.11,0.0164643
0.12,0.0163397
0.13,0.016208
0.14,0.0160698
0.15,0.0159256
0.16,0.0157759
0.17,0.0156214
0.18,0.0154623
0.19,0.0152993
0.2,0.0151326
0.21,0.0149627
0.22,0.01479
0.23,0.0146148
0.24,0.0144375
0.25,0.0142583
0.26,0.0140775
0.27,0.0138956
0.28,0.0137126
0.29,0.0135288
0.3,0.0133446
0.31,0.01316
0.32,0.0129754
0.33,0.0127908
0.34,0.0126066
0.35,0.0124227
0.36,0.0122395
0.37,0.0120571
0.38,0.0118755
0.39,0.011695
0.4,0.0115156
0.41,0.0113374
0.42,0.0111607
0.43,0.0109853
0.44,0.0108115
0.45,0.0106393
0.46,0.0104687
0.47,0.0102999
0.48,0.010133
0.49,0.00996785
0.5,0.00980463
0.51,0.00964336
0.52,0.00948408
0.53,0.00932682
0.54,0.0091716
0.55,0.00901846
0.56,0.0088674
0.57,0.00871845
0.58,0.00857163
0.59,0.00842693
0.6,0.00828436
0.61,0.00814394
0.62,0.00800566
0.63,0.00786951
0.64,0.0077355
0.65,0.00760362
0.66,0.00747386
0.67,0.00734621
0.68,0.00722065
0.69,0.00709719
0.7,0.00697579
0.71,0.00685644
0.72,0.00673914
0.73,0.00662385
0.74,0.00651055
0.75,0.00639924
0.76,0.00628988
0.77,0.00618246
0.78,0.00607695
0.79,0.00597332
0.8,0.00587157
0.81,0.00577165
0.82,0.00567354
0.83,0.00557723
0.84,0.00548268
0.85,0.00538987
0.86,0.00529878
0.87,0.00520937
0.88,0.00512162
0.89,0.00503552
0.9,0.00495102
0.91,0.0048681
0.92,0.00478674
0.93,0.00470692
0.94,0.0046286
0.95,0.00455177
0.96,0.00447639
0.97,0.00440244
0.98,0.00432989
0.99,0.00425873
1,0.00418892
1.01,0.00412045
1.02,0.00405328
1.03,0.00398739
1.04,0.00392277
1.05,0.00385938
1.06,0.00379721
1.07,0.00373623
1.08,0.00367642
1.09,0.00361775
1.1,0.00356021
1.11,0.00350378
1.12,0.00344842
1.13,0.00339413
1.14,0.00334088
1.15,0.00328865
1.16,0.00323742
1.17,0.00318718
1.18,0.0031379
1.19,0.00308956
1.2,0.00304214
1.21,0.00299564
1.22,0.00295002
1.23,0.00290528
1.24,0.00286139
1.25,0.00281834
1.26,0.00277611
1.27,0.00273468
1.28,0.00269404
1.29,0.00265418
