pT, dis
0.000000, 1.317796
0.100000, 1.139367
0.200000, 0.961365
0.300000, 0.817830
0.400000, 0.706778
0.500000, 0.628826
0.600000, 0.590113
0.700000, 0.608169
0.800000, 0.728340
0.900000, 1.062690
1.000000, 1.544833
1.100000, 1.153926
1.200000, 0.757894
1.300000, 0.530990
1.400000, 0.390495
1.500000, 0.296007
1.600000, 0.228823
1.700000, 0.179289
1.800000, 0.141868
1.900000, 0.113111
2.000000, 0.090732
2.100000, 0.073145
2.200000, 0.059217
2.300000, 0.048115
2.400000, 0.039219
2.500000, 0.032057
2.600000, 0.026268
2.700000, 0.021573
2.800000, 0.017753
2.900000, 0.014636
3.000000, 0.012087
3.100000, 0.009999
3.200000, 0.008283
3.300000, 0.006872
3.400000, 0.005708
3.500000, 0.004748
3.600000, 0.003953
3.700000, 0.003295
3.800000, 0.002748
3.900000, 0.002293
4.000000, 0.001913
