pt, N_Rdige_dis
0.150000, 0.016667
0.160000, 0.018308
0.170000, 0.020033
0.180000, 0.021844
0.190000, 0.023744
0.200000, 0.025739
0.210000, 0.027831
0.220000, 0.030024
0.230000, 0.032323
0.240000, 0.034732
0.250000, 0.037255
0.260000, 0.039897
0.270000, 0.042663
0.280000, 0.045557
0.290000, 0.048586
0.300000, 0.051754
0.310000, 0.055066
0.320000, 0.058530
0.330000, 0.062150
0.340000, 0.065933
0.350000, 0.069885
0.360000, 0.074014
0.370000, 0.078326
0.380000, 0.082828
0.390000, 0.087528
0.400000, 0.092435
0.410000, 0.097556
0.420000, 0.102899
0.430000, 0.108474
0.440000, 0.114291
0.450000, 0.120358
0.460000, 0.126686
0.470000, 0.133286
0.480000, 0.140168
0.490000, 0.147343
0.500000, 0.154825
0.510000, 0.162626
0.520000, 0.170758
0.530000, 0.179235
0.540000, 0.188072
0.550000, 0.197284
0.560000, 0.206886
0.570000, 0.216895
0.580000, 0.227328
0.590000, 0.238203
0.600000, 0.249539
0.610000, 0.261356
0.620000, 0.273674
0.630000, 0.286516
0.640000, 0.299904
0.650000, 0.313863
0.660000, 0.328416
0.670000, 0.343590
0.680000, 0.359414
0.690000, 0.375914
0.700000, 0.393122
0.710000, 0.411068
0.720000, 0.429784
0.730000, 0.449305
0.740000, 0.469663
0.750000, 0.490894
0.760000, 0.513035
0.770000, 0.536119
0.780000, 0.560184
0.790000, 0.585263
0.800000, 0.611389
0.810000, 0.638590
0.820000, 0.666890
0.830000, 0.696308
0.840000, 0.726848
0.850000, 0.758505
0.860000, 0.791252
0.870000, 0.825038
0.880000, 0.859779
0.890000, 0.895345
0.900000, 0.931552
0.910000, 0.968143
0.920000, 1.004767
0.930000, 1.040962
0.940000, 1.076133
0.950000, 1.109531
0.960000, 1.140256
0.970000, 1.167278
0.980000, 1.189508
0.990000, 1.205934
1.000000, 1.215789
1.010000, 1.218707
1.020000, 1.214855
1.030000, 1.204819
1.040000, 1.189472
1.050000, 1.169805
1.060000, 1.146788
1.070000, 1.121295
1.080000, 1.094071
1.090000, 1.065723
1.100000, 1.036739
1.110000, 1.007500
1.120000, 0.978298
1.130000, 0.949354
1.140000, 0.920832
1.150000, 0.892854
1.160000, 0.865504
1.170000, 0.838840
1.180000, 0.812900
1.190000, 0.787704
1.200000, 0.763264
1.210000, 0.739578
1.220000, 0.716640
1.230000, 0.694440
1.240000, 0.672961
1.250000, 0.652187
1.260000, 0.632099
1.270000, 0.612676
1.280000, 0.593897
1.290000, 0.575741
1.300000, 0.558188
1.310000, 0.541216
1.320000, 0.524805
1.330000, 0.508935
1.340000, 0.493587
1.350000, 0.478741
1.360000, 0.464381
1.370000, 0.450487
1.380000, 0.437044
1.390000, 0.424034
1.400000, 0.411443
1.410000, 0.399255
1.420000, 0.387457
1.430000, 0.376033
1.440000, 0.364971
1.450000, 0.354258
1.460000, 0.343882
1.470000, 0.333831
1.480000, 0.324094
1.490000, 0.314660
1.500000, 0.305518
1.510000, 0.296659
1.520000, 0.288073
1.530000, 0.279751
1.540000, 0.271684
1.550000, 0.263864
1.560000, 0.256281
1.570000, 0.248929
1.580000, 0.241800
1.590000, 0.234887
1.600000, 0.228182
1.610000, 0.221678
1.620000, 0.215370
1.630000, 0.209251
1.640000, 0.203315
1.650000, 0.197555
1.660000, 0.191967
1.670000, 0.186545
1.680000, 0.181284
1.690000, 0.176178
1.700000, 0.171223
1.710000, 0.166414
