pt, N_Rdige_dis
0.150000, 0.059236
0.160000, 0.065524
0.170000, 0.072206
0.180000, 0.079302
0.190000, 0.086838
0.200000, 0.094839
0.210000, 0.103330
0.220000, 0.112342
0.230000, 0.121902
0.240000, 0.132045
0.250000, 0.142802
0.260000, 0.154210
0.270000, 0.166307
0.280000, 0.179133
0.290000, 0.192731
0.300000, 0.207146
0.310000, 0.222426
0.320000, 0.238623
0.330000, 0.255791
0.340000, 0.273989
0.350000, 0.293277
0.360000, 0.313722
0.370000, 0.335393
0.380000, 0.358366
0.390000, 0.382720
0.400000, 0.408539
0.410000, 0.435914
0.420000, 0.464943
0.430000, 0.495729
0.440000, 0.528382
0.450000, 0.563022
0.460000, 0.599774
0.470000, 0.638776
0.480000, 0.680173
0.490000, 0.724122
0.500000, 0.770791
0.510000, 0.820362
0.520000, 0.873029
0.530000, 0.929003
0.540000, 0.988510
0.550000, 1.051794
0.560000, 1.119119
0.570000, 1.190771
0.580000, 1.267059
0.590000, 1.348317
0.600000, 1.434908
0.610000, 1.527228
0.620000, 1.625704
0.630000, 1.730804
0.640000, 1.843035
0.650000, 1.962953
0.660000, 2.091162
0.670000, 2.228325
0.680000, 2.375166
0.690000, 2.532478
0.700000, 2.701131
0.710000, 2.882079
0.720000, 3.076370
0.730000, 3.285156
0.740000, 3.509701
0.750000, 3.751396
0.760000, 4.011768
0.770000, 4.292493
0.780000, 4.595408
0.790000, 4.922522
0.800000, 5.276023
0.810000, 5.658286
0.820000, 6.071865
0.830000, 6.519487
0.840000, 7.004016
0.850000, 7.528403
0.860000, 8.095594
0.870000, 8.708386
0.880000, 9.369205
0.890000, 10.079780
0.900000, 10.840654
0.910000, 11.650493
0.920000, 12.505122
0.930000, 13.396209
0.940000, 14.309603
0.950000, 15.223411
0.960000, 16.106245
0.970000, 16.916592
0.980000, 17.604928
0.990000, 18.120272
1.000000, 18.421146
1.010000, 18.486338
1.020000, 18.323497
1.030000, 17.962979
1.040000, 17.448432
1.050000, 16.825876
1.060000, 16.136361
1.070000, 15.412842
1.080000, 14.679925
1.090000, 13.954986
1.100000, 13.249688
1.110000, 12.571411
1.120000, 11.924443
1.130000, 11.310892
1.140000, 10.731368
1.150000, 10.185486
1.160000, 9.672212
1.170000, 9.190120
1.180000, 8.737562
1.190000, 8.312790
1.200000, 7.914035
1.210000, 7.539558
1.220000, 7.187689
1.230000, 6.856839
1.240000, 6.545516
1.250000, 6.252327
1.260000, 5.975978
1.270000, 5.715272
1.280000, 5.469103
1.290000, 5.236454
1.300000, 5.016386
1.310000, 4.808038
1.320000, 4.610616
1.330000, 4.423392
1.340000, 4.245693
1.350000, 4.076902
1.360000, 3.916450
1.370000, 3.763812
1.380000, 3.618503
1.390000, 3.480077
1.400000, 3.348119
1.410000, 3.222248
1.420000, 3.102109
1.430000, 2.987373
1.440000, 2.877735
1.450000, 2.772911
1.460000, 2.672638
1.470000, 2.576669
1.480000, 2.484775
1.490000, 2.396743
1.500000, 2.312373
1.510000, 2.231477
1.520000, 2.153880
1.530000, 2.079419
1.540000, 2.007939
1.550000, 1.939297
1.560000, 1.873355
1.570000, 1.809987
1.580000, 1.749072
1.590000, 1.690497
1.600000, 1.634155
1.610000, 1.579945
1.620000, 1.527771
1.630000, 1.477543
1.640000, 1.429177
1.650000, 1.382592
1.660000, 1.337710
1.670000, 1.294459
1.680000, 1.252772
1.690000, 1.212581
1.700000, 1.173826
1.710000, 1.136448
1.720000, 1.100389
1.730000, 1.065598
1.740000, 1.032022
1.750000, 0.999614
1.760000, 0.968328
1.770000, 0.938119
1.780000, 0.908946
1.790000, 0.880768
1.800000, 0.853548
1.810000, 0.827248
1.820000, 0.801834
1.830000, 0.777272
1.840000, 0.753531
1.850000, 0.730580
1.860000, 0.708389
1.870000, 0.686931
1.880000, 0.666179
1.890000, 0.646107
1.900000, 0.626690
1.910000, 0.607904
1.920000, 0.589728
1.930000, 0.572140
1.940000, 0.555117
1.950000, 0.538641
1.960000, 0.522693
1.970000, 0.507252
1.980000, 0.492303
1.990000, 0.477828
2.000000, 0.463810
2.010000, 0.450234
2.020000, 0.437084
2.030000, 0.424346
2.040000, 0.412006
2.050000, 0.400051
2.060000, 0.388467
2.070000, 0.377242
2.080000, 0.366363
2.090000, 0.355820
2.100000, 0.345601
2.110000, 0.335695
2.120000, 0.326092
2.130000, 0.316782
2.140000, 0.307755
2.150000, 0.299002
2.160000, 0.290514
2.170000, 0.282283
2.180000, 0.274299
2.190000, 0.266556
2.200000, 0.259045
2.210000, 0.251759
2.220000, 0.244690
2.230000, 0.237832
2.240000, 0.231178
2.250000, 0.224721
