pt, N_Rdige_dis
0.150000, 0.001909
0.160000, 0.002085
0.170000, 0.002269
0.180000, 0.002460
0.190000, 0.002660
0.200000, 0.002868
0.210000, 0.003085
0.220000, 0.003310
0.230000, 0.003545
0.240000, 0.003790
0.250000, 0.004045
0.260000, 0.004310
0.270000, 0.004586
0.280000, 0.004873
0.290000, 0.005171
0.300000, 0.005482
0.310000, 0.005805
0.320000, 0.006141
0.330000, 0.006491
0.340000, 0.006854
0.350000, 0.007232
0.360000, 0.007625
0.370000, 0.008034
0.380000, 0.008458
0.390000, 0.008899
0.400000, 0.009358
0.410000, 0.009834
0.420000, 0.010330
0.430000, 0.010844
0.440000, 0.011378
0.450000, 0.011934
0.460000, 0.012511
0.470000, 0.013110
0.480000, 0.013732
0.490000, 0.014379
0.500000, 0.015051
0.510000, 0.015748
0.520000, 0.016473
0.530000, 0.017225
0.540000, 0.018006
0.550000, 0.018817
0.560000, 0.019660
0.570000, 0.020535
0.580000, 0.021443
0.590000, 0.022387
0.600000, 0.023366
0.610000, 0.024383
0.620000, 0.025439
0.630000, 0.026535
0.640000, 0.027674
0.650000, 0.028856
0.660000, 0.030083
0.670000, 0.031357
0.680000, 0.032680
0.690000, 0.034054
0.700000, 0.035480
0.710000, 0.036961
0.720000, 0.038499
0.730000, 0.040096
0.740000, 0.041754
0.750000, 0.043475
0.760000, 0.045263
0.770000, 0.047119
0.780000, 0.049047
0.790000, 0.051048
0.800000, 0.053127
0.810000, 0.055286
0.820000, 0.057528
0.830000, 0.059857
0.840000, 0.062275
0.850000, 0.064787
0.860000, 0.067397
0.870000, 0.070107
0.880000, 0.072923
0.890000, 0.075848
0.900000, 0.078887
0.910000, 0.082044
0.920000, 0.085324
0.930000, 0.088733
0.940000, 0.092275
0.950000, 0.095955
0.960000, 0.099781
0.970000, 0.103756
0.980000, 0.107889
0.990000, 0.112184
1.000000, 0.116650
1.010000, 0.121292
1.020000, 0.126119
1.030000, 0.131138
1.040000, 0.136357
1.050000, 0.141784
1.060000, 0.147430
1.070000, 0.153302
1.080000, 0.159410
1.090000, 0.165765
1.100000, 0.172377
1.110000, 0.179258
1.120000, 0.186419
1.130000, 0.193872
1.140000, 0.201630
1.150000, 0.209707
1.160000, 0.218117
1.170000, 0.226874
1.180000, 0.235995
1.190000, 0.245495
1.200000, 0.255392
1.210000, 0.265703
1.220000, 0.276448
1.230000, 0.287647
1.240000, 0.299321
1.250000, 0.311492
1.260000, 0.324183
1.270000, 0.337420
1.280000, 0.351226
1.290000, 0.365632
1.300000, 0.380664
1.310000, 0.396353
1.320000, 0.412733
1.330000, 0.429836
1.340000, 0.447699
1.350000, 0.466360
1.360000, 0.485859
1.370000, 0.506238
1.380000, 0.527545
1.390000, 0.549825
1.400000, 0.573131
1.410000, 0.597517
1.420000, 0.623040
1.430000, 0.649762
1.440000, 0.677748
1.450000, 0.707068
1.460000, 0.737796
1.470000, 0.770012
1.480000, 0.803800
1.490000, 0.839251
1.500000, 0.876463
1.510000, 0.915538
1.520000, 0.956590
1.530000, 0.999737
1.540000, 1.045108
1.550000, 1.092843
1.560000, 1.143090
1.570000, 1.196010
1.580000, 1.251778
1.590000, 1.310580
1.600000, 1.372621
1.610000, 1.438120
1.620000, 1.507317
1.630000, 1.580471
1.640000, 1.657863
1.650000, 1.739801
1.660000, 1.826620
1.670000, 1.918684
1.680000, 2.016392
1.690000, 2.120180
1.700000, 2.230526
1.710000, 2.347951
1.720000, 2.473029
1.730000, 2.606388
1.740000, 2.748716
1.750000, 2.900769
1.760000, 3.063376
1.770000, 3.237444
1.780000, 3.423965
1.790000, 3.624019
1.800000, 3.838783
1.810000, 4.069525
1.820000, 4.317606
1.830000, 4.584467
1.840000, 4.871614
1.850000, 5.180580
1.860000, 5.512873
1.870000, 5.869886
1.880000, 6.252771
1.890000, 6.662239
1.900000, 7.098282
1.910000, 7.559765
1.920000, 8.043862
1.930000, 8.545303
1.940000, 9.055411
1.950000, 9.561008
1.960000, 10.043449
1.970000, 10.478351
1.980000, 10.836972
1.990000, 11.090209
2.000000, 11.215125
2.010000, 11.201669
2.020000, 11.055900
2.030000, 10.797489
2.040000, 10.453386
2.050000, 10.051316
2.060000, 9.615539
2.070000, 9.165170
2.080000, 8.714184
2.090000, 8.272203
2.100000, 7.845470
2.110000, 7.437738
2.120000, 7.050997
2.130000, 6.686020
2.140000, 6.342768
2.150000, 6.020675
2.160000, 5.718851
2.170000, 5.436226
2.180000, 5.171638
2.190000, 4.923901
2.200000, 4.691846
2.210000, 4.474348
2.220000, 4.270338
2.230000, 4.078814
2.240000, 3.898843
2.250000, 3.729561
2.260000, 3.570171
2.270000, 3.419942
2.280000, 3.278201
2.290000, 3.144332
2.300000, 3.017770
2.310000, 2.897998
2.320000, 2.784541
2.330000, 2.676966
2.340000, 2.574874
2.350000, 2.477899
2.360000, 2.385705
2.370000, 2.297985
2.380000, 2.214454
2.390000, 2.134850
2.400000, 2.058932
2.410000, 1.986477
2.420000, 1.917280
2.430000, 1.851150
2.440000, 1.787910
2.450000, 1.727397
2.460000, 1.669459
2.470000, 1.613954
2.480000, 1.560752
2.490000, 1.509729
2.500000, 1.460771
2.510000, 1.413773
2.520000, 1.368633
2.530000, 1.325259
2.540000, 1.283564
2.550000, 1.243465
2.560000, 1.204886
2.570000, 1.167754
2.580000, 1.132003
2.590000, 1.097567
2.600000, 1.064387
2.610000, 1.032406
2.620000, 1.001570
2.630000, 0.971830
2.640000, 0.943137
2.650000, 0.915447
2.660000, 0.888716
2.670000, 0.862904
2.680000, 0.837973
2.690000, 0.813886
2.700000, 0.790609
2.710000, 0.768110
2.720000, 0.746356
2.730000, 0.725319
2.740000, 0.704970
2.750000, 0.685283
2.760000, 0.666231
2.770000, 0.647791
2.780000, 0.629940
2.790000, 0.612654
2.800000, 0.595914
2.810000, 0.579698
2.820000, 0.563988
2.830000, 0.548764
2.840000, 0.534011
2.850000, 0.519710
2.860000, 0.505845
2.870000, 0.492401
2.880000, 0.479363
2.890000, 0.466717
2.900000, 0.454450
