pt, N_Rdige_dis
0.150000, 0.017916
0.160000, 0.019817
0.170000, 0.021838
0.180000, 0.023984
0.190000, 0.026264
0.200000, 0.028683
0.210000, 0.031252
0.220000, 0.033977
0.230000, 0.036869
0.240000, 0.039936
0.250000, 0.043189
0.260000, 0.046640
0.270000, 0.050298
0.280000, 0.054178
0.290000, 0.058290
0.300000, 0.062650
0.310000, 0.067271
0.320000, 0.072170
0.330000, 0.077362
0.340000, 0.082866
0.350000, 0.088700
0.360000, 0.094883
0.370000, 0.101437
0.380000, 0.108385
0.390000, 0.115751
0.400000, 0.123560
0.410000, 0.131839
0.420000, 0.140619
0.430000, 0.149930
0.440000, 0.159805
0.450000, 0.170282
0.460000, 0.181397
0.470000, 0.193193
0.480000, 0.205713
0.490000, 0.219005
0.500000, 0.233120
0.510000, 0.248113
0.520000, 0.264042
0.530000, 0.280970
0.540000, 0.298968
0.550000, 0.318108
0.560000, 0.338470
0.570000, 0.360140
0.580000, 0.383213
0.590000, 0.407789
0.600000, 0.433978
0.610000, 0.461899
0.620000, 0.491683
0.630000, 0.523469
0.640000, 0.557413
0.650000, 0.593681
0.660000, 0.632457
0.670000, 0.673941
0.680000, 0.718352
0.690000, 0.765930
0.700000, 0.816938
0.710000, 0.871664
0.720000, 0.930427
0.730000, 0.993572
0.740000, 1.061484
0.750000, 1.134583
0.760000, 1.213331
0.770000, 1.298234
0.780000, 1.389849
0.790000, 1.488782
0.800000, 1.595696
0.810000, 1.711309
0.820000, 1.836393
0.830000, 1.971773
0.840000, 2.118315
0.850000, 2.276912
0.860000, 2.448455
0.870000, 2.633790
0.880000, 2.833650
0.890000, 3.048558
0.900000, 3.278679
0.910000, 3.523609
0.920000, 3.782086
0.930000, 4.051589
0.940000, 4.327838
0.950000, 4.604213
0.960000, 4.871220
0.970000, 5.116304
0.980000, 5.324486
0.990000, 5.480348
1.000000, 5.571346
1.010000, 5.591062
1.020000, 5.541812
1.030000, 5.432776
1.040000, 5.277155
1.050000, 5.088867
1.060000, 4.880328
1.070000, 4.661505
1.080000, 4.439840
1.090000, 4.220587
1.100000, 4.007275
1.110000, 3.802135
1.120000, 3.606464
1.130000, 3.420899
1.140000, 3.245627
1.150000, 3.080528
1.160000, 2.925292
1.170000, 2.779487
1.180000, 2.642614
1.190000, 2.514145
1.200000, 2.393544
1.210000, 2.280286
1.220000, 2.173866
1.230000, 2.073803
1.240000, 1.979645
1.250000, 1.890972
1.260000, 1.807392
1.270000, 1.728544
1.280000, 1.654092
1.290000, 1.583728
1.300000, 1.517171
1.310000, 1.454157
1.320000, 1.394448
1.330000, 1.337824
1.340000, 1.284080
1.350000, 1.233030
1.360000, 1.184503
1.370000, 1.138338
1.380000, 1.094391
1.390000, 1.052525
1.400000, 1.012615
1.410000, 0.974546
1.420000, 0.938211
1.430000, 0.903510
1.440000, 0.870351
1.450000, 0.838647
1.460000, 0.808320
1.470000, 0.779295
1.480000, 0.751503
1.490000, 0.724878
1.500000, 0.699361
1.510000, 0.674894
1.520000, 0.651426
1.530000, 0.628906
1.540000, 0.607287
1.550000, 0.586527
1.560000, 0.566583
1.570000, 0.547418
1.580000, 0.528995
1.590000, 0.511279
1.600000, 0.494239
1.610000, 0.477843
1.620000, 0.462063
1.630000, 0.446873
1.640000, 0.432245
1.650000, 0.418155
1.660000, 0.404581
1.670000, 0.391500
1.680000, 0.378892
1.690000, 0.366737
1.700000, 0.355015
1.710000, 0.343711
1.720000, 0.332805
1.730000, 0.322282
1.740000, 0.312128
1.750000, 0.302326
1.760000, 0.292864
1.770000, 0.283727
1.780000, 0.274904
1.790000, 0.266382
1.800000, 0.258149
1.810000, 0.250195
1.820000, 0.242509
1.830000, 0.235081
1.840000, 0.227900
1.850000, 0.220959
1.860000, 0.214247
1.870000, 0.207757
1.880000, 0.201481
1.890000, 0.195410
1.900000, 0.189538
1.910000, 0.183856
1.920000, 0.178359
1.930000, 0.173040
1.940000, 0.167891
1.950000, 0.162908
1.960000, 0.158085
1.970000, 0.153415
1.980000, 0.148894
1.990000, 0.144516
2.000000, 0.140276
2.010000, 0.136170
2.020000, 0.132193
2.030000, 0.128341
2.040000, 0.124608
2.050000, 0.120993
2.060000, 0.117489
2.070000, 0.114094
2.080000, 0.110804
2.090000, 0.107615
2.100000, 0.104524
2.110000, 0.101529
2.120000, 0.098624
2.130000, 0.095808
2.140000, 0.093078
2.150000, 0.090431
2.160000, 0.087864
2.170000, 0.085374
2.180000, 0.082960
2.190000, 0.080618
2.200000, 0.078346
2.210000, 0.076143
2.220000, 0.074005
2.230000, 0.071931
2.240000, 0.069918
