#: table_doi: 10.17182/hepdata.66784.v1/t19
#: name: Table 19
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for all charged particles as a function of $p_{T}$ from the correlation in the 120 $\leq N_{offline}^{trk}$ < 150 multiplicity class in pPb.

#: data_file: Table19.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,120 $\leq N_{offline}^{trk}$ < 150
#: RE,P PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],5020.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.398,0.0342,7.64e-05,-7.64e-05,0.00133,-0.00133
0.714,0.0595,6.93e-05,-6.93e-05,0.00232,-0.00232
1.21,0.0934,0.000109,-0.000109,0.00364,-0.00364
1.72,0.119,0.000164,-0.000164,0.00465,-0.00465
2.22,0.139,0.000252,-0.000252,0.0054,-0.0054
2.72,0.15,0.000364,-0.000364,0.00584,-0.00584
3.39,0.161,0.000417,-0.000417,0.00629,-0.00629
4.41,0.162,0.000704,-0.000704,0.00632,-0.00632
5.42,0.164,0.00115,-0.00115,0.00638,-0.00638

