#: table_doi: 10.17182/hepdata.66784.v1/t25
#: name: Table 25
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for $K^{0}_{S}$ as a function of $p_{T}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 220 multiplicity class in pPb.

#: data_file: Table25.yaml
#: keyword reactions: P PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 220
#: RE,P PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],5020.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.349,0.0113,0.00626,-0.00626,0.000777,-0.000777
0.523,0.0245,0.00205,-0.00205,0.00169,-0.00169
0.707,0.0438,0.00127,-0.00127,0.00303,-0.00303
0.901,0.0596,0.00106,-0.00106,0.00411,-0.00411
1.19,0.0829,0.000758,-0.000758,0.00572,-0.00572
1.58,0.107,0.000871,-0.000871,0.00741,-0.00741
1.98,0.126,0.00109,-0.00109,0.00873,-0.00873
2.46,0.136,0.00124,-0.00124,0.0094,-0.0094
3.13,0.144,0.0017,-0.0017,0.00991,-0.00991
4.01,0.146,0.00267,-0.00267,0.0101,-0.0101
5.19,0.136,0.00435,-0.00435,0.00941,-0.00941

