#: table_doi: 10.17182/hepdata.66784.v1/t32
#: name: Table 32
#: description: The elliptic flow per constituent quark v2(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $K^{0}_{S}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 150 $\leq N_{offline}^{trk}$ < 185 multiplicity class in pPb.

#: data_file: Table32.yaml
#: keyword reactions: P PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,150 $\leq N_{offline}^{trk}$ < 185
#: RE,P PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],5020.0
$KE_{T}/n_{q}$ [GEV],"v2(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.0553,0.00842,0.00337,-0.00337,0.000581,-0.000581
0.112,0.0138,0.00112,-0.00112,0.000954,-0.000954
0.184,0.0225,0.000699,-0.000699,0.00155,-0.00155
0.266,0.0295,0.000594,-0.000594,0.00204,-0.00204
0.396,0.0415,0.000425,-0.000425,0.00286,-0.00286
0.581,0.0529,0.000491,-0.000491,0.00365,-0.00365
0.773,0.0629,0.00062,-0.00062,0.00434,-0.00434
1.01,0.0695,0.000704,-0.000704,0.00479,-0.00479
1.34,0.0721,0.000972,-0.000972,0.00497,-0.00497
1.77,0.0703,0.00153,-0.00153,0.00485,-0.00485
2.36,0.0644,0.0025,-0.0025,0.00444,-0.00444

