#: table_doi: 10.17182/hepdata.66784.v1/t53
#: name: Table 53
#: description: The elliptic flow per constituent quark v2(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $K^{0}_{S}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 220 multiplicity class in PbPb.

#: data_file: Table53.yaml
#: keyword reactions: PB PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 220
#: RE,PB PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$KE_{T}/n_{q}$ [GEV],"v2(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.0466,0.0116,0.0025,-0.0025,0.000765,-0.000765
0.108,0.0214,0.00146,-0.00146,0.00141,-0.00141
0.181,0.0366,0.00114,-0.00114,0.00241,-0.00241
0.264,0.0514,0.0011,-0.0011,0.0034,-0.0034
0.391,0.065,0.000898,-0.000898,0.00429,-0.00429
0.577,0.0791,0.00118,-0.00118,0.00522,-0.00522
0.77,0.0867,0.00164,-0.00164,0.00572,-0.00572
1.0,0.083,0.00204,-0.00204,0.00548,-0.00548
1.33,0.0789,0.0031,-0.0031,0.00521,-0.00521
1.77,0.0847,0.00515,-0.00515,0.00559,-0.00559
2.35,0.0705,0.00886,-0.00886,0.00465,-0.00465

