#: table_doi: 10.17182/hepdata.66784.v1/t59
#: name: Table 59
#: description: The triangular flow v3(2, $|\Delta\eta| > 2$) extracted for all charged particles as a function of $p_{T}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 350 multiplicity class in PbPb.

#: data_file: Table59.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 350
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v3(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.395,0.00985,0.000657,-0.000657,0.000295,-0.000295
0.704,0.0221,0.000656,-0.000656,0.000662,-0.000662
1.21,0.0425,0.0012,-0.0012,0.00128,-0.00128
1.71,0.0556,0.00197,-0.00197,0.00167,-0.00167
2.21,0.0581,0.00329,-0.00329,0.00174,-0.00174
2.71,0.0582,0.00506,-0.00506,0.00175,-0.00175
3.38,0.0639,0.00612,-0.00612,0.00192,-0.00192
4.4,0.0345,0.0112,-0.0112,0.00103,-0.00103
5.42,-0.016,0.019,-0.019,0.000479,-0.000479

