#: table_doi: 10.17182/hepdata.66784.v1/t60
#: name: Table 60
#: description: The triangular flow v3(2, $|\Delta\eta| > 2$) extracted for $K^{0}_{S}$ as a function of $p_{T}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 350 multiplicity class in PbPb.

#: data_file: Table60.yaml
#: keyword reactions: PB PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 350
#: RE,PB PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v3(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.701,0.00642,0.00718,-0.00718,0.000424,-0.000424
0.897,0.0307,0.00691,-0.00691,0.00203,-0.00203
1.18,0.0376,0.0056,-0.0056,0.00248,-0.00248
1.57,0.0428,0.00732,-0.00732,0.00282,-0.00282
1.98,0.0456,0.0102,-0.0102,0.00301,-0.00301
2.45,0.0523,0.0126,-0.0126,0.00345,-0.00345
3.12,0.0847,0.0194,-0.0194,0.00559,-0.00559
4.0,0.00319,0.0328,-0.0328,0.000211,-0.000211
5.18,0.0148,0.0562,-0.0562,0.000978,-0.000978

