#: table_doi: 10.17182/hepdata.66784.v1/t62
#: name: Table 62
#: description: The triangular flow per constituent quark v3(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $K^{0}_{S}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 350 multiplicity class in PbPb.

#: data_file: Table62.yaml
#: keyword reactions: PB PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 350
#: RE,PB PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$KE_{T}/n_{q}$ [GEV],"v3(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.181,0.00321,0.00359,-0.00359,0.000212,-0.000212
0.264,0.0153,0.00345,-0.00345,0.00101,-0.00101
0.391,0.0188,0.0028,-0.0028,0.00124,-0.00124
0.577,0.0214,0.00366,-0.00366,0.00141,-0.00141
0.77,0.0228,0.00508,-0.00508,0.00151,-0.00151
1.0,0.0262,0.00632,-0.00632,0.00173,-0.00173
1.33,0.0423,0.00969,-0.00969,0.00279,-0.00279
1.77,0.0016,0.0164,-0.0164,0.000105,-0.000105
2.35,0.00741,0.0281,-0.0281,0.000489,-0.000489

