#: table_doi: 10.17182/hepdata.66784.v1/t65
#: name: Table 65
#: description: The triangular flow v3(2, $|\Delta\eta| > 2$) extracted for $K^{0}_{S}$ as a function of $p_{T}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 350 multiplicity class in pPb.

#: data_file: Table65.yaml
#: keyword reactions: P PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 350
#: RE,P PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],5020.0
$p_{T}$ [GEV],"v3(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.707,0.0119,0.00355,-0.00355,0.000821,-0.000821
0.901,0.0191,0.00299,-0.00299,0.00131,-0.00131
1.19,0.032,0.00213,-0.00213,0.00221,-0.00221
1.58,0.0379,0.00244,-0.00244,0.00262,-0.00262
1.98,0.0513,0.00307,-0.00307,0.00354,-0.00354
2.46,0.0466,0.00347,-0.00347,0.00322,-0.00322
3.13,0.054,0.00477,-0.00477,0.00372,-0.00372
4.01,0.0255,0.00749,-0.00749,0.00176,-0.00176
5.19,0.0311,0.0122,-0.0122,0.00214,-0.00214

