#: table_doi: 10.17182/hepdata.66784.v1/t67
#: name: Table 67
#: description: The triangular flow per constituent quark v3(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $K^{0}_{S}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 350 multiplicity class in pPb.

#: data_file: Table67.yaml
#: keyword reactions: P PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 350
#: RE,P PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],5020.0
$KE_{T}/n_{q}$ [GEV],"v3(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.184,0.00595,0.00178,-0.00178,0.000411,-0.000411
0.266,0.00953,0.00149,-0.00149,0.000657,-0.000657
0.396,0.016,0.00106,-0.00106,0.0011,-0.0011
0.581,0.019,0.00122,-0.00122,0.00131,-0.00131
0.773,0.0257,0.00153,-0.00153,0.00177,-0.00177
1.01,0.0233,0.00173,-0.00173,0.00161,-0.00161
1.34,0.027,0.00238,-0.00238,0.00186,-0.00186
1.77,0.0128,0.00374,-0.00374,0.000881,-0.000881
2.36,0.0155,0.0061,-0.0061,0.00107,-0.00107

