phi,Alice,CMS
-1.18,0.0060051,0.0577649
-1.17213,0.0060779,0.058441
-1.16427,0.00615165,0.0591259
-1.1564,0.00622637,0.0598194
-1.14853,0.00630206,0.0605218
-1.14067,0.00637873,0.0612331
-1.1328,0.00645639,0.0619534
-1.12493,0.00653505,0.0626828
-1.11707,0.00661473,0.0634213
-1.1092,0.00669542,0.064169
-1.10133,0.00677714,0.0649261
-1.09347,0.00685989,0.0656925
-1.0856,0.00694369,0.0664684
-1.07773,0.00702854,0.0672538
-1.06987,0.00711446,0.0680488
-1.062,0.00720144,0.0688535
-1.05413,0.0072895,0.069668
-1.04627,0.00737865,0.0704922
-1.0384,0.00746889,0.0713264
-1.03053,0.00756024,0.0721705
-1.02267,0.00765269,0.0730246
-1.0148,0.00774626,0.0738888
-1.00693,0.00784095,0.0747632
-0.999067,0.00793677,0.0756477
-0.9912,0.00803372,0.0765425
-0.983333,0.00813182,0.0774475
-0.975467,0.00823106,0.078363
-0.9676,0.00833146,0.0792888
-0.959733,0.00843301,0.0802251
-0.951867,0.00853573,0.0811719
-0.944,0.00863962,0.0821291
-0.936133,0.00874468,0.083097
-0.928267,0.00885091,0.0840754
-0.9204,0.00895832,0.0850645
-0.912533,0.00906692,0.0860642
-0.904667,0.0091767,0.0870745
-0.8968,0.00928766,0.0880956
-0.888933,0.00939982,0.0891273
-0.881067,0.00951316,0.0901697
-0.8732,0.00962769,0.0912228
-0.865333,0.00974342,0.0922867
-0.857467,0.00986033,0.0933612
-0.8496,0.00997843,0.0944463
-0.841733,0.0100977,0.0955422
-0.833867,0.0102182,0.0966486
-0.826,0.0103398,0.0977657
-0.818133,0.0104627,0.0988933
-0.810267,0.0105867,0.100032
-0.8024,0.0107118,0.10118
-0.794533,0.0108382,0.102339
-0.786667,0.0109657,0.103509
-0.7788,0.0110943,0.104688
-0.770933,0.0112241,0.105878
-0.763067,0.011355,0.107078
-0.7552,0.011487,0.108288
-0.747333,0.0116201,0.109508
-0.739467,0.0117544,0.110738
-0.7316,0.0118897,0.111977
-0.723733,0.0120261,0.113226
-0.715867,0.0121635,0.114485
-0.708,0.012302,0.115753
-0.700133,0.0124415,0.117029
-0.692267,0.012582,0.118315
-0.6844,0.0127235,0.11961
-0.676533,0.0128659,0.120913
-0.668667,0.0130093,0.122224
-0.6608,0.0131536,0.123544
-0.652933,0.0132988,0.124872
-0.645067,0.0134449,0.126207
-0.6372,0.0135918,0.12755
-0.629333,0.0137395,0.1289
-0.621467,0.0138881,0.130257
-0.6136,0.0140373,0.131621
-0.605733,0.0141873,0.132991
-0.597867,0.014338,0.134367
-0.59,0.0144893,0.135749
