@type xydy
 -0.849057  0.008797  0.004656
 -0.534591  0.043979  0.014482
 -0.220126  0.049678  0.020689
  0.09434  0.081756  0.022758
  0.408805  0.041937  0.017586
  0.710692 -0.01133  0.008793
  1.037736 -0.006148  0.002586
  1.352201  0.032137  0.010345
  1.666667  0.04818  0.011897
  1.968553  0.045603  0.00569
  2.295597  0.05906  0.004656
  2.610063  0.03269  0.014483
  2.924528  0.042009  0.021207
  3.238994  0.03426  0.022759
  3.540881  0.067889  0.017587
  3.867925  0.071519  0.008276
  4.18239  0.066873  0.001035
  4.496855  0.043089  0.010862
  4.811321  0.022926  0.011896
  5.125786  0.014142  0.00569
&
